Date,Title,Review,Rating
9 January 2005,A Wonderful Fable About A Dreamer Who Sees the World With Beautiful Eyes,"Will Bloom (Billy Crudup) is informed by his mother Sandra Bloom (Jessica Lange) that his father Ed Bloom (Albert Finney) is terminal, and he travels with his French pregnant wife Josephine (Marion Cotillard) to his parents' home. Will and Ed have broken relationship three years before, because of the imaginative and fantasized stories told by Ed Bloom about his accomplishments in his youth. Will tries to find the true story of the mysterious life of his father, coming to a surprising discovery in the end.

I am a great fan of Tim Burton, and I really believe that ""Big Fish"", together with ""Ed Wood"", are his best works. Beginning with a wonderful and very optimistic fairytale in a magic screenplay, about a very supportive storyteller and dreamer, who sees the world with beautiful eyes. The selection of the cast is another point to be highlighted: the resemblance between the outstanding actress Alison Lohman, from ""White Oleander"" and ""Matchstick Men"", and the still very gorgeous and also excellent actress Jessica Lange, is amazing. Ewan McGregor and Albert Finney are also a great choice for the role of Ed Bloom. Although having a convincing performance, Billy Crudup is in a lower level of performance, when comparing with the rest of the cast, which has names such as Helena Bonham Carter, Steve Buscemi and Danny DeVito. ""Big Fish"" is the type of movie good to be seen many times. My vote is ten.

Title (Brazil): ""Peixe Grande e Suas Histórias Maravilhosas"" (""Big Fish Abd His Wonderful Stories"")",10
10 May 2005,Lyrical.,"Will Bloom (Billy Crudup) is informed by his mother Sandra Bloom (Jessica Lange) that his father Ed Bloom (Albert Finney) is terminal, and he travels with his French pregnant wife Josephine (Marion Cotillard) to his parents' home. Will and Ed have broken relationship three years before, because of the imaginative and fantasized stories told by Ed Bloom about his accomplishments in his youth. Will tries to find the true story of the mysterious life of his father, coming to a surprising discovery in the end.

I am a great fan of Tim Burton, and I really believe that ""Big Fish"", together with ""Ed Wood"", are his best works. Beginning with a wonderful and very optimistic fairytale in a magic screenplay, about a very supportive storyteller and dreamer, who sees the world with beautiful eyes. The selection of the cast is another point to be highlighted: the resemblance between the outstanding actress Alison Lohman, from ""White Oleander"" and ""Matchstick Men"", and the still very gorgeous and also excellent actress Jessica Lange, is amazing. Ewan McGregor and Albert Finney are also a great choice for the role of Ed Bloom. Although having a convincing performance, Billy Crudup is in a lower level of performance, when comparing with the rest of the cast, which has names such as Helena Bonham Carter, Steve Buscemi and Danny DeVito. ""Big Fish"" is the type of movie good to be seen many times. My vote is ten.

Title (Brazil): ""Peixe Grande e Suas Histórias Maravilhosas"" (""Big Fish Abd His Wonderful Stories"")",10
8 August 2004,Lying as an Art Form,"What do you say about this movie?

I am at a total loss to describe it. The concept itself, a son tries to come to terms with his dying father that he knows nothing about but an enormous catalog of unbelievable stories, doesn't sound very promising. It sounds like a tired old formula, and I expected such when the rental started playing

It's not.

Werewolves, giants, witches, siamese twins, bank robbers, hidden cities, sirens, etc. are all present in the fantasy, but they seem unremarkably to be part of the life of an otherwise ordinary traveling salesman. Whether they really are or not is never made completely clear, but that's the rub.

I once read a review by Harlan Ellison in which the main point was how a well told lie illuminates the truth in far better clarity than a simple recitation of the facts ever can. At one point in the film, the questing son remarks to his bed-ridden father that he's heard all of his stories thousands of times, and he has know idea who his father really is. The father's reply is, `I've never been anybody but me from the day I was born. If you don't know who I am, that's your failing, not mine.' Later investigations make the point clearer. I'll bet Ellison loved this movie. It is an extraordinary lie.

Did I like the film? You bet. It's Tim Burton's best work without a doubt. Is it for everybody? Probably not. Many will find it confusing and pointless, but good fantasy is like that. All I can say is, relax and let it happen. You won't regret it.",
3 February 2004,Movie Magic,"Every other year you get a movie that oozes magic and charm. Think ""Chocolat"". Think ""Amelie"". Think ""What dreams may come"". Perhaps even, ""Being John Malkovich"". And this year, it's time to think big... ""Big Fish"", to be precise. All four of these movies have some things in common. Merely describing the premise is not nearly enough to do justice to the mood of the film. And the mood, the emotional reaction of the audience, is in many ways much more important than the actual content. Still, there's no way around it in a proper review: We meet a disillusioned young man and his father, a charming old guy who knows exactly how to tell stories to fascinate first-time listeners and children. Unfortunately, there's barely any of those left, as he retold his magical stories once too often. When his health and life are beginning to fade away, his son wants to finally learn the truth about his father. Meanwhile, we hear his life story, as he tells it... Tim Burton is probably best-known for visual eye candy movies. Few directors can compete with the imagination he's shown in movies like Batman, Nightmare before Christmas and Sleepy Hollow. Outside the realm of darker, more gothic visuals, Tim Burton has so far been somewhat less prolific. Planet of the Apes was an expensive embarrassment, and Ed Wood is a decidedly acquired taste. Big Fish, then, is a new direction for him. Yes, it is eye candy, or perhaps even eye H""agen Dazs. But this time, the movie has much more of a soul than his monkeyplanet. This soul is achieved by two means: a great story (or collection of stories) and great acting. If you don't believe that the story is great, watch the audience. At key moments, everyone was chuckling or laughing, at others, I heard dozens of sniffs and tissues being unpacked around me. Yes, this is heartwarming stuff that a colder, more cynical soul would call cheese. Finally, Burton has found a story worthy of his talents again. And, better yet, he did not forget to encourage his cast to act. For a case study of such failure, see Christina Ricci's completely flat performance in Sleepy Hollow. In Big Fish, the cast is so carefully selected that failure is simply not an option. Ewan McGregor (playing the father in his youth) may not have much more to do than smile, be charming and sustain a Southern US accent, but he does it brilliantly. Much more important are the performances of Albert Finney and Jessica Lange, playing the aged father and mother, respectively. And they both deliver character performances worthy of prizes.

After cheerleading so enthusiastically for this movie, perhaps it is time to take a step back and look at it from a more critical perspective. Yes, it managed to enchant the audience, but it did so the Hollywood way. Special effects and big budget feature heavily. This is in stark contrast to the seemingly much less organized and much more intuitional charm of Amelie. This movie is also much more comfy about its pace - it takes its time just like a good storyteller would, but perhaps leaving behind the five-second-attention-span MTV generation kids in the process. On the other hand, I am tempted to say that its biggest vice is that there just isn't enough of it. Given the episodal structure of this movie, I can almost imagine what it would have felt like as TV series, or multi-part TV movie. I am not sure whether to wish for this to happen or shudder at the thought of ""Big Fish: The Animated Series"" or some such atrocity. Every story told in this movie is perfect, and a series of such perfect stories would be wonderful. Yet can perfection be sustained for a large number of stories? Either way, I wonder what is going to become of Big Fish - a franchise or a single movie. It definitely is more deserving of praise, awards and viewers than any other movie released during the past six months, including LOTR-RotK.",
24 December 2003,How to create your own legacy...,"I often find that in order to be captivating, a film these days needs to be stressfully suspenseful or have a complicated story line. This film had neither, and yet I found myself hoping it wouldn't end while at the same time, anxiously awaiting its conclusion. I have to admit, I was distrustful of Burton as many of his more recent films have had less-than-satisfying conclusions. Nonetheless, I went to see Big Fish (3 days before its release in Canada) with no expectations and was astounded. This movie is an absolute treat for our hearts, ears and especially our eyes with each cartoon/fantasy-like scene painted with Tim Burton's reliable brilliance and magical touch. Ewan McGregor is pure sunshine and Albert Finney gives one of the greatest performances of the year- he *is* Big Fish. But I suppose that when you strip away the beauty, the doll-house sets and all the abracadabra of cinematography and modern day technology, all you have is a very simple story, and therein lies the heart of this film; that one can create their own legacy, ""the story of my life."" Not through either extreme of extraordinary adventure or unbelievable lies, but through the art of storytelling- and THAT is what this film is about. It is through our *stories* that we are immortal.

Go see this movie, bring the kids, bring your date, bring your parents! It is for everyone...everyone who appreciates a visually and emotionally beautiful irregular story about a regular person's life.

***** 5 stars!!",8
7 October 2017,"Not the Best Movie Ever, but My Favorite Nonetheless","Big Fish is nowhere near a perfect movie. Sometimes the dialogue is awkward, the pacing drags at times, and Steve Buscemi is, as always, a weirdo. There are bizarre and fantastical ideas that can take you out of the movie. For all its flaws, I can't give it more than an 8. That being said, this is my favorite movie of all time.

Big Fish strikes a chord with me. It examines the value of a life, our modern-day myths, and, ultimately, the nature of our humanity. I don't cry easily, and I'm not just saying that - I didn't cry at Schindler's List, or Titanic; but Big Fish makes me sob every time. The ultimate catharsis, where a man's identity, value, integrity, and family are all validated, and his life has been a life worth living.

Tim Burton was definitely the man for the job on this film, and if you like his other classics like Pee-wee's Big Adventure, Beetlejuice, and Batman, you'll probably enjoy this one, too. What else can I say, this is my favorite movie.",8
18 February 2004,"Tim Burton's career equivalent of ""Forrest Gump"" is an ultimately rewarding adult fable with some beautiful cinematography and memorable ideas...","It was either ""Cheaper by the Dozen,"" ""The Haunted Mansion"" or this. I didn't exactly feel like watching my favorite comedian run around with a horde of little kids cracking bad poopy jokes behind them, and I didn't want to see Eddie Murphy do this either (it was bad enough in last year's ""Daddy Day Care""), so I chose to see the more adult-oriented of these three films, and I'm glad I did, because Tim Burton's ""Big Fish"" is a marvelous film--full of wit and imagination and eerie vibes that sometimes don't fit into Burton's films the way he wants them to--but actually have a purpose here.

""Pee Wee's Big Adventure"" is simply one of the best films of all time, and you can quote me on that. That was Burton's breakthrough--then came ""Batman,"" which was very good but slightly lacking in substance, and then came ""Edward Scissorhands""--one of my sister's favorite films, a beautiful love story and an eerie fable...but just missing a very small ingredient that kept it from becoming a great movie (perhaps the same with his film ""Ed Wood""--a very good film, but not exactly one of my all-time favorites).

I have my doubts as to whether anyone other than Tim Burton could have pulled off ""Big Fish."" Here's a movie I expected I would dislike and come away feeling a little bit empty--but that's only partially true. The movie doesn't quite exceed on the level it tries to, but as a film, it's one of the best motion pictures of the year.

It stars Albert Finney as Edward Bloom, an old man who loves to exaggerate tales of his past and pass these on to his friends and family. One night his son, William (Billy Crudup), tires of hearing the story about how he caught the town's largest fish in a lake using a gold ring--so he ignores his father for three whole years, until his mother (Jessica Lange) informs Will that his father is dying of cancer, and that he wishes to speak with his son one last time.

Drawn back to his old Alabama hometown with his new wife, Will finally learns the truth about these so-called ""exaggerated"" stories--and we, as the audience, get to see them in flashback mode. It begins with a young Edward (Ewan McGregor), a ""big fish"" who was just too small for his own town and had to move away to search for brighter prospects. On his journey he comes across an assortment of odd fellows, including a ""Gentle Giant,"" a failed poet living in a heavenly town named Spectre, and a strange circus ringleader who also happens to be a werewolf.

All of these stories that Edward Senior tells his family relate to their current positions, and to call the film simply beautiful would be what John Candy once said is ""the understatement of the year."" My particular favorite character was the poet living in Spectre, played by Steve Buscemi (a wonderful supporting actor), who I had no idea played any role in this film prior to viewing the opening credits and seeing ""with Steve Buscemi"" appear on screen.

Buscemi's poet has been working on a particular poem for twelve years whilst living in Spectre. ""Can I see it?"" asks Edward. It says, ""Roses are red, violets are blue, I love Spectre."" ""But it's only three lines long!"" says Edward. ""That's the reason you don't show your work to people,"" Buscemi says.

Danny DeVito also appears as the circus ringleader, and the most regretful scene in the film is that in which we see him naked from behind. I shudder at the thought. But, for what it's worth, DeVito's second re-teaming with Burton is magnificent--he's a supporting character, but the film certainly benefits from his performance.

Like all of Burton's films, ""Big Fish"" teeters on the edge of greatness, but it never quite crosses the line. This is a marvelous film, full of warmth, kind-hearted fables and beautiful cinematography, and it's one of the best films of the year. It's certainly a unique film experience unlike any you've ever had before. Unless, of course, you've seen ""Edward Scissorhands"" or ""Ed Wood."" Then some of it may look a bit familiar.

Still, I enjoyed it more than ""The Lord of the Rings."" And I could actually relate to this film.

Trivia note: ""Edward Scissorhands"" was a Tim Burton film. The main character of this film is named Edward. Sometimes when people pronounce his name with their thick Alabama accents it comes across as ""Ed Wood."" Mere coincidence or something more? We may never find out.

4.5/5 stars.",
1 July 2020,Make a story of your own,"The whole story of a man's life is something large, but this movie managed to be entertaining and comical telling a story by dividing it into many stages so well told it feels like it's a little fairy tale, so many aspects and many temporal lines in 2 hours that feels like just a single hour.

The story itself is touching and beautiful while the time placement (involving the wardrobe used and design of the places as well) totally transports the audience to those years, it's colorful and complements the ""adventure vibe""

This is undoubtedly a great movie to watch with the family, so every single member can appreciate each other stories and how they all got intertwined.
14 out of 15 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
10 October 2013,"This movie reminds me story of me and my father, before he died on cancer","My father was a brilliant sculptor and a great visionary. When I was a kid, I never could explain what he was doing. I got it a month before his death when i was 26. This film filled my eyes with tears, because it reminded me him. he had a lot of ideas and brilliant and original ideas for improving the world, but for all his life he could not sell it to anyone, because those ideas filled his whole day. Literally. His whole apartment was filled with papers. Thank you for this movie. Thank you for the message. I would add a note that when we dream, we are escaping from the world of facts and truths. When my father said that if you think of anything in life, you have to write it down because what comes to your mind it never comes again it changed my life. Now I'm writing a book - a novel from environment of Mesopotamia and that just because my father was someone who believed in imagination and creative values.
142 out of 151 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
27 January 2007,A wonderful tale about life's magic,"Subtle, delicate, touching and fascinating pledge for the life as fruit of dream. About the ambiguous taste of imagination and about existence like a spectacular trip. About desire and reality like warm bread.

The director of ""Big Fish"" is Tom Burton. It is only decent definition of a film -mixture between childhood and small miracles, about a special image of ordinaries gestures and about hope in eccentric aspects. The texture is same of grandmother's tales in Christamas Eve or Sunday morning. A brave hero, strange village, temptation and huge love, success and discoveries, miracles and public,secret sense of life and courage. So, in many cases, the reality is only boring passage and the dream, the childish game, the sound of angel's voice or the strange facts are heart of magnificent act of contemplation.

It is a moral story but, in same measure is source of a way to look the world. The life is not a punish or bag of routine. The faith is not only part of a relation with God but with yourself. The others are, in great measure, parts of funny miracle and ineffable expectation.

The Ewan Mc Gregor acting is brilliant. Nuances, accents, inflexion of words, smile or gestures are bricks of a magnificent character, touching, warm, credible. In some moments, the film is spectacular dialog between McGregor and Albert Finney interpretation.

In fact, ""Big Fish"" is a tale. A fairy tale about life's magic out of words or exterior facts.",10
