Date,Title,Review,Rating
11 May 2023,rise and fall of crackberry,"Greetings again from the darkness. There aren't too many companies who have reached the pinnacle of their industry, only to later flop due to lack of innovation or a stubborn insistence on holding on to the past. Tremendous success and absolute failure are not typically associated with the same company. Blockbuster Video and Pan Am Airlines come to mind as examples of industry leaders whose refusal to adapt, culminated with closure, and it's likely that Blackberry belongs in the category, at least as presented here by writer-director Matt Johnson and co-writer Matthew Miller, adapting the book by Jacquie McNish.

Socially awkward pals, Mike Lazaridis (played by Jay Baruchel) and Doug Fregin (played by the film's director Matt Johnson), co-founded Research in Motion (RIM). The film picks up in 1996 when Mike and Doug are making their first presentation of their breakthrough handheld data delivery-email machine, which they have named Pocket Link. These are two genius nerds with no concept of how the outside business worlds functions, and the executive to whom they are pitching is so distracted that his only feedback is, ""You need a new name."" In a fascinating twist, that same executive, Jim Balsillie (Glenn Howerton, ""It's Always Sunny in Philadelphia"") ends up saving not just the new product, but also the company.

Balsillie presents himself as a fireball, take charge, full-steam-ahead kind of guy. It's quite a contrast to nerdy Mike and easy-going Doug. Mike is a quiet guy committed to perfection in his work, while Doug wrangles the tech developers with a culture of video games, movie night, and an overall fraternity environment. Balsillie's arrival as a vocal outrage expert and brash businessman changes everything, and he and Mike drive the newly named BlackBerry to levels not previously seen. We do get a humorous anecdote from a shirt stain (even though it's not a true story), and in fact, there is quite a bit of humor throughout.

We are informed that the film was ""inspired by real people and real events"", so some dramatic license is expected. Perhaps the best comparison is THE SOCIAL NETWORK (2010), and while that film was more polished, I personally found this one more entertaining and accurate from a business sense. An excellent supporting cast includes Cary Elwes, Saul Rubinek, Michael Ironside, Martin Donovan, Rich Sommer, and SungWon Cho, and the film's real draw is the contrast between Jay Baruchel's mousy but brilliant Mike, and Glenn Howard's powerhouse portrayal of the egotistical Balsillie. Baruchel's scene where he reacts to the new iPhone is alone worth the price of admission.

At its peak, BlackBerry had 45% market share and had earned it's ""CrackBerry"" label in the business world. Apple's 2007 introduction of the iPhone not only rocked the BlackBerry company, it shook up the world. The Canada perspective is noted (RIM was based in Waterloo, Ontario), as is Mike's aversion to 'made in China', perhaps the ultimate reason for the fall. It's likely that BlackBerry has become a Case Study in Business Schools, although the fast-paced and pressure-packed world of tech continues to require a balance of decisions focused on current markets and never-ending innovation for the future.

Opens on May 12, 2023.",8
3 June 2023,Great docufilm.,"Aside from the constant annoying fast zoom-ins and shaky cam ""The Office"" style filming - which I can't stand, this was one heck of an enjoyable film. The two hour runtime flew by with the excellent pacing and the smooth cohesive and well-written screenplay. Jay Baruchel nailed his character with an all around great performance, as did Glenn Howerton. For that matter, all casting and performances were spot on, as was the cinematography and score. The story was mind-blowing, even if you never owned a BlackBerry, just to see a slice of Steve Jobs as the Canadian version of a small start-up becoming a world dominating tech empire, and that empire's fall from grace.
34 out of 42 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
12 May 2023,It's funny until it's not.,"Greetings again from the darkness. There aren't too many companies who have reached the pinnacle of their industry, only to later flop due to lack of innovation or a stubborn insistence on holding on to the past. Tremendous success and absolute failure are not typically associated with the same company. Blockbuster Video and Pan Am Airlines come to mind as examples of industry leaders whose refusal to adapt, culminated with closure, and it's likely that Blackberry belongs in the category, at least as presented here by writer-director Matt Johnson and co-writer Matthew Miller, adapting the book by Jacquie McNish.

Socially awkward pals, Mike Lazaridis (played by Jay Baruchel) and Doug Fregin (played by the film's director Matt Johnson), co-founded Research in Motion (RIM). The film picks up in 1996 when Mike and Doug are making their first presentation of their breakthrough handheld data delivery-email machine, which they have named Pocket Link. These are two genius nerds with no concept of how the outside business worlds functions, and the executive to whom they are pitching is so distracted that his only feedback is, ""You need a new name."" In a fascinating twist, that same executive, Jim Balsillie (Glenn Howerton, ""It's Always Sunny in Philadelphia"") ends up saving not just the new product, but also the company.

Balsillie presents himself as a fireball, take charge, full-steam-ahead kind of guy. It's quite a contrast to nerdy Mike and easy-going Doug. Mike is a quiet guy committed to perfection in his work, while Doug wrangles the tech developers with a culture of video games, movie night, and an overall fraternity environment. Balsillie's arrival as a vocal outrage expert and brash businessman changes everything, and he and Mike drive the newly named BlackBerry to levels not previously seen. We do get a humorous anecdote from a shirt stain (even though it's not a true story), and in fact, there is quite a bit of humor throughout.

We are informed that the film was ""inspired by real people and real events"", so some dramatic license is expected. Perhaps the best comparison is THE SOCIAL NETWORK (2010), and while that film was more polished, I personally found this one more entertaining and accurate from a business sense. An excellent supporting cast includes Cary Elwes, Saul Rubinek, Michael Ironside, Martin Donovan, Rich Sommer, and SungWon Cho, and the film's real draw is the contrast between Jay Baruchel's mousy but brilliant Mike, and Glenn Howard's powerhouse portrayal of the egotistical Balsillie. Baruchel's scene where he reacts to the new iPhone is alone worth the price of admission.

At its peak, BlackBerry had 45% market share and had earned it's ""CrackBerry"" label in the business world. Apple's 2007 introduction of the iPhone not only rocked the BlackBerry company, it shook up the world. The Canada perspective is noted (RIM was based in Waterloo, Ontario), as is Mike's aversion to 'made in China', perhaps the ultimate reason for the fall. It's likely that BlackBerry has become a Case Study in Business Schools, although the fast-paced and pressure-packed world of tech continues to require a balance of decisions focused on current markets and never-ending innovation for the future.

Opens on May 12, 2023.",8
12 May 2023,One Hell of a Story,"Films about the making of a product can either be interesting or dull. In my opinion, there's not a lot of room in between because it was either a good story or not. In the case of Blackberry, I was obviously aware of the phone but never knew the behind-the-scenes stuff. I'm also slightly biased being a Canadian, with this film taking place very close to where I'm from, so if that makes you take this review with a grain of salt, so be it. I absolutely loved it from start to finish and here's why.

Blackberry tells the story of Mike Lazaridis (Jay Baruchel) and his genius mind that creates the world's first smartphone, the Blackberry.

Jim Balsillie (Glenn Howerton) steps in and buys his way into being the Co-CEO of the company in order to sell the phone. Balsillie is determined to shoot for the moon and nothing else, which in turn may or may not hurt the company overall. If you know the story, you know what I mean, but I won't ruin it. My favourite thing about watching this film though was the fact that I didn't know half of what went down in real life. This was a riveting and engaging lesson of school that I felt like a sat through.

Adapted from the novel by Matthew Miller and Matt Johnson (who also did a fantastic job directing this film), the dialogue here was stellar. I was glued to the screen, even when two characters were just sitting in a room and talking. I'm not saying this film is as great as The Social Network, but the story itself is in my opinion. It's a fascinating tale of the dog-eat-dog world that we live in. On top of the fantastic dialogue, Baruchel and Howerton sell these roles and probably each delivers the performances of their careers (especially Howerton).

From the editing style that genuinely impressed me to the great direction, performances, and even music choices, Blackberry is a film that I have little to no complaints about. The camera work with all the snap zooms annoyed me a bit, but that's really all I can nitpick. I also give it props for being a Canadian film, made by Canadians, starring some Canadian actors. I would also be remiss if I didn't mention the fact that while the story is very interesting, it's also funny when it needs to be. It almost becomes a satire at times and I loved it even more for that. It took the story seriously, but not exactly the movie around it, which worked so well. If you can't tell, I'll be gushing about this one for a while. I highly recommend checking out Blackberry, now playing in theatres.",10
4 June 2023,Can biographies be fast-paced? Here's the answer! [+77%],"Between this, Air, and Tetris, I think this one takes the cake. The central performances (Jay Baruchel & Glenn Howerton) are fantastic, and both manage to captivate us with their distinct mannerisms and quirks. The story itself is very compellingly told, with details covered from multiple angles, including business, tech, marketing, employee relations, and more. There's no question that Hollywood loves discussing corporate wins and losses (well, mostly wins) and BlackBerry is certainly among the finest I've seen. Howerton (playing Jim Balsillie) is at his best when he loses his cool, throwing temper tantrums at almost everyone, including contemporaries, executives, and even private jet pilots. The rise and fall of BlackBerry was always going to be an exciting story, and director Matt Johnson does an excellent job with the material in hand.
9 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
14 May 2023,The Story of the Worlds First Smartphone,"The phone was nicknamed ""Crackberry"" - due to its addictive quality ... (an omen of the future of smartphones). Here, people loved the clicking of the mini keyboard and the blinking ""new messages"" light. It was the rage of Wall Street, Fortune 500 companies government leaders and had dedicated fans ranging from Obama to Katy Perry to Kim Kardashian.

It was with this fascination that I watched ""Blackberry"". I wanted to know how did all of this get started and by whom? Well, the movie didn't disappoint - I'd have never guessed the people behind it and wild ride they had.

The story is brisk and the characters have radically different personalities. The latter made it interesting given that they all thrown together in an increasingly high-pressure environment. My favorite character was the comic-sidekick Doug Fregin (cofounder) - he reminds me of Jonah Hill. It also turns out that he's the co-writer and director of the film itself.

One thing I didn't immediately recognize was that the tech wiz / boy-wonder (Mike Lazaridis) was played by Jay Baruchel. He was the voice behind the lead character in How to Train Your Dragon. It was perfect casting.

Blackberry is definitely worth a watch if the subject matter interests you. It's yet another movie demonstrating that real-life events can be just as captivating as pure fiction itself. It joins the ranks of other great tech stories inspired by true events: The Dropout (Theranos / Elizabeth Holmes), We Crashed (WeWork), Super Pumped (Uber), and Tetris (the game).",
13 June 2023,Best of the Three 1980s Pop Culture Movies,"There happen to be three movies out right now telling the story behind a piece of 1980s pop culture. ""Air"" is about the founding of the Air Jordan brand at Nike; ""Tetris"" is about the battle over licensing for one of the most famous games in history; and ""Blackberry"" is about the mega-success and eventual obsoletion of a piece of technology that was undermined by Apple.

Of the three, ""Blackberry"" is the best. Sharp writing and direction from Matt Johnson, who also happens to turn in a terrific performance as the moral conscience of the company behind the famous hand-held device, turns this movie into a juicy and intensely entertaining story about corporate ego and competing visions. Jay Baruchel and Glenn Howerton also give outstanding performances, and the whole thing makes for one of the most entertaining movies I've seen yet this year.

And even though I've been using an iPhone for years, nothing has made me appreciate the brilliance of Steve Jobs' invention as much as this movie, which shows why it absolutely blew the Blackberry out of the water.

Grade: A.",9
17 May 2023,A cautionary tale for tech companies,"BlackBerry is a 2023 film that tells the story of the rise and fall of the BlackBerry smartphone. The film is funny, heartwarming, and ultimately tragic.

The film is funny because it captures the quirks and eccentricities of the people who made BlackBerry a success. Mike Lazaridis and Jim Balsillie are two brilliant but irritable men who are determined to make their company a success. They are constantly bickering and arguing.

The film is also heartwarming because it shows the passion and dedication of the people who worked at BlackBerry. They were all committed to making the best possible product, and they were willing to work long hours and make sacrifices to achieve their goals.

However, the film is ultimately tragic because it shows how BlackBerry was unable to adapt to the changing marketplace. The company was slow to innovate, and it was eventually overtaken by Apple and Samsung.

Despite its tragic ending, BlackBerry is a well-made film that is sure to entertain and enlighten audiences. The film is funny, heartwarming, and thought-provoking. It is a must-see for anyone who is interested in the history of technology or the human condition.

Doug is the real winner in BlackBerry because he is the only one who is able to see the writing on the wall. He knows that BlackBerry is in trouble, and he tries to warn Mike and Jim. However, they are too blinded by their own success to listen. Doug is eventually forced to leave the company, but he is able to start his own successful business.

BlackBerry is a cautionary tale about the dangers of hubris. It is a reminder that even the most successful companies can fall from grace if they are not willing to adapt to change.",
14 June 2023,In depth story about why Blackberry collapsed,"Blackberry (2023)

I remember the days when everyone in school was using Blackberries with the cool keyboards and their BBM service. The company was ruling the market and no one could have imagined that one day not only will they lose its leadership position, but it will cease to exist altogether. The general consensus is that Blackberry became obsolete because the company failed to catch up to the smartphones and evolve in a correct way. This film tells a more complete version of the story in terms of what happened behind closed doors and the reason why everything came crashing down.

The movie begins in the 90s with a Canadian company named Research in Motion trying to reinvent the mobile phone business. Their two leaders Mike and Doug have a bright vision and the scientific know-how but lack the business acumen to make their idea a reality. During one of their pitches, a man named Jim gets intrigued by their idea and decides to come on board and help get the company off the ground. As the movie progresses, we get to see both the human and the business elements of the story and how closely they come together to both build Blackberry and destroy it.

This is clearly a low budget movie but it never feels second rate because of the clean and efficient way in which it tells this large story. The actors and director are rather unknown and because of that, more focus is put towards the narrative and its execution. With that being said, everyone involved puts in the effort to bring drama, humor and tension to their roles. The quick, sharp and witty nature makes it feel like a mix between Social Network and Succession as the film doesn't waste a single minute and ends when it's supposed to. Blackberry might be gone but hopefully this film will shed some light and teach a couple of lessons to those who watch it.

Movieswithoutshmovies on Instagram for honest movie and tv show reviews.",8
7 June 2023,The Golden Gods rage knows no bounds!,"Watching these movies about the crazy cutthroat businesses of the 80s and 90s is very entertaining. This movie was great, well acted, fast paced and fun throughout. I myself grew up during the time of the Blackberry but didn't know anything about their story, so this was a fascinating look into how crazy the tech world was at the time.

The real gem of the entire movie though was the Golden God himself, Glen Howerton. I've been a fan of Always Sunmy and I'm always interested in what the cast does outside of that show. I havnt seen Glen in a serious role yet but he delivered. In Always Sunny Glen plays a sociopath who is constantly getting angry, you could tell that in Blackberry he was able to use that for his character. Glen was by far the best part of this movie, funny and intimidating all at the same time.
20 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
