Date,Title,Review,Rating
30 July 2021,A master class in screenwriting,"What impresses me about this movie is how much good was done in a short amount of time for each character. There are really clever time-saving 'tricks' like Tony using the broom to bust open the hatch that caused the Spidey costume to come dangling down. That saved them minutes of precious dialogue; it just cut straight to the point. And during that whole scene in Peter's place, almost every line of dialogue counted toward something important, with just enough 'fluff' to make it sound like a real conversation instead of 'movie dialogue' (the funny asides like 'please move your leg' and 'your ridiculously hot aunt'), etc.

The same is true about the scene near the beginning with Tony's holographic 'flashback' . That scene served so many purposes at once - first, it got me caught up in the background story; then, it gave me an insight into Tony's attitudes and regrets concerning his parents; then, when it was shown that it was a therapy technique, it showed me that Tony still has unresolved emotional issues concerning his parents, which then set up the stage for a reveal that causes Tony's later actions.

These two previously mentioned scenes took about four or five minutes tops, and many other scenes in the film managed to squeeze in a half-hour's worth of material (per scene) into 5-minute snippets by accomplishing a lot of stuff simultaneously (story-building AND character-building AND plot development) , and making it feel natural and not rushed or forced.

This film serves as a great example for others to study when it comes to screenwriting effectiveness. Something really remarkable was done here. And it was very refreshing after seeing so many big-budget blockbusters with horrible screenwriting.",9
30 May 2021,Captain America: Civil War is one of the best in the MCU,"This movie has a fantastic plot and brings all these characters perfectly on screen. The conflict between Steve and Tony is written so well. Zemo is also a good side villain in this movie. The action scenes were well-made.
47 out of 57 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
31 March 2021,I could do this all day...,"Captain America: Civil War was a great sequel to Winter Solider. It does take some minimum inspirations from the comics. The elements and plot devices and had outstanding cinematography. A great addition to the MCU.

Solid story with some minor flaws. The writing was good and the acting was great. The characters are well written. We are introduced to two new characters such as Black Panther and Spider-Man, even in their minimum screentime they were amazing. It takes time and depth to understand Tony's decisons, during the final moments of the final battle he was consumed by vengeance and his emotions and not guided by his intellect. And lastly with fantastic CGI and music.

Overall an enjoyable film.

Memorable: No Rewatchable: Unlikely.
18 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
7 April 2021,"GRIPPING, BOLD AND SMART","Captain America Civil War is a gripping, bold, smart and awesome superhero movie. It boasts of a talented cast, a great direction and awesome action sequences. Matching spectacular and epic moments with the smarts of a great, grown up thriller, Captain America Civil War is a fun, epic and emotional ride that you won't miss.

Rating: 8,8.
44 out of 56 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
2 July 2017,I don't understand the hate a descent awesome MCU super action superhero - Captain America is the king,"What impresses me about this movie is how much good was done in a short amount of time for each character. There are really clever time-saving 'tricks' like Tony using the broom to bust open the hatch that caused the Spidey costume to come dangling down. That saved them minutes of precious dialogue; it just cut straight to the point. And during that whole scene in Peter's place, almost every line of dialogue counted toward something important, with just enough 'fluff' to make it sound like a real conversation instead of 'movie dialogue' (the funny asides like 'please move your leg' and 'your ridiculously hot aunt'), etc.

The same is true about the scene near the beginning with Tony's holographic 'flashback' . That scene served so many purposes at once - first, it got me caught up in the background story; then, it gave me an insight into Tony's attitudes and regrets concerning his parents; then, when it was shown that it was a therapy technique, it showed me that Tony still has unresolved emotional issues concerning his parents, which then set up the stage for a reveal that causes Tony's later actions.

These two previously mentioned scenes took about four or five minutes tops, and many other scenes in the film managed to squeeze in a half-hour's worth of material (per scene) into 5-minute snippets by accomplishing a lot of stuff simultaneously (story-building AND character-building AND plot development) , and making it feel natural and not rushed or forced.

This film serves as a great example for others to study when it comes to screenwriting effectiveness. Something really remarkable was done here. And it was very refreshing after seeing so many big-budget blockbusters with horrible screenwriting.",10
24 July 2021,Huge amount of spectacle & character moments,"When an incident involving Wanda Maximoff causes a deadly explosion in Lagos, the UN want to regulate the use of the Avengers.

'Captain America Civil War' is an enjoyable but slightly overlong MCU movie that has some fantastic spectacle and strong character moments.

The plot has an excellent premise with a plausible world reaction to the exploits of a group of people with superpowers and a good villain. Where it slightly falters as a stand-alone movie is the introduction of several new characters that somewhat bogs down the proceedings, but for the wider franchise narrative (and expansion) it is necessary. Several characters have emotional arcs to go through in this story and there is only so much time to do it all.

All that being said it has some of the best moments of the franchise, particularly during the scenes of internal conflict amongst the central characters. Iron Man, Black Panther, Captain America and the Winter Soldier are involved in some very compelling scenes, as are Wanda and Vision.

Some of the visuals are incredibly well done. The early Lagos action scenes hit like a sledgehammer and you can almost feel the impact of what is being shown. The airport showdown is excessive but so much fun you can imagine the writers planning a fanboy's ultimate fantasy. The final confrontation is well made from a spectacle and character perspective.

The first time I saw it was my first sight of the digital effect that makes actors appear younger. This is a very impressive use of CGI that feels like real movie magic.

All performances are strong especially Robert Downey Jr and Daniel Bruhl.

It's a 7.5/10 for me but I round upwards.",8
16 December 2021,Marvel at its finest,"What impresses me about this movie is how much good was done in a short amount of time for each character. There are really clever time-saving 'tricks' like Tony using the broom to bust open the hatch that caused the Spidey costume to come dangling down. That saved them minutes of precious dialogue; it just cut straight to the point. And during that whole scene in Peter's place, almost every line of dialogue counted toward something important, with just enough 'fluff' to make it sound like a real conversation instead of 'movie dialogue' (the funny asides like 'please move your leg' and 'your ridiculously hot aunt'), etc.

The same is true about the scene near the beginning with Tony's holographic 'flashback' . That scene served so many purposes at once - first, it got me caught up in the background story; then, it gave me an insight into Tony's attitudes and regrets concerning his parents; then, when it was shown that it was a therapy technique, it showed me that Tony still has unresolved emotional issues concerning his parents, which then set up the stage for a reveal that causes Tony's later actions.

These two previously mentioned scenes took about four or five minutes tops, and many other scenes in the film managed to squeeze in a half-hour's worth of material (per scene) into 5-minute snippets by accomplishing a lot of stuff simultaneously (story-building AND character-building AND plot development) , and making it feel natural and not rushed or forced.

This film serves as a great example for others to study when it comes to screenwriting effectiveness. Something really remarkable was done here. And it was very refreshing after seeing so many big-budget blockbusters with horrible screenwriting.",9
27 March 2021,#TeamCapWin,"""Are you Tony Stank?""

Ahhh the actions just keep getting better and better. But now we had more superheroes fighting each other. Of course the best was Spiderman who was both funny and charismatic.

As entertaining as the action, I felt the story wasn't as strong as in Winter Soldier. However, it's still a good story that led to awesome fight scenes.

For sure one of the best trilogies. 9/10.
13 out of 17 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
23 November 2020,Excellent character dynamics,"Captain America: Winter Soldier was everything I wanted from a superhero movie. It was well directed, written and acted, and I was very excited for the next Captain America movie. And this movie most definietly delivered in quality. Is it as good as its predecessor? No, definietly not. There are a few flaws, which I'll talk about later. With that being said, this movie gets 4 things right for every one thing it does wrong. The plot is engaging and for the most part easy to follow and the pacing is solid. The characters all feel very 3-dimentional and fleshed out, and none of them feel different from what we already know. The movie's biggest strength is the interactions between the characters, and the different arguments presented by both sides. I love that despite obviously wanting us to side with Cap's team, the movie doesn't really make one side the ""correct"" one. Both sides present reasonable and logical arguments, and there is no right answer to what the Avengers should do. The new characters such as Black Panther and Spiderman are both very interesting and compelling, and both feel like a natural inclusion to the character list. All this is of course helped by some excellent performances as usual. The direction and cinematography are also both really good, and the action scenes are almost just as good as in Winter Soldier, even though some feel a little meaningless. And, while it might not be a big deal, MAN was it good to see a truly great antagonist in Zemo. He's well written and very well played by Daniel Brühl, and he challenges the ideological perspectives of our hero in a way no other villain in the MCU has done before. With that being said, his plan is somewhat ridiculous, and felt a little too complicated. The movie also feels a little dumb sometimes. It feels like Cap and Stark could've solved the issue much sooner had they just communicated better. Those are my main complaints, and while there are a few other things I could nitpick, nothing really ruins the film by any means. It's a more mature take on the Marvel formula, and while it's the best movie in the franchise, it's still more than good enough for me to recommend it.",8
30 August 2020,I am proud that Sebastian Stan had the chance to speak Romanian and was a nice introduction of Chadwick Boseman,"I am proud to have a fellow Romanian in the States that represents us, our language and values. I am also super happy that I had seen Chadwick Boseman in this movie, because he was a very good actor. I feel shocked that he died so young.
27 out of 37 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
