Date,Title,Review,Rating
22 December 2000,Amazing performance shines through,"Robert Zemeckis has his 4th best film here (behind Forrest Gump, Who Framed Roger Rabbit and Back to the Future) with Cast Away. Sure it might be overhyped and some characters in the film aren't needed (not to mention it depends on the liking of the lead), but when you have Tom Hanks working harder than any actor in a movie this year, it is worth it.

The story follows Hanks as a dedicated fed-ex deliverer who has a fiance (Helen Hunt) and has to leave her Christmas time to go to Asia, but alas, the plane he's on crashes in the water and, dare I say more (well I can because practically everyone saw the all-revealing trailers)? Well, Hanks arrives on a deserted island and then the real fun begins as he survives in a primitive way (probably remenicent of 2001, Hanks' favorite film), and even finds a silent companion named Wilson (a volleyball). That Hanks can communicate with this volleyball, and almost make the ball as a real person with real feelings that is almost like the Silent Bob to his Jay, is one of the films triumphs. The others of course being the whole lot of him on the island and Hanks' performance. If it was someone else, it would not be as successful, but Hanks gives his all and (as usual) pulls through 5 fold delivering one of the years and his best performances. A-",9
23 June 2017,Not a film to cast away...,"Quite the opposite. Admire both Robert Zemeckis and Tom Hanks, and honestly feel that 'Cast Away' is among the best work of both. It is long and the opposite of feel good, but utterly riveting, thanks to the bold risk-taking and Hanks giving a performance for the ages.

'Cast Away' has been criticised by some for having an unsatisfying ending. It is understandable as to why it is polarising, and why it is seen as inconclusive and depressing to some wanting something happy. Count me in as somebody who found the ending incredibly powerful and who cannot fail to tear up. Have been picky about endings recently and the inconclusive nature didn't bother me that much and actually appreciated that it was more downbeat rather than happy, who to me would have felt a little too on the pat side.

There are so many great things about 'Cast Away' that help make it quite a superb film. Zemeckis' direction is some of his boldest, there are some courageous risks taken like his use of camera work and done in an ingenious way and not overdone. Even better is Hanks' one for the ages almost one-man show performance, sometimes not saying much but expressing a lot in a nuanced way. He is instrumental in making the island and his resilience in struggling to survive riveting viewing and he does so phenomenally.

It is a very well made film too, beautifully and cleverly photographed, atmospherically lit and with a lovingly created island setting. They blend so well with the film's tone and with its boldness. The score avoids from being overwrought, while there is a beautifully constructed script that provokes a lot of thought and wide range of emotions. While deliberately paced, the story is an engrossing one, with a excellently harrowing plane crash and the very telling section on the island that to me didn't drag at all even with events being a little on the slight side. Plus there aren't many times when you feel so much for a volleyball, you do here.

While the other characters aren't as well written or as interesting as Hanks', it is not in a way to bring down the film in any way. Helen Hunt makes a moving impression even with limited screen time, her meeting with Hanks one of the film's most powerful moments.

In conclusion, a powerful, bold and superbly acted, directed and made film that is moving without the audience being forced or manipulated into feeling so. 10/10 Bethany Cox",10
28 May 2020,Excellent film gave me goosebumps,"Crazy that Tom Hanks didn't win the nominations that year! A captivating stranding of wonderfulness, gloriously directed by Robert Zemeckis! I like how there's a bit of comedy despite the circumstances. I love stories about unfortunate things happening where characters are stuck somewhere that deal with many things. Cast Away is legendary even many years later.
30 out of 34 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
14 October 2002,Definitely worth a couple viewings.,"I'll be honest, the first time I saw this film, I wasn't too sure if I liked it. I mean, I certainly enjoyed it, but I just wasn't too sure of how I felt about the film as a whole. I must say that this film was MUCH better the second time around. And just got better with each additional viewing. I am a huge Robert Zemeckis fan, so maybe my expectations were slightly skewed at first. But, all in all, I've watched the film enough times now that I can say ""I love this film!!!""

When I really stop and think about it, the film is brilliantly executed. The scenery is absolutely breath taking, the special effects are so well done that you don't even realize that there are special effects present. This seems to be a trademark of Robert Zemeckis (case and point, ""Forrest Gump""). The acting is very good, although, there's only 2 real sources of acting in this film, Tom Hanks and Helen Hunt. The rest of the cast was good, but their roles were very minor. Tom Hanks pulls off another great performance, as usual. You really can feel all of his emotions while he's stuck on the island. Also, not many actors have changed their physical appearance like Tom Hanks did for this film, I truly applaud him for his work. As much as I liked Russell Crow in ""Gladiator"", I firmly believe that Tom Hanks deserved it more (although that would be his third Oscar). Helen Hunt also pulls off a very nice performance. There is also a good deal of comedy in the film, and it is done very well.

This is one of the few films that I strongly recommend you watch. There aren't a great many films that I would say this, but this one I would. Although...if you aren't a fan of Tom Hanks, then you might have some trouble with this film because a great deal of the film is him alone on an island. So, if that is the case, then you are off the hook. So, I hope you watch the film, and I hope that you enjoy it. Thanks for reading,

-Chris",10
8 March 2002,Outstanding,"I think this is an excellent movie..I've noticed many felt it ""too long, boring, etc..."" which is to be expected in today's ""gimme non-stop action; I haven't been doing anything for 5 minutes, I'm bored"" mentality. This was a true man vs nature movie that really made me think about what I take for granted and I found myself wondering how I would react in such a situation. Would I talk to a volleyball? you betcha...anyone who has spent any significant time alone can relate. Bought the DVD and will watch it for years too come.
480 out of 543 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
14 March 2002,well-crafted and intriguing,"From director Robert Zemeckis comes this powerful character study of a man and his quest for survival. Hanks is a time-obsessed postal worker on a routine cargo transport. His life is forever changed after the plane crashes and he finds himself stranded all alone on an uncharted island. We're drawn into his long, arduous journey as he struggles not only to keep his sanity, but to stay alive so he can make it back to the love of his life (Hunt). A fascinating, believable, and thought-provoking portrait of a man and his fight to live, with a remarkably ideal performance from Tom Hanks, and steady, effectively leisure direction that allows viewers to accompany this resilient survivor on his emotionally wrenching journey. A small idea expanded into a one of a kind movie. ***½
83 out of 108 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
12 October 2007,A wonderfully silent drama with Hanks and Wilson spiritually sensational,"At the turn of the millennium technology started to get bigger and better. Films were starting to develop in a way that was never predicted, but so did the actors. After watching Robert Zemeckis' Forrest Gump 1994, I thought I had seen a true drama, but that was clearly only the beginning.

Tom Hanks (Big, Forrest Gump) stars in his Oscar nominated performance as Chuck Noland, a Fed Ex executive who is stranded on an isolated island after a thunderous plane crash.

When doing background research on this film, I was surprised to see that Russell Crowe had beaten Hanks to the Oscar in 2001. As good as Crowe was in Gladiator, I personally thought Hanks made the most sensational performance of his career here. Hanks' character Noland is truly remarkable. From being a comfortable and hard working executive at home with his long time girlfriend Kelly (Helen Hunt), to being an isolated figure in different circumstances. The change in character allows Hanks to express his full acting potential and dive deep within the soul of the character. It is a true battle of human intelligence and human power that Hanks does so well to give and some scenes really got to me, it is such a powerful role and does well to rival his other Oscar wins.

The text's semiotics are remarkably significant. Having left the wreckage of the plane with only a few supplies, Noland builds himself around what he can salvage and none is more recognizable, than Wilson. A silent volleyball, which was encoded into Cast Away so Hank's could use dialogue to express his traumatic emotions.

The plot is made exciting through various scenes. The plane crash is very dramatic and beautifully directed by Zemeckis and scenes shot on the island, when Hanks is alone and wandering what to do are silent and chilling, justifying the drama genre.

The beautiful island is contradicted by the drastic situation, a truly magnificent incentive.

The ending too is wonderful as it paves the way for many possibilities

a spellbinding film",7
18 August 2012,The most deserving film not in the top 250,"This movie is the most deserving of all movies out there that is not in the IMDb Top 250. In fact, this movie should be in the Top 100. Everything about it works, the cinematography, the locations, the acting, the story and this is Robert Zemeckis' greatest showpiece. Tom Hanks has done some bad roles over the years but this is as brilliant as any Jimmy Stewart performance captured on film. I revisit this film about once a year and find things about it that make it even better with each viewing. The story is so well written in its simplicity, and Helen Hunt and Hanks have an amazing chemistry. It is a love story with action and heartbreak like few films have been able to pull together. I guarantee you will never pass a Wilson volleyball again without a big smile!
159 out of 184 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
10 October 2006,It's all about love,"Robert Zemeckis has his 4th best film here (behind Forrest Gump, Who Framed Roger Rabbit and Back to the Future) with Cast Away. Sure it might be overhyped and some characters in the film aren't needed (not to mention it depends on the liking of the lead), but when you have Tom Hanks working harder than any actor in a movie this year, it is worth it.

The story follows Hanks as a dedicated fed-ex deliverer who has a fiance (Helen Hunt) and has to leave her Christmas time to go to Asia, but alas, the plane he's on crashes in the water and, dare I say more (well I can because practically everyone saw the all-revealing trailers)? Well, Hanks arrives on a deserted island and then the real fun begins as he survives in a primitive way (probably remenicent of 2001, Hanks' favorite film), and even finds a silent companion named Wilson (a volleyball). That Hanks can communicate with this volleyball, and almost make the ball as a real person with real feelings that is almost like the Silent Bob to his Jay, is one of the films triumphs. The others of course being the whole lot of him on the island and Hanks' performance. If it was someone else, it would not be as successful, but Hanks gives his all and (as usual) pulls through 5 fold delivering one of the years and his best performances. A-",10
13 July 2007,"When you haven't got anywhere, all you've got is nowhere","Robert Zemeckis has his 4th best film here (behind Forrest Gump, Who Framed Roger Rabbit and Back to the Future) with Cast Away. Sure it might be overhyped and some characters in the film aren't needed (not to mention it depends on the liking of the lead), but when you have Tom Hanks working harder than any actor in a movie this year, it is worth it.

The story follows Hanks as a dedicated fed-ex deliverer who has a fiance (Helen Hunt) and has to leave her Christmas time to go to Asia, but alas, the plane he's on crashes in the water and, dare I say more (well I can because practically everyone saw the all-revealing trailers)? Well, Hanks arrives on a deserted island and then the real fun begins as he survives in a primitive way (probably remenicent of 2001, Hanks' favorite film), and even finds a silent companion named Wilson (a volleyball). That Hanks can communicate with this volleyball, and almost make the ball as a real person with real feelings that is almost like the Silent Bob to his Jay, is one of the films triumphs. The others of course being the whole lot of him on the island and Hanks' performance. If it was someone else, it would not be as successful, but Hanks gives his all and (as usual) pulls through 5 fold delivering one of the years and his best performances. A-",10
