Date,Title,Review,Rating
24 May 2022,Felt Like I Was Seeing the Inside of My Own Mind on Screen,"I have trouble turning off my brain. Anxieties, worries, mundane to-dos, even positive things, sometimes feel like they're swirling around in a chaotic funnel cloud and I would like nothing more than to sit in physical and mental silence.

""Everything Everywhere All At Once"" felt like the inside of my head. In a world of non-stop, 24/7 news, most of it bad, how is a person like me, who has trouble filtering out things that affect me directly from all of the other things that are just out there happening in general and over which I have no control, supposed to cope?

One answer is to decide that nothing matters anyway and give up caring. But that means deciding that my wife doesn't matter. And that my kids don't matter. And that art, and nature, and things that bring joy to my life, don't matter.

Another way is to decide that some things, ok maybe most things, don't matter, but that there are things that do, and those are the things that make it all worth it. I get to decide what those things are.

The first approach is nihilistic. The second approach is empowering. This film explores both approaches, and I was a sobbing mess at the end.

I will say there were times that I was a bit exhausted by this movie. It throws a lot on the screen and at the viewer, and occasionally it can't keep up with its ambitions. But this was mostly a home run.

Michell Yeoh does terrific work in this, but the MVP is Ke Huy Quan (Short Round from the ""Indiana Jones"" movies).

Grade: A.",9
2 May 2022,best film of 2022,"Profoundly deep, genuinely moving, utterly hilarious, highly imaginative and a visual feast. Haven't laughed this hard, cried this much or thought so deeply about any film in 2022 Much less all in the same viewing. This was indeed everything, everywhere all at once.
1,941 out of 3,251 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
8 April 2022,"Don't do drugs, watch this instead.","If you take drugs for the first time and imagined Jackie Chan was a female Dr. Strange in another universe this would be it. And the synopsis is basically an Asian woman trying to do her taxes. I thought the third act of the movie felt a little stretched out but otherwise I think it's the best movie I've seen all year because I haven't laughed this much in any recent one. From the short time I spent in China, it's also an accurate and hilarious view of Chinese parents 'cause they really do be like that. I can't recommend it enough, it's so chaotic and in the middle of all that managed to be heartfelt too. I thought it was gonna be a Dr Strange wannabe but it's unique on it's own and I'm glad it was released earlier so that people don't compare them. It was just four people (strangers) in the cinema, we were laughing our asses off and it made me sad because everyone deserves to see this. At a time when remakes and reboots are common place it's nice to have something like this, a breath of fresh air.
850 out of 1,523 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
20 April 2022,Fantastic,"""Be kind, especially when you don't know what's going on.""

If only we could recognize that those who combat us in life do so out of hidden pain, and fight them with kindness. If only we could accept our kids for who they are, and say supportive things from the heart instead of trying to mold them. If only we could be content with the life we have, and set aside the idea of the countless other lives we might have led, had we made different decisions along the way. If only we could see that the flipside to life being meaningless and everything ultimately being sucked into the abyss is the freedom that comes from that, that we can do anything with the time we've got.

Like the first word in its title, this film feels like everything. While watching it I thought Stephanie Hsu was everything too, but then again, so was Michelle Yeoh and Jamie Lee Curtis. The homage to Wong Kar-Wai with Ke Huy Quan making his enlightened speech is extraordinary, and the fact that James Hong was still getting it done at age 93 was wonderful. I also loved how both mother and daughter, troubled as they were with their upbringing, each found comfort in a kind and patient partner, and Tallie Medel's character was a nice touch.

The film threatens to go off the rails with its madcap multiverse hopping in the first part, but it's all a setup for the second part, which is incredibly powerful. It was impressive that it managed to be so entertaining along the way, with its fast-paced action and the wild ride it takes us on. It's one that rewards a rewatch to, as its full of little details and references. Just a great film, lots of fun, and from the heart.",10
31 March 2022,The most original film ever made. Period.,"I have trouble turning off my brain. Anxieties, worries, mundane to-dos, even positive things, sometimes feel like they're swirling around in a chaotic funnel cloud and I would like nothing more than to sit in physical and mental silence.

""Everything Everywhere All At Once"" felt like the inside of my head. In a world of non-stop, 24/7 news, most of it bad, how is a person like me, who has trouble filtering out things that affect me directly from all of the other things that are just out there happening in general and over which I have no control, supposed to cope?

One answer is to decide that nothing matters anyway and give up caring. But that means deciding that my wife doesn't matter. And that my kids don't matter. And that art, and nature, and things that bring joy to my life, don't matter.

Another way is to decide that some things, ok maybe most things, don't matter, but that there are things that do, and those are the things that make it all worth it. I get to decide what those things are.

The first approach is nihilistic. The second approach is empowering. This film explores both approaches, and I was a sobbing mess at the end.

I will say there were times that I was a bit exhausted by this movie. It throws a lot on the screen and at the viewer, and occasionally it can't keep up with its ambitions. But this was mostly a home run.

Michell Yeoh does terrific work in this, but the MVP is Ke Huy Quan (Short Round from the ""Indiana Jones"" movies).

Grade: A.",10
25 March 2022,The best acid trip experience that can only be felt once in a lifetime!,"Most of us who are mindful of the film can agree on one thing, Everything Everywhere All at Once feels like you're walking on an acid trip experience. It's an imaginary film that makes you feel like you had just swallowed a bottle of limitless pills, dopes, drugs or other substances that may similarly affect your consciousness and memories.

And this movie deliversssssssssss that! Wow wow wow! Imagine if Dr Strange, Limitless, The Matrix, Click, Rick & Morty, Star Wars, Ratatouille and Manchester By the Sea combined to become a film, Everything Everywhere All at Once is the one! Now you must be wondering, how could Ratatouille and The Matrix complement each other to be in the same movie? 🤣🤣🤣 This question should be THE reason you should go support this film now in cinemas!

Produced by A24, an independent film company, I was surprised at how they have pulled this off. Half of the film is located at an office, which is understandable considering A24 produces low or semi-budget films. But it's such a wonder how this movie could be so good with only so few places the movie took place for the first hour. What's even better is EEAAO occurred within closed and overcrowded spaces that may slightly trigger people experiencing ADHD, hypersensitivity and claustrophobia, pushing the film into maximum impact.

This film is filled with action-packed sequences that will blow you brains out! It's fun, exhilarating, creative, hilarious and never-been-done-before! Adding up with the out-of-the-world concept and unique storyline, every fighting scene seems appropriately done and even if there's just so many styles and tones of scenes coming out from the screen, fitting is the right word to describe them.

EEAAO seems like any other movie at the beginning but when all hell breaks loose, the story becomes increasingly complex as it explains the world revolving around the central character, propelling the plot into motion. Meticulously explained, the narrative manages to be exciting and outrageously wild but reasonable within its own multiverse contexts.

Michelle Yeoh, our Malaysian actress 👏🏻👏🏻👏🏻, is excellent in this, proving that she's fluid in bringing out the best of her multiple character(s). Complicated as it is, she knew what kind of project she's doing and it just shows how dedicated she is at acting. It's not easy to play her role and it's definitely not easy to create multiple personas interconnected by different universes and dimensions, with separate storylines, all destined to have the same fate. This is an Oscar-worthy performance, and whether or not if Yeoh got nominated lies on the decision if the Oscar recognizes speculative fiction as a genre acceptable to compete with other highly-appraisal films.

There were many genuinely laugh-out-loud moments throughout, NOT the one where you're forced to laugh just because everyone is laughing to avoid the awkwardness surrounding the audience in the hall, but the one that it's just funny you're having a truly good time. The script and performance help to amplify the comedic moment but the most special thing is that it's aware of its VFX effects and the team knows how to level up/down the intensity and realness of the CGI. How so? The CGI is very good, but there are times that the CGI is made to be purposely bad, like you're watching a short film by a bunch of ambitious varsity students, and it works! It works because everyone in the theater was laughing, it clicks just right with the moments and scenes you're watching. You'll laugh at how bad it is in a good way!

If there's one dislike from this film is that it's gonna be a tough watch for some people. Like mentioned earlier, those with ADHD and hypersensitivity may be triggered with the intensity of this film. Also, the storyline is difficult for some to digest due to its complexity of its universe-building. The film is promoted as being light and fun but...EEAAO is weighty, dark, bizarre and surreal, only those who have what it takes can appropriately understand the building block storytelling.

Verdict: Mind-bending and mind-blowing, Everything Everywhere All at Once masters its building block storytelling that feels like an acid trip worth experiencing and that experience... can only be felt once in a lifetime. We're only in March but without a doubt, this is already the best film of the year! Sorry, summer blockbuster movies!",9
3 March 2023,Annoying gibberish mess.,"I have trouble turning off my brain. Anxieties, worries, mundane to-dos, even positive things, sometimes feel like they're swirling around in a chaotic funnel cloud and I would like nothing more than to sit in physical and mental silence.

""Everything Everywhere All At Once"" felt like the inside of my head. In a world of non-stop, 24/7 news, most of it bad, how is a person like me, who has trouble filtering out things that affect me directly from all of the other things that are just out there happening in general and over which I have no control, supposed to cope?

One answer is to decide that nothing matters anyway and give up caring. But that means deciding that my wife doesn't matter. And that my kids don't matter. And that art, and nature, and things that bring joy to my life, don't matter.

Another way is to decide that some things, ok maybe most things, don't matter, but that there are things that do, and those are the things that make it all worth it. I get to decide what those things are.

The first approach is nihilistic. The second approach is empowering. This film explores both approaches, and I was a sobbing mess at the end.

I will say there were times that I was a bit exhausted by this movie. It throws a lot on the screen and at the viewer, and occasionally it can't keep up with its ambitions. But this was mostly a home run.

Michell Yeoh does terrific work in this, but the MVP is Ke Huy Quan (Short Round from the ""Indiana Jones"" movies).

Grade: A.",
26 March 2022,What a perfect title for this movie.,"It was everything everywhere all at once. Sometimes too many things, too many places at once and you can get lost, but it helps to focus on things.

Obviously, the amazing Michelle Yeoh is one thing to focus on. The whole reason I myself came to see this flick in the first place. Much as this movie gives you to absorb it was easy to keep my eyes on the beautiful Yeoh.

Oh, and the kid from Indiana Jones and the Temple of Doom is in this flick. He's older odiously but he still sounds like the kid form The Goonies. How lucky he was he got to play Yeoh's baby daddy in this joint.

Last and definitely not least it was good to see James Wong in this film. You could tell they most likely made some filming adjustments to assure the 90 something year old actor can do the role but that's what you do when you have legends do your flick.

Speaking of legends, almost forgot about Jamie lee Curtis who seem like she was having fun in her role.

The fact that this movie is about a multiverse I low key was expecting a multiverse connection between who Yeoh plays in this movie, and her character in Shang shi. That would have been cool.

It's interesting that this like the third movie that came out in March that's about the mommy daughter relationship between Asian women. What's even more interesting is how they go in order. Turning Red is about a 13-year-old and Her mom, Umma is about an 18-year-old and her mom and the girl playing Yeoh's daughter looks like she's possibly in her early 20s. Don't know when this became a hot plot in movies, but I will admit I prefer how the story lays out here (but only because I relate more to an Asian woman in her 20s over a middle schooler)

The music in this film is great. The movie was filmed in the context that the story is about a laundromat owner in her mid-life dealing with where she came from and where she's going, but the music actually fits perfectly into the ideal of this woman being the key to saving the multiverse and it made for a lot of the entertainment. Just these big orchestra cues that make it sound like I'm watching Dune contradicting, the image of Yeoh being a worn-out blue-collar mom. Spectacular!

I say it's good. It's all over the place and it can be a handle to process, but it has a good cast to concentrate on.",9
3 April 2023,It Seemed Endless,"There's a point here where we are swept up in sensory overload, where so much stuff is thrown at us that we tune it out. I reached a point about two-thirds through this where I couldn't get my mind back in it. Have we reached a point where we have no expectations of a conclusion. When one has someone playing multiple characters in multiple settings, there needs to be something tying it together. The protagonist needs to be someone we identify with who has wishes and hopes that lead us on. She seemed as confused as the storyteller and the husband. I guess I'll read some more about this film and hope with guidance to try to figure it out a bit. Obviously, all these universes and all this actions (way too much battling in my estimation) are leading somewhere. I thought the film had ended about six times. I don't mind being brought back in, but I wish I understood where we just landed. Yes, there is a lot going on and it is violently splashed on the screen. But I ended up exhausted and unsatisfied.
291 out of 461 found this helpful. Was this review helpful? Sign in to vote.
Permalink",6
1 April 2022,Near Flawless Film,"Rarely does a movie hit me hard and I go along for the ride. Every moment has a spectacle to it. Even the simplicity of having your taxes done. Often silly, mostly confusing but entirely entertaining. It was great to see Short Round back on the big screen with a very glamoured down Michelle Yeoh as a married couple on the brink of fracturing a family unit.

The story is of, Evelyn, a woman who has never really committed to much in life. She has many interest but many where she isn't fully invested in. In this case, her family lives above the laundromat that is failing. They are being audited, but yet she has big dreams to expand her enterprise. Her husband (the fore mentioned Ke Huy Quan) Waymond, is a kindly follower and believer of his wife who seems to focus more on the bad than the good. Pessimist, if we are to be formal. It is the Chinese New Year, and many people are invited to celebrate with this family, including a Grand-Father who is labeled as a man set in his ways and wouldn't understand the same-sex relationship of his grandaughter Joy (Stephanie Hsu). What follows is a grand adventure, first at the IRS building (of all places) and eventually to distant alternate universes to which shows her the way her life may have gone had certain things didn't take place. I absolutely loved the fact that Jamie Lee Curtis plays the uptight auditor, who seems perfectly fine in the core universe to which all revolve around. Evelyn, on the other hand, taps into her other universes to gather the skills needed to fight a fracture in the timelines that sneak into her mundane life.

Yes, there is a message here. And...to be honest, it nearly derails the film itself. But it was required to tie in the meaning of everything that is going on. That we are made of experiences of every universe that exists out there (if you believe in metaphysics) and that they road you didn't take, through gained experiences, with some that even was more enticing then the present one, means we would never have known our other lives. Children wouldn't be born, love would be lost, relationships move on. It is the grand question of whether or not if we got a glimpse of that road we didn't take, would it all mean anything. In this case, I say it almost derails because the universes effect one another. And in this story, it even bridges them. Which to some, may feel like a cheat. However, the fact that I even ask this question makes it a vastly interesting story. That is for you to decide.

The movie is exciting, vibrant, energetic and feels absolutely unique. It allows the viewer to slowly tie the ends together, and perhaps sometimes gets too far ahead. But doesn't let you lose yourself too much. What it isn't is boring. It is captivating and fresh. And, look, who can hate a scene of people being beaten with rubber phalluses?

That said, it is one of the most interesting movies of 2022 and hopefully stays in the minds of awards in the future. Because it deserves a bigger audience. These are the types of fun, philosophical questions buoyed by comedy that we need.

I go back to Ke Huy Quan. This guy can do funny and also bring a tug to your heart so easily. It's so hard to imagine him as the little boy from ""Indiana Jones And The Temple Of Doom"" because, here he shows so much range. His natural charm is shown through his love for Evelyn. He seems to be suffering through a fracture himself. He plays many roles here as well. Because, in many universes in life, the theory here may be that we will run into people we are meant to run into regardless of choices. That's a very romanticized view on the universe.

Kudos to The Daniels for their talent and joy of cinema. It would not surprise me if they helm a larger film in the future. Perhaps they can re-vamp a comic book franchise into something much more unique.

Thank you for this movie.",9
