review_date,review_title,review_comment,review_rating
4 October 2013,"Great Visuals, Weak Script overall",Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,7
19 October 2013,"A stellar space film that is literally about space and vertigo and survival--fiction, but not science fiction",Gravity 2013 A ridiculously visual movie The photography is astonishing Astonishing Add to that a story that never relents with suspense and emotional intensity and you have a remarkable movie The idea of being under constant stress worrying for your main characters should not be new if you know the director Alfonso Cuaron s previous major film Children without Men And like that film he works with his same cameraman Emmanuel Lubezki who has become a co conspirator in his films That s a good thing This movie is a visual stunner Yes it has a lot of effects if you can call them that but that have such visual coherence they remain logical and reasonable even as they tip into the fabulous It s an achievement Sandra Bullock is the main character here even more than her co lead George Clooney And she s pretty amazing You might think she doesn t get much room to stretch her abilities trapped in space the whole time but this is exactly where it shows how good she is Even when she s talking to herself she makes it real and moving not a canned or cheesy sentimental or filler kind of moment Clooney is also strong playing the more experienced astronaut to a T including his enduring calm in crisis Once you are done watching and leave the theater or stand up from your couch you might actually feel disoriented Certainly in 3 D and I saw it in the IMAX version the effects are visceral But looking back in the light of day you might also ask what the movie was about Or rather if it was about anything more than the one relentless trajectory of surviving a series of near death mishaps The answer is no And that s a strength It s definitely good that the writers including the director did not push the sentimentality too hard there s a little And there is no great sense of finding God or discovering your inner self No this is a survival film as gripping and down to earth haha as the vivid Grey No distractions here Except the visuals Even in 2 D this must be something to marvel at The 3 D was really really good and this might seem odd to say given the theatrical mechanics of the camera and exploding spacecraft but it s also really subtle There are few moments memorable ones like Bullock s tears where the dimensional aspects come forward But the film basically uses the 3 D effects to enhance what is already there nothing more This of course enhances a lot but in respect to the story The photography is remarkable for the long takes at work including the almost laugh out loud spectacular first long scene where Bullock and Clooney are doing spacewalks The intelligence of how the camera pulls you into the scenes with fluidity and without breaks no edits no cuts is both beautiful and effective There are even moments that are so virtuosic you wonder how they even thought they could do it let alone then do and succeed The best example for me was watching Bullock spinning against the fixed starry sky then the camera pulls closer and seamlessly starts to spin until the spinning becomes the same as Bullock s The camera continues its approach getting in on her helmet with reflections and her face and then finally her eye yes that close and with an incredibly deft wide angle swing we are in her head looking out at the spinning universe listening to her panic Then the camera reverses and undoes all of this step by fluid step It takes a really long time it happens without a single break which means you are given no emotional escape and it s both gorgeous and taut with terror There have been some questions raised about the feasibility of the various events the different orbits of the real shuttle and space station or the high speed of the spacewalker in a jetpack or getting a visual on a space station 100 miles away but you have to just let all that go It doesn t really matter It s not about likelihood on any level And the movie is so accurate in so many ways it will seem very conceivable It s hard to imagine not liking this movie on one level or another No it isn t crazily imaginative like a Tarantino or Coen film and it doesn t work its way into social or psychological significance but what it deliberately does focus on is flawless a postscript be sure to see the Cuaron directed parallel short film Aningaaq which is recently posted all over Google it,8
6 October 2013,"Super special effects, weak story and dialog",Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,7
23 July 2023,Planet Earth is Blue & There's Little You Can Do...,You ve been floating round the Earth outside the bubble making repairs to telescope whose name is Hubble and then proverbial hits the fan deviating from the plan before you know it you re cast adrift in lots of trouble Matt Kowalski reaches out to gather in you make your way with him to station that s within but it s battered and quite bruised you re frustrated and bemused and the air you breathe is getting rather thin But the cards that you ve been dealt may just play out although there s not insignificant amounts of doubt in fact the chances are quite low that you will find a place to go though a trajectory has been set somewhere about,8
27 July 2014,The Most Visually Stunning Film Of 2013,Truly epic in scale Whilst Gravity falls short against films like 2001 A Space Odyssey it is a tense and visually stunning thriller from Alfonso Cuar n Cuar n is one of my all time favourite directors and this CGI heavy project just boasts skill and ingenuity from the director DOP and VFX artist The critics stated that you would be gripping to the edge of your seats this is true in every aspect the film is full of intense and thriller situations with amazing performances from Sandra Bullock and George Clooney Just shy from winning Best Picture over 12 Years a Slave Gravity left the Oscars with 7 Academy Awards to its name and it deserved each and every one of them A masterpiece that allows the viewer to become immersed within the scene to often thrilling effect,
17 October 2013,What the heck did I just see?????????,Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,1
13 October 2013,Stars in Space,Visually stunning A real first in the technical department and presumably that was the extent of its intent None of the great themes of Kubrick s 1968 masterpiece 2001 A Space Odyssey are present here This is a superlative 90 odd minutes of remarkable beauty but the 90 odd minutes become really long because just like the heroine we have so little to cling on to story wise It seems petty to criticize a film of this kind for whatever it doesn t accomplish because what it means to accomplish it does in spectacular fashion I just felt that I was served a glorious appetizer without a main course Two huge stars in space Sandra Bullock and George Clooney Why If the idea was to dazzled us with something we had never seen before great unknown actors would have added an extra something Kubrick used Keir Dullea in 2001 A Space Odyssey yes Keir Dullea or as Noel Coward put it Keir Dullea gone tomorrow We know that if Sandra Bullock was in charge she one way or another will land safely She s terrific don t get me wrong but I wasn t as worried about her as I should have been The last problem was the score Why A standard horror action flick musical score with cheap shots here and there I think the purity of the work needed to be extended on every department Now putting all that aside director Alfonso Cuaron must be applauded and I strongly recommend you to run and see it in the biggest screen you can find and in 3D,8
14 September 2013,In Space No One Can Hear You Scream,Arguably the best tagline for a movie EVER In space no one can hear you scream Alien s In space no one can hear you scream tagline is arguably the best tagline for a movie of all time That same tagline could easily be effectively utilized for Alfonso Cuar n s latest thriller Gravity Starring two unknowns by the names of George Clooney and Sandra Bullock Gravity puts the two A listers together as a medical engineer and an astronaut that must work in tandem to survive once a freak accident leaves them adrift in space Their struggle takes place after debris from a Russian satellite comes speeding through their orbit ripping their space shuttle to shreds causing Dr Ryan Stone Bullock to float untethered in space Coming to her aid is astronaut Matt Kowalsky Clooney who estimates that the debris will again circle the earth and again zip past their location in approximately 90 minutes Their mission quickly changes into a race to survival 600km above the earth where help from anyone outside of each other is impossible Alfonso Cuar n is chiselling himself quite a career He was last behind the camera for Children of Men 2006 which was nominated for three Academy Awards and he was also responsible for the best film in the Harry Potter film series with Harry Potter and the Prisoner of Azkaban 2004 But Gravity is his best work to date Bullock carries the film expect some murmurs for a Best Actress nomination and Gravity centers on the two main characters only There are no other developed characters Two other astronauts and a radio voice from Houston Texas are the only other character influences and their parts wouldn t amount to 2 minutes if strung in order With only two actors to carry the entire 90 minute runtime the movie relies heavily on its visuals of space and the various orbiting stations with the earth always prominent in the background And the visuals are fantastic There are no side stories sub plots unnecessary fluff or sexual tension between the characters Just a desperate attempt to make the most of the oxygen they have left Gravity is the best 3D film ever Ever Add to the mix the incredible visuals and perfect sound both loud and quiet and you have a faultless mix Gravity will contend for Oscar s in Visual Effects Sound and Editing Cuar n incredibly is able to give his audience a sense of claustrophobia whether his cast are inside an orbiting capsule or in the vast darkness of space And as the astronauts deal with each new developing tragedy the audience will themselves be gasping for air rooting for the character s success in each new attempt at survival With still a few months left in the year it s too early to call a film the year s best But Gravity will definitely be there on many lists at the year s conclusion It s that breathtaking It s that good www killerreviews com,9
16 October 2013,Spiralling into a vacuous void,Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,1
20 September 2013,'Gravity' lives up to the hype with Sandra Bullock's crowning achievement intact (★★★★),Visually Gravity is unlike what we have seen on a cinema screen before and arguably it has one of the best uses of 3D in a movie The setting is spectacular and the premise is inventive On every other front the movie falters badly Once you get over the initial wonderment surrounding the beautiful visuals the chinks start showing up Overall the script is very weak Apparently the Russians bomb their own satellite by mistake and the debris is flying around at bullet speed smashing everything in its way Now upon hearing an emergency evacuation request Kowalski who has been wasting his precious thrusters all this while floating around spouting inane dialogs orders Ryan Bullock to disengage from whatever she is repairing Apparently Ryan has six months of training only and fails to be responsive and then the trouble starts We come to know that Ryan has some head issues surrounding the death of her daughter as the writer felt a dire need to give Ryan some sort of existential problem in her head to make her character feel more human Apart from this minor bit nothing is presented in terms of character development for any other protagonists Who is Kowalski Who are the people who died in their space pods No idea Then the whole manufactured sense of suspense Every time Ryan gets anywhere near the Air Lock she does it three times the debris presents itself like on cue every single time Then a fire in a space station then running out of Oxygen then something then something It s fine that they used some standard tricks but it all seems so manufactured and mechanical by the numbers suspense Also at times I couldn t shrug off the feeling that what they are showing on screen is not actually factual Do the controls on various international space stations have their national languages on them Really Maybe they do but seems hard to believe when 20 phones are built with custom User interfaces with changeable languages why have your billion dollar space stations with Russian or Chinese characters on your buttons totally beats me Oh manufactured suspense owing to the whole can t understand this thing machinery The the dialogs when they come are nothing to write home about Ryan has a hallucinatory moment when she talks to herself following some Mandarin Chatter on the radio which is cringe worthy I wont even mention the in your face allegory about rebirth which is there for to make the movie seem deeper than it is So what works for the movie It s a cross between an IMAX documentary with some suspense elements thrown it which makes it look path breaking But it s not Not a bad watch but nothing to rave about either,10
