Date,Title,Review,Rating
2 July 2017,The Kaiser in exile in Holland,"The Exception (2016) was directed by David Leveaux. The movie was produced in Belgium, but the dialog is in English.

The film is not meant to be a documentary, so we can't take it at face value. However, the basic outline of the story is true. Kaiser Wilhelm II was forced to relinquish his throne after World War I. He spent his remaining years at a secluded mansion in Holland. When Holland was invaded and conquered by the Germans, Wilhelm came under the direct authority of Germany.

In the movie, a previously wounded German army captain (Stefan Brandt, portrayed by Jai Courtney) is sent to be the commanding officer of the Kaiser's guard. Brandt is a loyal officer, but he is disgusted by the SS atrocities. He falls in love with one of the maids, Mieke de Jong, portrayed by the beautiful Lily James. She is Jewish, but Brandt isn't anti-Semitic, so he pursues his romance with Mieke.

Historically, Heinrich Himmler, the Reichsführer of the SS, did, indeed, visit the Kaiser in Holland. That visit is the lynchpin to the plot. (If the visit had been invented for plot purposes, we wouldn't believe it. However, Himmler really did visit.)

The key role in the film is that of Kaiser Wilhelm II, played brilliantly by Christopher Plummer. Plummer is a consummate actor, and he makes the role come alive.

I think that the manner in which the Kaiser is portrayed takes the movie the furthest away from historical reality. In the film he's shown as a more-or-less kindly old man who loves to feed his ducks. According to Wikipedia, he remained a harsh, haughty aristocrat. However, the movie will only work if we believe that the Kaiser also has a softer side, so that's what we see.

I want to alert IMDb readers to watch for the work of Janet McTeer, who portrays the Kaiser's wife, Princess Hermine. She has no great love for the Nazis, but she is willing to go to any lengths to see that her husband returns to Germany and is restored to his monarchy. She is a German Lady Macbeth--cold, calculating, and decisive.

We saw this film at the wonderful Little Theatre in Rochester, NY. It will work well on the small screen. The movie carries an anemic 6.8 IMDb rating. It's much, much better than that. The plot is interesting, the acting is outstanding, and the direction is excellent. Don't be fooled by the low rating--this is a movie that I highly recommend.",10
7 July 2017,Christopher Plummer,"This is the main reason to see this picture, an old-timer at the top of his game at the ripe old age of 87. Acting skill and impeccable timing still at its best as he enters the character of Kaiser Wilhelm hoping to make a comeback as the ruler of his beloved homeland. He gets scant help from the two principals, Lily James and Jai Courtney, and you find yourself waiting for Plummer's next appearance.

The story which has been recounted in other reviews is good and is basically a love story between James and Courtney. There is little action in this character study, but mention must be made of Eddie Marsan, who gives a hypnotic and creepy performance as Heinrich Himmler, Hitler's Gestapo Chief. His portrayal is chilling and repulsive and he is an arresting presence on screen (no pun intended). ""The Exception"" is interesting and absorbing - especially when Plummer is front and center.
64 out of 68 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
6 May 2020,Christopher Plummer Is One Extraordinary Actor,"Christopher Plummer is in his old age one of the finest actors the silver screen has ever known. Here he play Kaiser Wilhelm, German emperor in exile in Holland at the onset of World War II. As the suspenseful plot unfolds, his performance draws us into the plight of Germans, including the Kaiser's wife, who began to recognize the evil intentions of the Nazi regime. Reviewers need to remember that this is a movie, the characters are invented, but the point of view is clear and beats the ridiculous premise of films like Inglorious Basterds. Yes folks there were thousands of people who resisted, Germans among them.
20 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
14 June 2017,Exceptional!,"The Exception (2016) was directed by David Leveaux. The movie was produced in Belgium, but the dialog is in English.

The film is not meant to be a documentary, so we can't take it at face value. However, the basic outline of the story is true. Kaiser Wilhelm II was forced to relinquish his throne after World War I. He spent his remaining years at a secluded mansion in Holland. When Holland was invaded and conquered by the Germans, Wilhelm came under the direct authority of Germany.

In the movie, a previously wounded German army captain (Stefan Brandt, portrayed by Jai Courtney) is sent to be the commanding officer of the Kaiser's guard. Brandt is a loyal officer, but he is disgusted by the SS atrocities. He falls in love with one of the maids, Mieke de Jong, portrayed by the beautiful Lily James. She is Jewish, but Brandt isn't anti-Semitic, so he pursues his romance with Mieke.

Historically, Heinrich Himmler, the Reichsführer of the SS, did, indeed, visit the Kaiser in Holland. That visit is the lynchpin to the plot. (If the visit had been invented for plot purposes, we wouldn't believe it. However, Himmler really did visit.)

The key role in the film is that of Kaiser Wilhelm II, played brilliantly by Christopher Plummer. Plummer is a consummate actor, and he makes the role come alive.

I think that the manner in which the Kaiser is portrayed takes the movie the furthest away from historical reality. In the film he's shown as a more-or-less kindly old man who loves to feed his ducks. According to Wikipedia, he remained a harsh, haughty aristocrat. However, the movie will only work if we believe that the Kaiser also has a softer side, so that's what we see.

I want to alert IMDb readers to watch for the work of Janet McTeer, who portrays the Kaiser's wife, Princess Hermine. She has no great love for the Nazis, but she is willing to go to any lengths to see that her husband returns to Germany and is restored to his monarchy. She is a German Lady Macbeth--cold, calculating, and decisive.

We saw this film at the wonderful Little Theatre in Rochester, NY. It will work well on the small screen. The movie carries an anemic 6.8 IMDb rating. It's much, much better than that. The plot is interesting, the acting is outstanding, and the direction is excellent. Don't be fooled by the low rating--this is a movie that I highly recommend.",7
28 June 2017,Spy drama comes to life in the second half,"As ""The Exception"" (2016 release from the UK and Belgium) opens, we are told it is ""Berlin, May 1940"" (the Nazis have just invaded Belgium, Holland and France). For reasons not yet clear, the Nazis decide to send Captain Brandt to Utrecht, the Netherlands to guard the exiled Kaiser Willem II. As Brandt settles in, he starts a passionate affair with Mieke, one of the local maids working for Willem II, and she reveals to him she is Jewish. Along the way, we also start to know the thinking of Willem II and his wife, who both still are hoping for a return to the throne. Then the news comes that the Nazis have intercepted morse code transmissions made from the nearby village that an English spy is trying to infiltrate Willem II's entourage. At this point we are 15 min. into the movie, but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.

Couple of comments: this is the feature-length debut of British director David Leveaux (best known for directing theater plays). Here he brings the book ""The Kaiser's last kiss"" to the big screen. I have not read the book so I don't know how closely the film's script stays to the book. Given that this is a spy-related drama, one mustn't say too much that could give clues about how it all plays out (biting my tongue!). Let me just comment in general that the movie drags a bit (for me, anyway) in the first half, but really comes to life in the second half. Christopher Plummer continues his recent streak of great performances (check out last year's ""Remember"" if you haven't seen it yet!) in his role as Willem II, and Jai Courtney is fine as Capt. Brandt. But for me the movie was stolen, in the best possible way, by up-and-coming (and stunningly beautiful) British actress Lily James in her role as the local maid Mieke. Surely we have not seen the last of her. Bottom line: this is a fine movie, bringing a mix of spy drama and romance.

""The Exception"" has been available on VOD since early June, so imagine my surprise when this recently showed up at my local art-house theater here in Cincinnati. The Tuesday evening screening where I saw this at was attended quite nicely (about 10 people in the theater). If you are in the mood for an ol' fashioned spy-romance movie, you could do a lot worse than watching ""The Exception"", be it in the theater, on VOD or eventually on DVD/Blu-ray.",7
4 June 2017,A beautifully honed film,"The Exception (2016) was directed by David Leveaux. The movie was produced in Belgium, but the dialog is in English.

The film is not meant to be a documentary, so we can't take it at face value. However, the basic outline of the story is true. Kaiser Wilhelm II was forced to relinquish his throne after World War I. He spent his remaining years at a secluded mansion in Holland. When Holland was invaded and conquered by the Germans, Wilhelm came under the direct authority of Germany.

In the movie, a previously wounded German army captain (Stefan Brandt, portrayed by Jai Courtney) is sent to be the commanding officer of the Kaiser's guard. Brandt is a loyal officer, but he is disgusted by the SS atrocities. He falls in love with one of the maids, Mieke de Jong, portrayed by the beautiful Lily James. She is Jewish, but Brandt isn't anti-Semitic, so he pursues his romance with Mieke.

Historically, Heinrich Himmler, the Reichsführer of the SS, did, indeed, visit the Kaiser in Holland. That visit is the lynchpin to the plot. (If the visit had been invented for plot purposes, we wouldn't believe it. However, Himmler really did visit.)

The key role in the film is that of Kaiser Wilhelm II, played brilliantly by Christopher Plummer. Plummer is a consummate actor, and he makes the role come alive.

I think that the manner in which the Kaiser is portrayed takes the movie the furthest away from historical reality. In the film he's shown as a more-or-less kindly old man who loves to feed his ducks. According to Wikipedia, he remained a harsh, haughty aristocrat. However, the movie will only work if we believe that the Kaiser also has a softer side, so that's what we see.

I want to alert IMDb readers to watch for the work of Janet McTeer, who portrays the Kaiser's wife, Princess Hermine. She has no great love for the Nazis, but she is willing to go to any lengths to see that her husband returns to Germany and is restored to his monarchy. She is a German Lady Macbeth--cold, calculating, and decisive.

We saw this film at the wonderful Little Theatre in Rochester, NY. It will work well on the small screen. The movie carries an anemic 6.8 IMDb rating. It's much, much better than that. The plot is interesting, the acting is outstanding, and the direction is excellent. Don't be fooled by the low rating--this is a movie that I highly recommend.",10
21 June 2017,A pleasant surprise,"This film tells the story of an army official in Nazi Germany, who is responsible for finding out the spy in the Dutch royal residence. He develops a romance with the Jewish maid, and he is forced to choose side.

I normally do not have high expectations for films I have not heard of, therefore I was pleasantly surprised by ""The Exception"". The plot is engaging, as it makes viewers care for both the German soldier and the Jewish maid. The production is good, and the sets are convincing. Jai Courtney is charming as the army officer, and I think he attracts adoration, sympathy and respect for his character.
23 out of 32 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
6 May 2019,"It was 1940, a German Nazi officer falls for a young Jew.","My wife and I watched this at home on DVD from our public library. It is beautifully shot and acted.

It helps to know a bit of the actual history, Kaiser Wilhelm II of Germany abdicated and exiled himself to Holland after Germany was defeated in 1918. Having lived quietly there for about 20 years he is sent a military presence to find if there is a british spy in his midst. Also it may be that some Germans may want to assassinate the Kaiser. This story here, a fictional one based on a novel, takes place mostly in 1940, during the last year of the Kaiser's life.

Jai Courtney is Nazi Capt. Brandt, selected to head up the military protection. When he is given his assignment he was told, ""If anything happens to the Kaiser you will be shot, and I will shoot you.""

Christopher Plummer shows us why he has been so successful all these years, as he plays Kaiser Wilhelm II with appropriate charisma and devilish charm. One of his newer service staff is Lily James as Mieke de Jong. We see all of her at 13:26 into the DVD when in her first encounter with Brandt he says ""Take off all your clothes"" and she does without question or complaint.

This is a well made movie of an interesting story set against the backdrop of real events of 1940. A story of forbidden love and the need to betray one's loyalties to do what is right. Can they find each other after the war? The inscription in a book she sends him may provide the clue.",
15 August 2017,Not The Rule,"The Exception (2016) was directed by David Leveaux. The movie was produced in Belgium, but the dialog is in English.

The film is not meant to be a documentary, so we can't take it at face value. However, the basic outline of the story is true. Kaiser Wilhelm II was forced to relinquish his throne after World War I. He spent his remaining years at a secluded mansion in Holland. When Holland was invaded and conquered by the Germans, Wilhelm came under the direct authority of Germany.

In the movie, a previously wounded German army captain (Stefan Brandt, portrayed by Jai Courtney) is sent to be the commanding officer of the Kaiser's guard. Brandt is a loyal officer, but he is disgusted by the SS atrocities. He falls in love with one of the maids, Mieke de Jong, portrayed by the beautiful Lily James. She is Jewish, but Brandt isn't anti-Semitic, so he pursues his romance with Mieke.

Historically, Heinrich Himmler, the Reichsführer of the SS, did, indeed, visit the Kaiser in Holland. That visit is the lynchpin to the plot. (If the visit had been invented for plot purposes, we wouldn't believe it. However, Himmler really did visit.)

The key role in the film is that of Kaiser Wilhelm II, played brilliantly by Christopher Plummer. Plummer is a consummate actor, and he makes the role come alive.

I think that the manner in which the Kaiser is portrayed takes the movie the furthest away from historical reality. In the film he's shown as a more-or-less kindly old man who loves to feed his ducks. According to Wikipedia, he remained a harsh, haughty aristocrat. However, the movie will only work if we believe that the Kaiser also has a softer side, so that's what we see.

I want to alert IMDb readers to watch for the work of Janet McTeer, who portrays the Kaiser's wife, Princess Hermine. She has no great love for the Nazis, but she is willing to go to any lengths to see that her husband returns to Germany and is restored to his monarchy. She is a German Lady Macbeth--cold, calculating, and decisive.

We saw this film at the wonderful Little Theatre in Rochester, NY. It will work well on the small screen. The movie carries an anemic 6.8 IMDb rating. It's much, much better than that. The plot is interesting, the acting is outstanding, and the direction is excellent. Don't be fooled by the low rating--this is a movie that I highly recommend.",7
23 June 2017,Clever and exciting and romantic,"The Exception (2016) was directed by David Leveaux. The movie was produced in Belgium, but the dialog is in English.

The film is not meant to be a documentary, so we can't take it at face value. However, the basic outline of the story is true. Kaiser Wilhelm II was forced to relinquish his throne after World War I. He spent his remaining years at a secluded mansion in Holland. When Holland was invaded and conquered by the Germans, Wilhelm came under the direct authority of Germany.

In the movie, a previously wounded German army captain (Stefan Brandt, portrayed by Jai Courtney) is sent to be the commanding officer of the Kaiser's guard. Brandt is a loyal officer, but he is disgusted by the SS atrocities. He falls in love with one of the maids, Mieke de Jong, portrayed by the beautiful Lily James. She is Jewish, but Brandt isn't anti-Semitic, so he pursues his romance with Mieke.

Historically, Heinrich Himmler, the Reichsführer of the SS, did, indeed, visit the Kaiser in Holland. That visit is the lynchpin to the plot. (If the visit had been invented for plot purposes, we wouldn't believe it. However, Himmler really did visit.)

The key role in the film is that of Kaiser Wilhelm II, played brilliantly by Christopher Plummer. Plummer is a consummate actor, and he makes the role come alive.

I think that the manner in which the Kaiser is portrayed takes the movie the furthest away from historical reality. In the film he's shown as a more-or-less kindly old man who loves to feed his ducks. According to Wikipedia, he remained a harsh, haughty aristocrat. However, the movie will only work if we believe that the Kaiser also has a softer side, so that's what we see.

I want to alert IMDb readers to watch for the work of Janet McTeer, who portrays the Kaiser's wife, Princess Hermine. She has no great love for the Nazis, but she is willing to go to any lengths to see that her husband returns to Germany and is restored to his monarchy. She is a German Lady Macbeth--cold, calculating, and decisive.

We saw this film at the wonderful Little Theatre in Rochester, NY. It will work well on the small screen. The movie carries an anemic 6.8 IMDb rating. It's much, much better than that. The plot is interesting, the acting is outstanding, and the direction is excellent. Don't be fooled by the low rating--this is a movie that I highly recommend.",10
