Date,Title,Review,Rating
27 February 2020,I have NEVER seen such a performance ... ever!,"No, I'm not speaking of Brad Pitt; I'm speaking of German actor Christoph Waltz! He has won just about every award for his performance in this film, and he deserves every single one of them. Take my Challenge: Watch this film and see if you don't get the chills whenever Christoph Waltz's character is 'interrogating' his suspects! Ooooo! He is ULTRA polite with each one; and has supreme confidence in his scary, chilling, bold mannerisms. All I can say is: ""You see this movie for Christoph Waltz's performance; all the rest is secondary""!
114 out of 130 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
30 May 2014,Quentin Tarantino's style and Christoph Waltz's menace,"In 1941 Nazi-occupied France, ""The Jew Hunter"" SS Colonel Hans Landa (Christoph Waltz) finds the Dreyfus family hidden by their neighbors. Shosanna Dreyfus (Mélanie Laurent) escapes after her family is massacred. Meanwhile Lt. Aldo Raine (Brad Pitt) has gathered 8 Jewish American soldiers to kill Nazis behind enemy lines. Their brutal scalping campaign instills fear among the Germans. Donowitz (Eli Roth) is even given a nickname ""The Bear Jew"" for brutally beating Nazis with a baseball bat. Then in June 1944, Shosanna has a new name and a theater. She catches the eye of German war hero Fredrick Zoller who wants a big premiere in her theater that will attract the biggest of Nazi leaders. It even attracts the Jew Hunter as well as the Inglourious Basterds.

Christoph Waltz is great as the cold menacing well-mannered Nazi. He is completely engrossing in every one of his scenes. Every word he speaks is dripping with menace. His scenes are quiet and some of the most compelling parts of the movie. Then Quentin Tarantino has injected his brutal violence into this Jewish revenge fantasy. It is nothing less than audacious and uniquely original.",8
20 November 2022,Oh! What a Lovely War...,"There's a hunter called Hans Landa you should fear, if circumcision defines the way your men appear, on the surface quite polite, underneath riven with spite, carries a scar that lets you know of his career (or at least he will). But those un-helmeted can rejoice and be spurred, avenging evil come Inglorious Basterds, being led by Aldo Raine, with a remit to cause pain, several parts may disappear as things are sheared.

Great dialogue, great direction, sublime performances and original in its depiction of a war picture that's been repainted a thousand times before, but seldom with such entertainment - Tarantino's best in my opinion.
20 out of 24 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
12 December 2021,Glorious indeed!,"Aside from the Kill Bill's I have not seen any other Tarantino film. I heard this one was good and so I watched. It's great. From the opening scene you are mesmerized by Christoph Waltz's unnerving performance. He gets a lot of credit and rightfully so. Hans Lands is possibly one of the greatest movie villains of all time. There so many iconic moments and Tarantino demonstrates how normal dialogue scenes can become suddenly intense with words alone. Every actor gives it their all with Brad Pitt giving a memorable performance as well. This movie is worth watching just for its opening but it also has back to back quality scenes that are well shot and have excellent dialogue. The movie balances it's comedy with excellent dark moments reminding viewers that this is indeed a WW2 film. Overall, my favourite Tarantino film of the three I've seen and might be for some time. Worth watching for Christoph Waltz.
11 out of 11 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
5 August 2016,Tarantino's best? I think so,"No, I'm not speaking of Brad Pitt; I'm speaking of German actor Christoph Waltz! He has won just about every award for his performance in this film, and he deserves every single one of them. Take my Challenge: Watch this film and see if you don't get the chills whenever Christoph Waltz's character is 'interrogating' his suspects! Ooooo! He is ULTRA polite with each one; and has supreme confidence in his scary, chilling, bold mannerisms. All I can say is: ""You see this movie for Christoph Waltz's performance; all the rest is secondary""!",10
7 February 2020,I can't believe I just now watched this for the first time.,"This is a perfect Tarantino movie. It's explosive and exciting while also deep and well thought out. It took me a minute to get used to reading so many subtitles because of the variety of languages used, but I think that's a quality that makes the movie even more enticing. It is incredibly well done and it had a hold of me from beginning to end. Fair warning for any Tarantino movie, be prepared for the gore and violence. It runs rampant throughout the movie, but it's kind of gratifying seeing it happen to the Nazis.
198 out of 247 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
10 July 2012,People seem to be missing the point,"No, I'm not speaking of Brad Pitt; I'm speaking of German actor Christoph Waltz! He has won just about every award for his performance in this film, and he deserves every single one of them. Take my Challenge: Watch this film and see if you don't get the chills whenever Christoph Waltz's character is 'interrogating' his suspects! Ooooo! He is ULTRA polite with each one; and has supreme confidence in his scary, chilling, bold mannerisms. All I can say is: ""You see this movie for Christoph Waltz's performance; all the rest is secondary""!",10
25 August 2009,Who the hell is Christoph Waltz?,"That's what I thought, when I heard about the cast of Inglorious Basterds. And I'm both from Germany and into movies.

That guy is older than 50 and so far he almost only played in mediocre TV series - and even there he didn't play the main parts. Obviously nobody ever noticed, what he's capable of. Now, thanks to QT, he got one shot to change that - and - let's put it this way - that was a bingo! He is the living proof of what a great caster Tarrantino is.

By the way: I think it's a great privilege to watch the movie as a German - being able to understand everything. And the German dialog is written almost as good as the English.

Now I could repeat, what many others have written here before. I'll put it short: Finally, QT is back.
797 out of 1,104 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
30 March 2022,My Favorite Tarantino Film,"No, I'm not speaking of Brad Pitt; I'm speaking of German actor Christoph Waltz! He has won just about every award for his performance in this film, and he deserves every single one of them. Take my Challenge: Watch this film and see if you don't get the chills whenever Christoph Waltz's character is 'interrogating' his suspects! Ooooo! He is ULTRA polite with each one; and has supreme confidence in his scary, chilling, bold mannerisms. All I can say is: ""You see this movie for Christoph Waltz's performance; all the rest is secondary""!",10
8 September 2009,World War II In an Alternate Universe,"I take exception to the comment that one reviewer made saying that a film like Inglourious Basterds had not been made before. Not only was one made, but it was made during World War II. When Hitler, Dead Or Alive was shown I'm sure the same rousing cheers went up from the audience who really wanted World War II to end that way.

Quentin Tarantino must have seen Hitler, Dead Or Alive and decided to do a big budget version of that B film propaganda flick from the Forties. In that one Ward Bond, Paul Fix,and Warren Hymer play three German speaking gangsters who take a contract out on Adolph Hitler from some public spirited citizen. They enlist in the army, but as soon as they can they desert grab a plane with a pilot and land in Germany and set about to perform their task.

What Tarantino has given us is Hitler, Dead Or Alive with official sanction. Brad Pitt heads a group of GIs, the rest of them are Jewish so they'll have proper motivation for this job, Pitt's a good old boy from Tennessee. The purpose of their mission is to just kill Nazis, the higher up, the better. And they soon get a reputation that's come to the attention of the Fuehrer himself.

This film is a throwback to those propaganda films that came out as morale boosters during World War II. Pitt and the rest of the cast look like they're having a great old time with this. Best performance is Christoph Waltz who plays an SS colonel who specialized in tracking down Jews who've escaped Hitler's final solution. He might just get an Oscar nomination for Best Supporting Actor.

As for the end, just relax and imagine this is World War II in an alternate Universe.",8
