Date,Title,Review,Rating
17 May 2008,It Doesn't Get Better Than This,"I'm not sure Clint Eastwood shouldn't have just retired after making Million Dollar Baby. Because films don't get any better than this or more poignant.

Maybe Clint was influenced by the career of his young co-star Hillary Swank. When Swank got the Oscar for Boys Don't Cry it was said that it was a pity she reached such a dazzling pinnacle in acting, that it wasn't possible to top it. She might not have topped it, but she certainly equaled it in Million Dollar Baby in every sense of the word.

Clint is certainly beyond the days of being an action hero, no more Dirty Harrys or the Man With No Name films for him in his seventies. But in playing Frankie Dunn as a senior citizen he's put a coda on his career with a role that leaves those iconic parts in the dust.

Million Dollar Baby is a generational love story, but not romance, not hardly in that sense. Clint is a lonely old man, alienated from what family he has left which happens to be a daughter and involved in the running of his gym where prize fighters train.

Boxing is integrated now, women do participate against each other to be sure, but it certainly wasn't so when Eastwood was starting. So it was a fateful day indeed when Maggie Fitzgerald played by Hillary Swank showed up to learn the fine points of pugilism.

I'm sure that Swank took some of the points of character from Brandon Teena in playing Maggie Fitzgerald. It's not an issue of sexual identity for Swank, but both characters come from this white trash background and both yearn for something more in life. There are dozens of sports stories involving men and women who escaped drab lives through athletic skill. The only difference in Million Dollar Baby is that boxing was not open to women until recently.

To use that phrase from another recent film classic, Swank completes Eastwood. She gives him in the family he's lost even if it's ever so briefly and he provides a strong father figure that she lacked in her life.

It all ends so horrifically tragic that I can't say more, but that it's here where even the frozen Medusa would thaw out in tears at the powerful performances of Eastwood and Swank.

Million Dollar Baby won four of the seven Oscars it was nominated for in 2004. It won for Best Picture and Best Director for Clint Eastwood and Hillary Swank just as she did for Boys Don't Cry just blew out the competition for Best Actress. And Morgan Freeman who was Eastwood's friend and live-in gym manager and trainer for Swank copped a Best Supporting Actor Award. It's he who narrates Million Dollar Baby, he's the chronicler of the unfolding tragedy.

I suppose the moral of the story is never settle for mediocrity, always strive for your personal best. Even if it ends bad you haven't really lived unless you live that way. And family doesn't necessarily have to have related genes.

This film will be a classic hundreds of years from now. We can all learn some life lessons from Million Dollar Baby.",10
8 January 2005,A movie that will last,"I'm not sure Clint Eastwood shouldn't have just retired after making Million Dollar Baby. Because films don't get any better than this or more poignant.

Maybe Clint was influenced by the career of his young co-star Hillary Swank. When Swank got the Oscar for Boys Don't Cry it was said that it was a pity she reached such a dazzling pinnacle in acting, that it wasn't possible to top it. She might not have topped it, but she certainly equaled it in Million Dollar Baby in every sense of the word.

Clint is certainly beyond the days of being an action hero, no more Dirty Harrys or the Man With No Name films for him in his seventies. But in playing Frankie Dunn as a senior citizen he's put a coda on his career with a role that leaves those iconic parts in the dust.

Million Dollar Baby is a generational love story, but not romance, not hardly in that sense. Clint is a lonely old man, alienated from what family he has left which happens to be a daughter and involved in the running of his gym where prize fighters train.

Boxing is integrated now, women do participate against each other to be sure, but it certainly wasn't so when Eastwood was starting. So it was a fateful day indeed when Maggie Fitzgerald played by Hillary Swank showed up to learn the fine points of pugilism.

I'm sure that Swank took some of the points of character from Brandon Teena in playing Maggie Fitzgerald. It's not an issue of sexual identity for Swank, but both characters come from this white trash background and both yearn for something more in life. There are dozens of sports stories involving men and women who escaped drab lives through athletic skill. The only difference in Million Dollar Baby is that boxing was not open to women until recently.

To use that phrase from another recent film classic, Swank completes Eastwood. She gives him in the family he's lost even if it's ever so briefly and he provides a strong father figure that she lacked in her life.

It all ends so horrifically tragic that I can't say more, but that it's here where even the frozen Medusa would thaw out in tears at the powerful performances of Eastwood and Swank.

Million Dollar Baby won four of the seven Oscars it was nominated for in 2004. It won for Best Picture and Best Director for Clint Eastwood and Hillary Swank just as she did for Boys Don't Cry just blew out the competition for Best Actress. And Morgan Freeman who was Eastwood's friend and live-in gym manager and trainer for Swank copped a Best Supporting Actor Award. It's he who narrates Million Dollar Baby, he's the chronicler of the unfolding tragedy.

I suppose the moral of the story is never settle for mediocrity, always strive for your personal best. Even if it ends bad you haven't really lived unless you live that way. And family doesn't necessarily have to have related genes.

This film will be a classic hundreds of years from now. We can all learn some life lessons from Million Dollar Baby.",
9 December 2020,Million Dollar Baby,"I'm not sure Clint Eastwood shouldn't have just retired after making Million Dollar Baby. Because films don't get any better than this or more poignant.

Maybe Clint was influenced by the career of his young co-star Hillary Swank. When Swank got the Oscar for Boys Don't Cry it was said that it was a pity she reached such a dazzling pinnacle in acting, that it wasn't possible to top it. She might not have topped it, but she certainly equaled it in Million Dollar Baby in every sense of the word.

Clint is certainly beyond the days of being an action hero, no more Dirty Harrys or the Man With No Name films for him in his seventies. But in playing Frankie Dunn as a senior citizen he's put a coda on his career with a role that leaves those iconic parts in the dust.

Million Dollar Baby is a generational love story, but not romance, not hardly in that sense. Clint is a lonely old man, alienated from what family he has left which happens to be a daughter and involved in the running of his gym where prize fighters train.

Boxing is integrated now, women do participate against each other to be sure, but it certainly wasn't so when Eastwood was starting. So it was a fateful day indeed when Maggie Fitzgerald played by Hillary Swank showed up to learn the fine points of pugilism.

I'm sure that Swank took some of the points of character from Brandon Teena in playing Maggie Fitzgerald. It's not an issue of sexual identity for Swank, but both characters come from this white trash background and both yearn for something more in life. There are dozens of sports stories involving men and women who escaped drab lives through athletic skill. The only difference in Million Dollar Baby is that boxing was not open to women until recently.

To use that phrase from another recent film classic, Swank completes Eastwood. She gives him in the family he's lost even if it's ever so briefly and he provides a strong father figure that she lacked in her life.

It all ends so horrifically tragic that I can't say more, but that it's here where even the frozen Medusa would thaw out in tears at the powerful performances of Eastwood and Swank.

Million Dollar Baby won four of the seven Oscars it was nominated for in 2004. It won for Best Picture and Best Director for Clint Eastwood and Hillary Swank just as she did for Boys Don't Cry just blew out the competition for Best Actress. And Morgan Freeman who was Eastwood's friend and live-in gym manager and trainer for Swank copped a Best Supporting Actor Award. It's he who narrates Million Dollar Baby, he's the chronicler of the unfolding tragedy.

I suppose the moral of the story is never settle for mediocrity, always strive for your personal best. Even if it ends bad you haven't really lived unless you live that way. And family doesn't necessarily have to have related genes.

This film will be a classic hundreds of years from now. We can all learn some life lessons from Million Dollar Baby.",9
28 November 2005,"Unforgettable, Touching, Human, Realistic, Sad, Spectacular  One of the Best Dramas I Have Ever Seen","I'm not sure Clint Eastwood shouldn't have just retired after making Million Dollar Baby. Because films don't get any better than this or more poignant.

Maybe Clint was influenced by the career of his young co-star Hillary Swank. When Swank got the Oscar for Boys Don't Cry it was said that it was a pity she reached such a dazzling pinnacle in acting, that it wasn't possible to top it. She might not have topped it, but she certainly equaled it in Million Dollar Baby in every sense of the word.

Clint is certainly beyond the days of being an action hero, no more Dirty Harrys or the Man With No Name films for him in his seventies. But in playing Frankie Dunn as a senior citizen he's put a coda on his career with a role that leaves those iconic parts in the dust.

Million Dollar Baby is a generational love story, but not romance, not hardly in that sense. Clint is a lonely old man, alienated from what family he has left which happens to be a daughter and involved in the running of his gym where prize fighters train.

Boxing is integrated now, women do participate against each other to be sure, but it certainly wasn't so when Eastwood was starting. So it was a fateful day indeed when Maggie Fitzgerald played by Hillary Swank showed up to learn the fine points of pugilism.

I'm sure that Swank took some of the points of character from Brandon Teena in playing Maggie Fitzgerald. It's not an issue of sexual identity for Swank, but both characters come from this white trash background and both yearn for something more in life. There are dozens of sports stories involving men and women who escaped drab lives through athletic skill. The only difference in Million Dollar Baby is that boxing was not open to women until recently.

To use that phrase from another recent film classic, Swank completes Eastwood. She gives him in the family he's lost even if it's ever so briefly and he provides a strong father figure that she lacked in her life.

It all ends so horrifically tragic that I can't say more, but that it's here where even the frozen Medusa would thaw out in tears at the powerful performances of Eastwood and Swank.

Million Dollar Baby won four of the seven Oscars it was nominated for in 2004. It won for Best Picture and Best Director for Clint Eastwood and Hillary Swank just as she did for Boys Don't Cry just blew out the competition for Best Actress. And Morgan Freeman who was Eastwood's friend and live-in gym manager and trainer for Swank copped a Best Supporting Actor Award. It's he who narrates Million Dollar Baby, he's the chronicler of the unfolding tragedy.

I suppose the moral of the story is never settle for mediocrity, always strive for your personal best. Even if it ends bad you haven't really lived unless you live that way. And family doesn't necessarily have to have related genes.

This film will be a classic hundreds of years from now. We can all learn some life lessons from Million Dollar Baby.",10
21 August 2010,Superb!,"Clint Eastwood is a legendary film personality. I am a great fan of his. As an actor, I had my reservations with him, but as a storyteller, I have truly inhaled him. 'Million Dollar Baby' is amongst his finest films, a superb film, that almost reaches a Landmark level!

About a hardened trainer/manager works with a determined woman in her attempt to establish herself as a boxer. 'Million Dollar Baby' begins with some humor, then it improves itself into becoming a motivational punch, but ends as a dry and depressing saga. I adored almost everything about the film, except the final 20-25 minutes. The culmination is very depressing. In fact, one just doesn't imagine it would have to end this way! But in all fairness, this one is a winner!

Eastwood's understanding to the subject is objective and that's biggest plus point. Tom Stern's Cinematography is splendid. Joel Cox's editing is razor-sharp.

In the acting department, Hilary Swank delivers a Knock-out performance. She is the life of the show. Morgan Freeman is wonderfully restrained. Eastwood's performance, is a pure of example, of apt multi-tasking. Jay Baruchel as Danger, is flawless. Anthony Mackie is his usual self. Brian F. O'Byrne is passable.

On the whole, the list of accolades this 2004 flick received is truly unprecedented. It's got a legendary tag. From this writer, Thumbs Up!",8
20 March 2005,A Punch In The Stomach,"I don't know why, but I went into the theater thinking I was about to see a female Rocky Balboa kind of deal. I left the theater in a daze. Overwhelmed by the simple truth of its conclusion. My hat to Clint Eastwood. What an extraordinary career. An artist of enormous proportions so well camouflaged behind a shy smile and a charming, clumsy attitude. I remember focusing on Clint Eastwood through a very different lens after sitting through ""Pale Rider"" a mythological, lyrical western. Actors love him because he, clearly, doesn't lie to them, doesn't kiss their asses. He quite simply gives them room to maneuver. Even someone like Meryl Streep, felt freer and capable to stretch herself all the way to Italy under his wing. Sean Penn, Kevin Bacon, Tim Robbins, Jude Law, Morgan Freeman, Gene Hackman yes mostly men but there was also, other than Meryl Streep, Genevieve Boujold. Marcia Gay Harden, Laura Linney and now Hillary Swank with a performance that not even ""Boys don't Cry"" could predict. The film is a triumph in every department. My stomach ached from feeling. That's a compliment Mr. Eastwood. Thank you very much.",9
3 August 2011,This film made me think...,"I'm not sure Clint Eastwood shouldn't have just retired after making Million Dollar Baby. Because films don't get any better than this or more poignant.

Maybe Clint was influenced by the career of his young co-star Hillary Swank. When Swank got the Oscar for Boys Don't Cry it was said that it was a pity she reached such a dazzling pinnacle in acting, that it wasn't possible to top it. She might not have topped it, but she certainly equaled it in Million Dollar Baby in every sense of the word.

Clint is certainly beyond the days of being an action hero, no more Dirty Harrys or the Man With No Name films for him in his seventies. But in playing Frankie Dunn as a senior citizen he's put a coda on his career with a role that leaves those iconic parts in the dust.

Million Dollar Baby is a generational love story, but not romance, not hardly in that sense. Clint is a lonely old man, alienated from what family he has left which happens to be a daughter and involved in the running of his gym where prize fighters train.

Boxing is integrated now, women do participate against each other to be sure, but it certainly wasn't so when Eastwood was starting. So it was a fateful day indeed when Maggie Fitzgerald played by Hillary Swank showed up to learn the fine points of pugilism.

I'm sure that Swank took some of the points of character from Brandon Teena in playing Maggie Fitzgerald. It's not an issue of sexual identity for Swank, but both characters come from this white trash background and both yearn for something more in life. There are dozens of sports stories involving men and women who escaped drab lives through athletic skill. The only difference in Million Dollar Baby is that boxing was not open to women until recently.

To use that phrase from another recent film classic, Swank completes Eastwood. She gives him in the family he's lost even if it's ever so briefly and he provides a strong father figure that she lacked in her life.

It all ends so horrifically tragic that I can't say more, but that it's here where even the frozen Medusa would thaw out in tears at the powerful performances of Eastwood and Swank.

Million Dollar Baby won four of the seven Oscars it was nominated for in 2004. It won for Best Picture and Best Director for Clint Eastwood and Hillary Swank just as she did for Boys Don't Cry just blew out the competition for Best Actress. And Morgan Freeman who was Eastwood's friend and live-in gym manager and trainer for Swank copped a Best Supporting Actor Award. It's he who narrates Million Dollar Baby, he's the chronicler of the unfolding tragedy.

I suppose the moral of the story is never settle for mediocrity, always strive for your personal best. Even if it ends bad you haven't really lived unless you live that way. And family doesn't necessarily have to have related genes.

This film will be a classic hundreds of years from now. We can all learn some life lessons from Million Dollar Baby.",10
30 December 2004,Big girls don't cry,"I'm not sure Clint Eastwood shouldn't have just retired after making Million Dollar Baby. Because films don't get any better than this or more poignant.

Maybe Clint was influenced by the career of his young co-star Hillary Swank. When Swank got the Oscar for Boys Don't Cry it was said that it was a pity she reached such a dazzling pinnacle in acting, that it wasn't possible to top it. She might not have topped it, but she certainly equaled it in Million Dollar Baby in every sense of the word.

Clint is certainly beyond the days of being an action hero, no more Dirty Harrys or the Man With No Name films for him in his seventies. But in playing Frankie Dunn as a senior citizen he's put a coda on his career with a role that leaves those iconic parts in the dust.

Million Dollar Baby is a generational love story, but not romance, not hardly in that sense. Clint is a lonely old man, alienated from what family he has left which happens to be a daughter and involved in the running of his gym where prize fighters train.

Boxing is integrated now, women do participate against each other to be sure, but it certainly wasn't so when Eastwood was starting. So it was a fateful day indeed when Maggie Fitzgerald played by Hillary Swank showed up to learn the fine points of pugilism.

I'm sure that Swank took some of the points of character from Brandon Teena in playing Maggie Fitzgerald. It's not an issue of sexual identity for Swank, but both characters come from this white trash background and both yearn for something more in life. There are dozens of sports stories involving men and women who escaped drab lives through athletic skill. The only difference in Million Dollar Baby is that boxing was not open to women until recently.

To use that phrase from another recent film classic, Swank completes Eastwood. She gives him in the family he's lost even if it's ever so briefly and he provides a strong father figure that she lacked in her life.

It all ends so horrifically tragic that I can't say more, but that it's here where even the frozen Medusa would thaw out in tears at the powerful performances of Eastwood and Swank.

Million Dollar Baby won four of the seven Oscars it was nominated for in 2004. It won for Best Picture and Best Director for Clint Eastwood and Hillary Swank just as she did for Boys Don't Cry just blew out the competition for Best Actress. And Morgan Freeman who was Eastwood's friend and live-in gym manager and trainer for Swank copped a Best Supporting Actor Award. It's he who narrates Million Dollar Baby, he's the chronicler of the unfolding tragedy.

I suppose the moral of the story is never settle for mediocrity, always strive for your personal best. Even if it ends bad you haven't really lived unless you live that way. And family doesn't necessarily have to have related genes.

This film will be a classic hundreds of years from now. We can all learn some life lessons from Million Dollar Baby.",10
8 January 2006,Swank! Eastwood! Freeman!,"It would be difficult to imagine a more perfect trio of performers the likes of Hilary Swank, Clint Eastwood, and Morgan Freeman in their respective roles in the emotionally-charged ""Million Dollar Baby.""

My favorite scenes were the early sequences in which Maggie (Swank) visits the dowdy boxing gym and co-opts Eastwood's crusty boxing trainer Frankie into becoming her mentor. Along with the veteran, retired boxer Eddie, played by Freeman, the performances were as electric as the Ali shuffle.

In the overall arc of the story of ""Million Dollar Baby,"" there were three extraneous subplots: (1) Frankie's visits to church and his talks with the priest; (2) the story of the mentally-challenged young man named Danger, who appears in the gym and is taunted by the boxers; and (3) Maggie's family members introduced in two scenes filled with such vulgarity that much of the film's hard-earned credibility was lost. Not only would the film have worked effectively without the subplots, it would have been a much better film without them.

While Eastwood's direction was superb, much credit should also go to the designers, especially the stylish work with lighting. I cannot recall a film as dimly lit as this one, and the subdued lighting contributed substantially to the characters and mood evoked in this sensitive film. The three main performances were standouts. But this film was also a very successful team effort.",8
28 February 2005,Million Dollar Baby Is A Knockout!,"Clint Eastwood always explores the darker side of human nature and the duality of man. His dark hero of Unforgiven, William Munny, tries to repent only to be thrust back into that violent world he knows so well. His regretful Frank Horrigan of In The Line Of Fire and his womanizing Steve Everett of True Crime also want redemption.

Eastwood's Frankie Dunn of Million Dollar Baby is the most conflicted, weathered, and vulnerable he's ever played. When he weeps in a darkened church it's like watching a house of cards begin to fall. This is a man whose had a regretful past and can't run away from the curve balls life has thrown at him. Frankie Dunn is like most of us where we eventually get punished for our good deeds.

The funny thing is that Million Dollar Baby is not a boxing movie despite the way it's being advertised like a female version of Rocky. Yes, Hilary Swank's Maggie trains to be a boxer under the guidance of Clint Eastwood's Frankie Dunn. Yes, Morgan Freeman is Scrap, Frankie's tough friend and ex boxer. Yes, the bulk of it takes place in a boxing gym. Yes, there are numerous boxing matches. Despite all this it's still not a boxing movie.

When you see it you'll be surprised by the utter humanity in the piece. This film runs very deep and you will care for the three main characters. Eastwood gives us something we rarely get in films today. He gives us real people.

The film is about the triumph of the human spirit, the emotional world we try to hide from that eventually sucks us all in, our compassionate hearts, and the difficult decisions we face when it comes to those we care about. It's about friendship, trust, and the bonds of the heart that are unavoidable. It is a true masterpiece.

Hilary Swank is all fire and guts as Maggie. Her intensity and commitment has guided her to another Academy Award. She knows she's poor, she accepts it, and she pushes forward despite her limitations. This is not to say she can't be hurt. We watch her eyes well up a few times and truly feel her pain despite the fact that she is as tough as they come. Morgan Freeman, who finally won a long overdue and well deserved Oscar, plays Scrap with the perfect combination of toughness and compassion. He knows the situation from every angle and his narration of the film rings true.

See this film. It deserves it's accolades because it's about real characters and it's directed with honesty, warmth, and true pain. Clint Eastwood gets better with age and his films reflect the days of real movie making. The sets are simple, the characters are complex, and the story moves in a pace closer to real life than any other director could reach. Eastwood has been called the Hemingway of Film making. You don't get more real than that. It was great seeing this natural storyteller take home his second Oscar for Best Director and Picture.",
