Date,Title,Review,Rating
7 January 2006,Justice or Vengeance?,"Gandhi said, ""An eye for an eye only makes the whole world blind."" What distinguishes justice from vengeance? This echoes throughout Steven Spielberg's ""Munich"". ""Munich"" is powerful and perhaps Spielberg's most compelling and thought provoking work. He weaves a tapestry of political and social threads focusing on terrorism and the cost of violence. ""Munich"" is truly amazing in balancing linear storytelling and horrific acts of violence, demonstrating the impact of the aftermath. Spielberg's ""Munich"" seen through the eyes of Eric Bana's Avner is a powerful allegory that even in the most just and noble fights against terror we eventually become that which we despise. ""Munich"" really serves as a reminder. Mossad team leader Avner played by Eric Bana is absolutely riveting as the man who begins this righteous cause only to find that the cost is his soul. Anver asks, ""When does it ever end?""

At the 1972 Olympic Games in Munich, Palestinian terrorists brutally murdered the Israeli wrestling team. This political statement was seen around the world and depicted in gory detail by Director Spielberg. Based on the book ""Vengeance"" by George Jones, the screenplay by Tony Kushner and Eric Roth tells the story of the aftermath of this tragedy. A great Lynn Cohen who plays Prime Minister Golda Meir says, ""Every civilization finds it necessary to negotiate compromises with its own values."" Poetic words for what follows are a search and destroy mission. The Mossad assembles a team lead by Avner (Bana) to track down and kill with extreme prejudice all those involved in the terrorist action in Munich. 11 names are identified for execution. These executions are also intended to serve as statements. Anver though an inexperienced operative and not an assassin is selected for the covert mission by Ephriam (the great Geoffrey Rush) for being a strong and effective leader of men. The assassin team is composed of Steve (Daniel Craigthe next James Bond), Carl (Ciaran Hinds), Robert (Mathieu Kassovitz), and Hans (Hanns Zischler). They are dissociated from the Mossad, i.e. they technically don't exist.

In accepting the lead, Avner must leave his beautiful and pregnant wife Daphna (a very strong Ayelet Zorer) for what could be a number of years. Carl has his doubts about Avner, telling him that he was chosen because he is a ""good soldier"". Soon Carl respects Avner for his quiet force and conscience. Attack of conscience and paranoia soon engulf the team as they become entrenched in the world of underground intelligence for hire. Avner pays large sums of money for information on the whereabouts of his targets from Louis (wonderfully shady Mathiew Amalric) and his wealthy Papa (weary and noble Michael Lonsdale). Avner soon finds that whomever he kills is eventually replaced, and that he and potentially his family is now a target for the terrorists he was assigned to hunt down and kill. The realization is that it truly never ends. Bana is amazing as a trapped animal in the scene in his thrashed apartmentsearching for weapons of his demise. Paranoia sets in, and the path of justice and vengeance become blurred. In a poignant scene Robert pleads to Avner, ""When I lose my righteousness, I lose everything""

Nothing about ""Munich"" is easy, though it is simple. I believe that is Steven Spielberg's intention. ""Munich"" could be tighter in spots, though this does not diminish the movie's power and impact. Eric Bana emerges as the noble hero battling to salvage his own humanity and his very soul. ""When does it ever end?"" Perhaps even in the current context there is no real answermaybe what Spielberg is getting at. It is a reminder of our humanity, that even the most righteous cause may cost our souls. ""Munich"" is truly a powerful movie worth seeing.",10
23 December 2005,"Mr. Spielberg's ""Prayer for Peace""","Gandhi said, ""An eye for an eye only makes the whole world blind."" What distinguishes justice from vengeance? This echoes throughout Steven Spielberg's ""Munich"". ""Munich"" is powerful and perhaps Spielberg's most compelling and thought provoking work. He weaves a tapestry of political and social threads focusing on terrorism and the cost of violence. ""Munich"" is truly amazing in balancing linear storytelling and horrific acts of violence, demonstrating the impact of the aftermath. Spielberg's ""Munich"" seen through the eyes of Eric Bana's Avner is a powerful allegory that even in the most just and noble fights against terror we eventually become that which we despise. ""Munich"" really serves as a reminder. Mossad team leader Avner played by Eric Bana is absolutely riveting as the man who begins this righteous cause only to find that the cost is his soul. Anver asks, ""When does it ever end?""

At the 1972 Olympic Games in Munich, Palestinian terrorists brutally murdered the Israeli wrestling team. This political statement was seen around the world and depicted in gory detail by Director Spielberg. Based on the book ""Vengeance"" by George Jones, the screenplay by Tony Kushner and Eric Roth tells the story of the aftermath of this tragedy. A great Lynn Cohen who plays Prime Minister Golda Meir says, ""Every civilization finds it necessary to negotiate compromises with its own values."" Poetic words for what follows are a search and destroy mission. The Mossad assembles a team lead by Avner (Bana) to track down and kill with extreme prejudice all those involved in the terrorist action in Munich. 11 names are identified for execution. These executions are also intended to serve as statements. Anver though an inexperienced operative and not an assassin is selected for the covert mission by Ephriam (the great Geoffrey Rush) for being a strong and effective leader of men. The assassin team is composed of Steve (Daniel Craigthe next James Bond), Carl (Ciaran Hinds), Robert (Mathieu Kassovitz), and Hans (Hanns Zischler). They are dissociated from the Mossad, i.e. they technically don't exist.

In accepting the lead, Avner must leave his beautiful and pregnant wife Daphna (a very strong Ayelet Zorer) for what could be a number of years. Carl has his doubts about Avner, telling him that he was chosen because he is a ""good soldier"". Soon Carl respects Avner for his quiet force and conscience. Attack of conscience and paranoia soon engulf the team as they become entrenched in the world of underground intelligence for hire. Avner pays large sums of money for information on the whereabouts of his targets from Louis (wonderfully shady Mathiew Amalric) and his wealthy Papa (weary and noble Michael Lonsdale). Avner soon finds that whomever he kills is eventually replaced, and that he and potentially his family is now a target for the terrorists he was assigned to hunt down and kill. The realization is that it truly never ends. Bana is amazing as a trapped animal in the scene in his thrashed apartmentsearching for weapons of his demise. Paranoia sets in, and the path of justice and vengeance become blurred. In a poignant scene Robert pleads to Avner, ""When I lose my righteousness, I lose everything""

Nothing about ""Munich"" is easy, though it is simple. I believe that is Steven Spielberg's intention. ""Munich"" could be tighter in spots, though this does not diminish the movie's power and impact. Eric Bana emerges as the noble hero battling to salvage his own humanity and his very soul. ""When does it ever end?"" Perhaps even in the current context there is no real answermaybe what Spielberg is getting at. It is a reminder of our humanity, that even the most righteous cause may cost our souls. ""Munich"" is truly a powerful movie worth seeing.",10
14 July 2006,"Spielberg may be out-of-touch with the masses in terms of entertainment today (WOTW)  but when he sticks to serious topics, he carves out sensational fares like this one","Munich may just be Spielberg's greatest accomplishment ever and it isn't a sweeping epic like you'd expect, but a patient psychological thriller that sneaks up on you and takes you and shakes you. It not shy away from blood, politics or nudity in its portrayal of events and this makes it extremely intense, absorbing and occasionally very violent.

The first half of Münich is not altogether different from a heist drama; a group of diverse men with different skills team up to accomplish a mission. They get to travel across Europe, make deals, infiltrate suspect facilities and manufacture explosive devices. Unlike heist films, however, their mission is not for personal gain, but for the government. They are to assassinate eleven Arabs who were alleged to be behind terrorist attacks like Münich 1972. So the more accessible part of the film sees Bana and his men botch their way through a hit-list as inexperienced hit-men, fumbling and trembling with the weight of this somber new task.

This part is so extraordinarily well-handled and engaging with a tone so tense and shadowed by politics and ethical dilemmas that every slight pause is mistaken for humour. It is also an excellent portrayal of an era - the 1970s - with great eye for detail, all carefully sewn together by a master tailor (Spielberg). It is a fantastic piece of film-making.

While Munich keeps you interested throughout, it gradually loses its fresh thriller edge by opting for more typical scenarios. Eric Bana's character goes through emotional struggles because he finds it too hard to kill people. He thinks about his family--his wife has just had a baby girl. He wonders if he is doing the right thing. He starts sympathizing with the Arabs. He wonders if they killings will stop once he has completed his mission. Everything is classic and you saw it coming. It needs to be present in the film for a balanced portrayal but the hackneyed formula with which it is expressed is disappointing. It started so promising, after all.

Sadly, the culmination of this slightly hackneyed recipe manifests itself in the final scene of the film and it is absolutely dreadful and drags the whole film down by at least one star - but overall this is superb quality that is carried by a strong ensemble cast (Geoffrey Rush, Daniel Craig) although it is ultimately Bana's show. He captures the inner turmoil and hesitation of his character in the most believable way, making Munich into a worthwhile adventure for its performances alone. But most importantly, it dares to asks questions.

8/10",8
10 January 2006,An Outstanding Thriller,"'Munich' is, on the whole, a straight forward hit-man movie. The assignments are handed out; the team is assembled, each with their own specialty; and they travel about Europe plotting and carrying out their hits. We have the inevitable paranoia, the double agents and suspicious loyalties. So far, so familiar. Only 'Munich' is wrapped in the thin veneer of 'history' and 'fact', and mob bosses and corporate espionage is replaced with Middle Eastern politics and Israeli-Arab relations. I mention this because the politics of 'Munich' are really nothing more than a topical plot devise, used the same way as cold-war relations and soviet villainy was used thirty years ago.

What prevents 'Munich' becoming just a generic updated-cold-war thriller, is the sheer quality of the production. From the flawless recreation of European capitals in the early seventies to the impeccable costume design to the beautiful cinematography  'Munich' is a visually fascinating movie. The performances are universally outstanding, with Bana in particular bringing a sense of tough nobility that seems to be his forte. The script is intelligent and thought-provoking, and it is Kushner's focus on the emotional and psychological landscape of his characters rather than the details of political contract killing, that ultimately lifts the movie above the generic. The kind of self-consciously poetic prose for which he is known, so often seeming unrealistically erudite, is kept to a minimum, and when it does appear, is so beautifully written and performed that all reservations are forgotten.

Ultimately, the greatest praise must be reserved for Spielberg, who has, with 'Munich', created perhaps the first truly adult movie of his career. We see no signs of his trademark sentimentality, his descents into fantasy, his childish simplification of motivation. With 'Munich', he embraces ambiguity and complexity, and as a result, has invited criticism from those who prefer their drama simplistically black and white. Above all, one can't help but wonder what the Spielberg oeuvre would look had he not dedicated his career to kid's movies, fantasies and feel-good sci-fi.

'Munich' is an intelligent and gripping thriller that is a major contender for award recognition, and deservedly so. An outstanding achievement.",9
23 December 2005,A Half Cooked Masterpiece,"Steven Spielberg has absolutely everything at his disposal, he can make an epic in no time at all. But, even he must know that films, most films have a soul and that can't be rushed. Why the need to rush this film into screens? For Oscar consideration? If there was a film that needed nurturing and thought was this one. The length is a flaw in itself. It makes it appear self indulgent and, quite frankly,annoying. If one could, and one should, put that aside, ""Munich"" is a remarkable experience. Tony Kushner and Eric Roth deal with people in all its complexity - a welcome new detail in a Spielberg film - and that gives ""Munich"" its most powerful aspect. Eric Bana is extraordinary and the humanity of his gaze is confusing and recognizable at the same time. His crying at hearing his child's voice over the phone is as real as his hardness when he massacres his targets. The controversy raising after the first public screenings seems pre-fabricated by a marketing machine. The questioning of Bana's character and the appalling nature of revenge can't be controversial it's at the base of human nature. To call Spielberg ""no friend of Israel"" is as absurd as it is suspicious. No, this movie is a thriller, based on actual events, directed by the greatest craftsman of the last 30 years in a record amount of time. Go see it.",8
30 January 2006,"Terrorism, Then and Now","Gandhi said, ""An eye for an eye only makes the whole world blind."" What distinguishes justice from vengeance? This echoes throughout Steven Spielberg's ""Munich"". ""Munich"" is powerful and perhaps Spielberg's most compelling and thought provoking work. He weaves a tapestry of political and social threads focusing on terrorism and the cost of violence. ""Munich"" is truly amazing in balancing linear storytelling and horrific acts of violence, demonstrating the impact of the aftermath. Spielberg's ""Munich"" seen through the eyes of Eric Bana's Avner is a powerful allegory that even in the most just and noble fights against terror we eventually become that which we despise. ""Munich"" really serves as a reminder. Mossad team leader Avner played by Eric Bana is absolutely riveting as the man who begins this righteous cause only to find that the cost is his soul. Anver asks, ""When does it ever end?""

At the 1972 Olympic Games in Munich, Palestinian terrorists brutally murdered the Israeli wrestling team. This political statement was seen around the world and depicted in gory detail by Director Spielberg. Based on the book ""Vengeance"" by George Jones, the screenplay by Tony Kushner and Eric Roth tells the story of the aftermath of this tragedy. A great Lynn Cohen who plays Prime Minister Golda Meir says, ""Every civilization finds it necessary to negotiate compromises with its own values."" Poetic words for what follows are a search and destroy mission. The Mossad assembles a team lead by Avner (Bana) to track down and kill with extreme prejudice all those involved in the terrorist action in Munich. 11 names are identified for execution. These executions are also intended to serve as statements. Anver though an inexperienced operative and not an assassin is selected for the covert mission by Ephriam (the great Geoffrey Rush) for being a strong and effective leader of men. The assassin team is composed of Steve (Daniel Craigthe next James Bond), Carl (Ciaran Hinds), Robert (Mathieu Kassovitz), and Hans (Hanns Zischler). They are dissociated from the Mossad, i.e. they technically don't exist.

In accepting the lead, Avner must leave his beautiful and pregnant wife Daphna (a very strong Ayelet Zorer) for what could be a number of years. Carl has his doubts about Avner, telling him that he was chosen because he is a ""good soldier"". Soon Carl respects Avner for his quiet force and conscience. Attack of conscience and paranoia soon engulf the team as they become entrenched in the world of underground intelligence for hire. Avner pays large sums of money for information on the whereabouts of his targets from Louis (wonderfully shady Mathiew Amalric) and his wealthy Papa (weary and noble Michael Lonsdale). Avner soon finds that whomever he kills is eventually replaced, and that he and potentially his family is now a target for the terrorists he was assigned to hunt down and kill. The realization is that it truly never ends. Bana is amazing as a trapped animal in the scene in his thrashed apartmentsearching for weapons of his demise. Paranoia sets in, and the path of justice and vengeance become blurred. In a poignant scene Robert pleads to Avner, ""When I lose my righteousness, I lose everything""

Nothing about ""Munich"" is easy, though it is simple. I believe that is Steven Spielberg's intention. ""Munich"" could be tighter in spots, though this does not diminish the movie's power and impact. Eric Bana emerges as the noble hero battling to salvage his own humanity and his very soul. ""When does it ever end?"" Perhaps even in the current context there is no real answermaybe what Spielberg is getting at. It is a reminder of our humanity, that even the most righteous cause may cost our souls. ""Munich"" is truly a powerful movie worth seeing.",10
20 May 2008,Another silly Spielberg fantasy,"Gandhi said, ""An eye for an eye only makes the whole world blind."" What distinguishes justice from vengeance? This echoes throughout Steven Spielberg's ""Munich"". ""Munich"" is powerful and perhaps Spielberg's most compelling and thought provoking work. He weaves a tapestry of political and social threads focusing on terrorism and the cost of violence. ""Munich"" is truly amazing in balancing linear storytelling and horrific acts of violence, demonstrating the impact of the aftermath. Spielberg's ""Munich"" seen through the eyes of Eric Bana's Avner is a powerful allegory that even in the most just and noble fights against terror we eventually become that which we despise. ""Munich"" really serves as a reminder. Mossad team leader Avner played by Eric Bana is absolutely riveting as the man who begins this righteous cause only to find that the cost is his soul. Anver asks, ""When does it ever end?""

At the 1972 Olympic Games in Munich, Palestinian terrorists brutally murdered the Israeli wrestling team. This political statement was seen around the world and depicted in gory detail by Director Spielberg. Based on the book ""Vengeance"" by George Jones, the screenplay by Tony Kushner and Eric Roth tells the story of the aftermath of this tragedy. A great Lynn Cohen who plays Prime Minister Golda Meir says, ""Every civilization finds it necessary to negotiate compromises with its own values."" Poetic words for what follows are a search and destroy mission. The Mossad assembles a team lead by Avner (Bana) to track down and kill with extreme prejudice all those involved in the terrorist action in Munich. 11 names are identified for execution. These executions are also intended to serve as statements. Anver though an inexperienced operative and not an assassin is selected for the covert mission by Ephriam (the great Geoffrey Rush) for being a strong and effective leader of men. The assassin team is composed of Steve (Daniel Craigthe next James Bond), Carl (Ciaran Hinds), Robert (Mathieu Kassovitz), and Hans (Hanns Zischler). They are dissociated from the Mossad, i.e. they technically don't exist.

In accepting the lead, Avner must leave his beautiful and pregnant wife Daphna (a very strong Ayelet Zorer) for what could be a number of years. Carl has his doubts about Avner, telling him that he was chosen because he is a ""good soldier"". Soon Carl respects Avner for his quiet force and conscience. Attack of conscience and paranoia soon engulf the team as they become entrenched in the world of underground intelligence for hire. Avner pays large sums of money for information on the whereabouts of his targets from Louis (wonderfully shady Mathiew Amalric) and his wealthy Papa (weary and noble Michael Lonsdale). Avner soon finds that whomever he kills is eventually replaced, and that he and potentially his family is now a target for the terrorists he was assigned to hunt down and kill. The realization is that it truly never ends. Bana is amazing as a trapped animal in the scene in his thrashed apartmentsearching for weapons of his demise. Paranoia sets in, and the path of justice and vengeance become blurred. In a poignant scene Robert pleads to Avner, ""When I lose my righteousness, I lose everything""

Nothing about ""Munich"" is easy, though it is simple. I believe that is Steven Spielberg's intention. ""Munich"" could be tighter in spots, though this does not diminish the movie's power and impact. Eric Bana emerges as the noble hero battling to salvage his own humanity and his very soul. ""When does it ever end?"" Perhaps even in the current context there is no real answermaybe what Spielberg is getting at. It is a reminder of our humanity, that even the most righteous cause may cost our souls. ""Munich"" is truly a powerful movie worth seeing.",
30 January 2006,My extended review of the film,"Gandhi said, ""An eye for an eye only makes the whole world blind."" What distinguishes justice from vengeance? This echoes throughout Steven Spielberg's ""Munich"". ""Munich"" is powerful and perhaps Spielberg's most compelling and thought provoking work. He weaves a tapestry of political and social threads focusing on terrorism and the cost of violence. ""Munich"" is truly amazing in balancing linear storytelling and horrific acts of violence, demonstrating the impact of the aftermath. Spielberg's ""Munich"" seen through the eyes of Eric Bana's Avner is a powerful allegory that even in the most just and noble fights against terror we eventually become that which we despise. ""Munich"" really serves as a reminder. Mossad team leader Avner played by Eric Bana is absolutely riveting as the man who begins this righteous cause only to find that the cost is his soul. Anver asks, ""When does it ever end?""

At the 1972 Olympic Games in Munich, Palestinian terrorists brutally murdered the Israeli wrestling team. This political statement was seen around the world and depicted in gory detail by Director Spielberg. Based on the book ""Vengeance"" by George Jones, the screenplay by Tony Kushner and Eric Roth tells the story of the aftermath of this tragedy. A great Lynn Cohen who plays Prime Minister Golda Meir says, ""Every civilization finds it necessary to negotiate compromises with its own values."" Poetic words for what follows are a search and destroy mission. The Mossad assembles a team lead by Avner (Bana) to track down and kill with extreme prejudice all those involved in the terrorist action in Munich. 11 names are identified for execution. These executions are also intended to serve as statements. Anver though an inexperienced operative and not an assassin is selected for the covert mission by Ephriam (the great Geoffrey Rush) for being a strong and effective leader of men. The assassin team is composed of Steve (Daniel Craigthe next James Bond), Carl (Ciaran Hinds), Robert (Mathieu Kassovitz), and Hans (Hanns Zischler). They are dissociated from the Mossad, i.e. they technically don't exist.

In accepting the lead, Avner must leave his beautiful and pregnant wife Daphna (a very strong Ayelet Zorer) for what could be a number of years. Carl has his doubts about Avner, telling him that he was chosen because he is a ""good soldier"". Soon Carl respects Avner for his quiet force and conscience. Attack of conscience and paranoia soon engulf the team as they become entrenched in the world of underground intelligence for hire. Avner pays large sums of money for information on the whereabouts of his targets from Louis (wonderfully shady Mathiew Amalric) and his wealthy Papa (weary and noble Michael Lonsdale). Avner soon finds that whomever he kills is eventually replaced, and that he and potentially his family is now a target for the terrorists he was assigned to hunt down and kill. The realization is that it truly never ends. Bana is amazing as a trapped animal in the scene in his thrashed apartmentsearching for weapons of his demise. Paranoia sets in, and the path of justice and vengeance become blurred. In a poignant scene Robert pleads to Avner, ""When I lose my righteousness, I lose everything""

Nothing about ""Munich"" is easy, though it is simple. I believe that is Steven Spielberg's intention. ""Munich"" could be tighter in spots, though this does not diminish the movie's power and impact. Eric Bana emerges as the noble hero battling to salvage his own humanity and his very soul. ""When does it ever end?"" Perhaps even in the current context there is no real answermaybe what Spielberg is getting at. It is a reminder of our humanity, that even the most righteous cause may cost our souls. ""Munich"" is truly a powerful movie worth seeing.",10
9 January 2006,"""It's strange, to think of oneself as an assassin."" - Carl","If you ask me who was the most talented director working in film today, I'd hesitate for a while. Then I'd look at you and say, ""Probably Steven Spielberg'. A lot of film directors in Hollywoodwho are well-known are overrated (Oliver Stone, Sofia Coppola, Anthony Minghella, etc), but one that is not overrated at all is Spielberg. The man is obviously a cinematic genius who thrilled and enthralled us with his grim but unimaginably powerful WWII epic 'Saving Private Ryan', his still-frightening 'Jaws', his severely underrated 'Amistad' and of course, his heart-breaking masterpiece that still remains one of the twenty best films of all time 'Schindler's List'. I can't even begin to describe to you how jazzed I was about the controversial vengeance drama 'Munich', which was Spielberg's first Oscar-contending movie in seven years. After viewing it I have to say I was a bit let down, but I still got what I predicted I'd get going into the theater -- the best film of 2005. Spielberg challenges our beliefs on justice with his intense but painfully realistic bone-chilling masterpiece. You have to see this movie.

Almost around the age of 45-50 remembers the 1972 Olympics incident that happened in Munich. On a gloom September day, eleven innocent Israeli athletes were abducted and taken prisoner by a mob of Palestinian terrorists. The terrorists held them hostage at the Munich airport, then based on a mistake by the Munich police department many terrorists were killed and took all of the unfortunate hostages with them. The film starts after these events when Prime Minister Golda Meir (Lynn Cohen), secretly decides to start a small mission to find the Palestinian's responsible and murder them. She hands the case down to case officer Ephraim (Academy Award Winner Geoffrey Rush - Shine) who hands it over to Meir's ex-bodyguard Avner (Eric Bana - Troy). Avner must leave his family to undergo this mission and form a team to help him complete it. The team is; Steve (Daniel Craig - Layer Cake), the trigger-man, Carl (Ciarin Hinds - HBO's Rome) the clean-up man, Robert (Mathieu Kassovitz - Birthday Girl), an ex-toy maker turned explosives expert, and the elderly Hans (Hanns Zischler - Undercover) who is a forging expert. They five go on a mission of vengeance, but are soon faced with unexpected problems in the process and feelings of guilt which lead some to believe maybe what they are doing isn't righteous.

When creating 'Munich' Steven Spielberg could have sided one way or the other on issue 'revenge killing', but he doesn't, and I strongly admire that. Instead, Spielberg does what any intellectual would do, he presents situations and historical truths and makes you decide for yourself. That's something you can't expect nasty politically-slanted morons like Michael Moore to do. Spielberg provides us with the best film directing in two years with his quiet stroke of genius that is Munich. Spielberg's directing is both electrifying during the action sequences and beautiful during the poignant and thought- provoking scenes like when Kassovitz's Robert questions Bana's Avner about the good of what they are doing in a subway station on the way to assassinate another target. Munich's film editing and cinematography both should win Oscars, while the acting (which isn't getting much acclaim from award mediums) is frightfully close to perfect. Eric Bana gives the performance of his career as Avner that will no doubt impress you, while Kassovitz, Zischler and Craig exceptional also. Rome's Ciarin Hinds turns in an outstanding performance as the ultra-cool clean-up guy Carl that should also win an Oscar nomination, while Geoffrey Rush does wonders with a small role as Avner's case officer (so does Lynn Cohen as Golda Meir).

If Spielberg's 'Munich' doesn't tug at your chest at the end, I would question your humanity. Spielberg doesn't butter this up so it goes down easier, he aims straight for the gut with his razor sharp realism and rubs salt in the wound. 'Munich' isn't a fun film, but there is no question it is a riveting and nearly flawless one. You will have a lot to talk about after the film has ended. With 'Munich', Steven Spielberg gives us one hell of a history lesson. Grade: A (screened at AMC Deer Valley 30, Phoenix, Arizona, 1/7/05)",10
9 August 2009,Intriguing Thriller But One That Never Rings True,"Gandhi said, ""An eye for an eye only makes the whole world blind."" What distinguishes justice from vengeance? This echoes throughout Steven Spielberg's ""Munich"". ""Munich"" is powerful and perhaps Spielberg's most compelling and thought provoking work. He weaves a tapestry of political and social threads focusing on terrorism and the cost of violence. ""Munich"" is truly amazing in balancing linear storytelling and horrific acts of violence, demonstrating the impact of the aftermath. Spielberg's ""Munich"" seen through the eyes of Eric Bana's Avner is a powerful allegory that even in the most just and noble fights against terror we eventually become that which we despise. ""Munich"" really serves as a reminder. Mossad team leader Avner played by Eric Bana is absolutely riveting as the man who begins this righteous cause only to find that the cost is his soul. Anver asks, ""When does it ever end?""

At the 1972 Olympic Games in Munich, Palestinian terrorists brutally murdered the Israeli wrestling team. This political statement was seen around the world and depicted in gory detail by Director Spielberg. Based on the book ""Vengeance"" by George Jones, the screenplay by Tony Kushner and Eric Roth tells the story of the aftermath of this tragedy. A great Lynn Cohen who plays Prime Minister Golda Meir says, ""Every civilization finds it necessary to negotiate compromises with its own values."" Poetic words for what follows are a search and destroy mission. The Mossad assembles a team lead by Avner (Bana) to track down and kill with extreme prejudice all those involved in the terrorist action in Munich. 11 names are identified for execution. These executions are also intended to serve as statements. Anver though an inexperienced operative and not an assassin is selected for the covert mission by Ephriam (the great Geoffrey Rush) for being a strong and effective leader of men. The assassin team is composed of Steve (Daniel Craigthe next James Bond), Carl (Ciaran Hinds), Robert (Mathieu Kassovitz), and Hans (Hanns Zischler). They are dissociated from the Mossad, i.e. they technically don't exist.

In accepting the lead, Avner must leave his beautiful and pregnant wife Daphna (a very strong Ayelet Zorer) for what could be a number of years. Carl has his doubts about Avner, telling him that he was chosen because he is a ""good soldier"". Soon Carl respects Avner for his quiet force and conscience. Attack of conscience and paranoia soon engulf the team as they become entrenched in the world of underground intelligence for hire. Avner pays large sums of money for information on the whereabouts of his targets from Louis (wonderfully shady Mathiew Amalric) and his wealthy Papa (weary and noble Michael Lonsdale). Avner soon finds that whomever he kills is eventually replaced, and that he and potentially his family is now a target for the terrorists he was assigned to hunt down and kill. The realization is that it truly never ends. Bana is amazing as a trapped animal in the scene in his thrashed apartmentsearching for weapons of his demise. Paranoia sets in, and the path of justice and vengeance become blurred. In a poignant scene Robert pleads to Avner, ""When I lose my righteousness, I lose everything""

Nothing about ""Munich"" is easy, though it is simple. I believe that is Steven Spielberg's intention. ""Munich"" could be tighter in spots, though this does not diminish the movie's power and impact. Eric Bana emerges as the noble hero battling to salvage his own humanity and his very soul. ""When does it ever end?"" Perhaps even in the current context there is no real answermaybe what Spielberg is getting at. It is a reminder of our humanity, that even the most righteous cause may cost our souls. ""Munich"" is truly a powerful movie worth seeing.",7
