Date,Title,Review,Rating
15 June 2006,Broke my heart,"In 2001 after the terrorist attacks on the World Trade Centers, the Pentagon, and the plane crash in Pennsylvania, my class and I talked about it and what was disturbing to us. I mentioned how everyone thinks it's impossible to make a better world, but is it? I told them that if one person can do something wonderful for another person, that it could pass on like a domino reaction. Everyone loved my speech and the teacher even said that we could all do one nice thing, so for that day after class we had to do something nice, hoping it would cause a reaction. Didn't happen.

I recently watched Pay It Forward, watching it broke my heart because I felt for Haley Jole Osmond's character, hoping your idea would work and it didn't. Just wanting to make something better and you know it's so hard but you just have to try. This is a terrific movie that deserves more praise and I am hurt by a rating of 6.7. I think this movie is one of the best movies of 2000 if not the best. We could all learn from this film.

8/10",8
5 April 2003,"Excellent in Parts, All Right As a Whole.","In 2001 after the terrorist attacks on the World Trade Centers, the Pentagon, and the plane crash in Pennsylvania, my class and I talked about it and what was disturbing to us. I mentioned how everyone thinks it's impossible to make a better world, but is it? I told them that if one person can do something wonderful for another person, that it could pass on like a domino reaction. Everyone loved my speech and the teacher even said that we could all do one nice thing, so for that day after class we had to do something nice, hoping it would cause a reaction. Didn't happen.

I recently watched Pay It Forward, watching it broke my heart because I felt for Haley Jole Osmond's character, hoping your idea would work and it didn't. Just wanting to make something better and you know it's so hard but you just have to try. This is a terrific movie that deserves more praise and I am hurt by a rating of 6.7. I think this movie is one of the best movies of 2000 if not the best. We could all learn from this film.

8/10",
12 November 2000,Life is pain,"Life is full of inconsistencies, and it is not without a sense of irony. There are people that have tried to make a difference in life and some of them have paid for it with their lives. Some that come to mind are Martin Luther King Jr, JFK, Gandhi and Terry Fox. It's not easy to change the world. It takes a lot of hard work and determination. And it doesn't happen overnight. But then you see a film like this and you begin to question that rationale. What if a concept like this really was implemented? What if every single person that had a favour bestowed upon them was asked to pay it forward? Is it possible that a Utopian world could be achieved? I doubt it, but it certainly would go a long way to making this condemned world a better place to live.

I don't think this is one of the best movies that I have ever seen. I don't think it is even the best film that I will see this year (although it will make my top ten ) but the idea behind it is what has me intrigued. Believe me when I tell you this. I don't think I have ever been as emotionally galvanized as I was in this film. There is a raw power, a truth that rings clear in Pay It Forward and if there was one film that I would want people to see this year, it would be this film. It is entertaining, it is superbly acted, and it the one true film, the one true idea that really could help make a positive and tangible difference in our society and our world.

In some circles this film has been criticized for laying on the fluff. It is too much like a soap opera. And that is so far from the truth. Let's recount the issues at hand and examine them. Kevin Spacey plays a burn victim because of child abuse. Helen Hunt plays a single mom that is having a hard time recovering from alcoholism and has a bad case of ""can't get her ex-husband"" out of her life and her bed. Haley Joel Osment plays a wise beyond his years son that had to grow up precociously because of his mother that suffers from the above. Every character in this film, including the bit players suffers from real problems. If people have a hard time understanding this then just go to an average suburban classroom in North America and arbitrarily pick out ten kids. Chances are you will find cases of alcoholism, child abuse, divorce and a plethora of issues that are not conducive to a healthy environment for a child. So this film is just mirroring life. That's all.

The performances by the three leads is nothing short of brilliant. Not as much can be said for the rest of the cast, but Spacey, Osment and Hunt all could be nominated this year when March comes. All three bring compassion and depth to the three scarred people that they portray. But especially intriguing is Osment. He doesn't need to say anything in order for you to understand him. It's a look, a twitch, a smile, a shiver. Anything he does helps us understand who he is and why he is that way. Osment is one true gifted actor and I really don't think he is going to fade away in the years to come like so many other child prodigies. This is the real deal. By following up Sixth Sense with a performance this real solidifies him as a true thespian.

If you have not seen this film for whatever reason, and its box office suggests most haven't, then do yourself a favour and take a chance on it. Not only will it do you good, it really might help change you in some ways. And as Osment says in the film, maybe we may all see in some way that, "" the world isn't really s**t.""

9 out of 10 ( and bring lots of tissues )",9
28 January 2005,The ending reflects how cruel life really is,"In 2001 after the terrorist attacks on the World Trade Centers, the Pentagon, and the plane crash in Pennsylvania, my class and I talked about it and what was disturbing to us. I mentioned how everyone thinks it's impossible to make a better world, but is it? I told them that if one person can do something wonderful for another person, that it could pass on like a domino reaction. Everyone loved my speech and the teacher even said that we could all do one nice thing, so for that day after class we had to do something nice, hoping it would cause a reaction. Didn't happen.

I recently watched Pay It Forward, watching it broke my heart because I felt for Haley Jole Osmond's character, hoping your idea would work and it didn't. Just wanting to make something better and you know it's so hard but you just have to try. This is a terrific movie that deserves more praise and I am hurt by a rating of 6.7. I think this movie is one of the best movies of 2000 if not the best. We could all learn from this film.

8/10",9
3 May 2004,Despite the shortcomings - well played and at times inspiring,"I remember leaving the cinema, feeling very much let down by the end of ""Pay it Forward"". Watching it recently on television I find myself far more forgiving since it's a movie with a sincere and important message, expressed with conviction. The quasi-religious ending probably will appeal to many, but from an artistic viewpoint, it seems unnecessary and not entirely suited to the tone of the film up to that point.

Kevin Spacey is effective as the suppressed, sensitive teacher, while Helen Hunt is terrific, despite the role being far too close for comfort with her ""As Good As It Gets"" character. But it's Hailey Joel Osment's wonderful portrayal that gives ""Pay It Forward"" much of its power. He simply is perfect for the part. (Good to see Angie Dickenson, braving it in the role of a homeless alcoholic).

At its best, this is a film which may just do the impossible: inspiring one to good deeds, without expectation of reward or remuneration. That alone is a substantial achievement.
78 out of 98 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
10 June 2020,"Very inspiring movie, made me think about my life.","This movie was a surprise, I did not expect it to be good. It was a very good movie. Nice story, kept me engaged even though I am not into dramas and more into action movies. Acting was very good, the actor playing Trevor was amazing and also Kevin Spacey of course. Pacing was good, sometimes a bit slow.

The most important thing about the movie was the message, paying it forward could make the world a happier place, people including myself have a tendency to be selfish. Made me think about my life, time for change.
10 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
11 March 2009,"While not the most moving film I've seen, this is still a solid, thoughtful and well-performed film!","Pay It Forward is not as moving as a film like the Elephant Man and Fearless, but is still a solid and thoughtful account of a boy who wants to change the lives of those he loves.

The subject matter was well-realised, and that alone made it genuinely poignant. I have read some truly unfair reviews, that Pay It Forward is overly sentimental. No, it isn't. The ending was beautiful, and heart-rending too. When I saw this at school, I promised myself I wouldn't cry. But I did oddly enough, but it is very fair to say the ending was very moving, and added to the irony that the young boy Trevor, was unable to change his alcoholic mother's life. The scene in the hospital was also really sad, as I had genuine respect for all the characters.

There were unfortunately two flaws with the film. First of all, the script at times was a bit weak, especially when the three protagonists were not the focus. The other flaw was that sometimes the film's structure felt a little confused, but that's just me. Mimi Leder's direction was slick and attentive, the two ingredients you need to make this sort of film work.

The performances of the three leads were what held this film together. A wonderfully restrained Kevin Spacey played the disfigured teacher, and the scene where we find out what happened to him was shocking to say the least. Helen Hunt matched him beautifully as the mother, who tries to block out her painful life(prostitution, domestic abuse, an alcoholic family member) with drink, much to the despair of her son, Trevor. The real star is Haley Joel Osment, possibly the most talented child actor on film, who perfectly conveyed the 11 year old boy who wants to make a difference. Who wouldn't? All in all, a thoughtful and insightful film, that is genuinely moving. It isn't the most moving film ever, but it is definitely underrated. 8/10 Bethany Cox",8
30 June 2012,"An underrated, beautiful movie.","Pay It Forward is based on a plot that makes you think almost about everything -both while watching and after. There are elements that make you smile and cry, and the cast is very good at delivering the superb scenario. Helen Hunt and Kevin Spacey surely do not disappoint and Haley Joel Osment performs perfect, giving everything one could expect from such a young actor. Jon Bon Jovi is the surprise among the cast and adds a nice flavor to an already delicious dish. From the beginning until the very end, the movie manages to touch somewhere deep in your heart, and although I did not the book it was based on, the plot makes a lot of sense in its entirety and shines with its originality. It does not come with numerous awards or an exceptionally high IMDb rating, but it really is a very good movie.
24 out of 27 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
14 May 2008,A touching film in these uncertain times,"A film of surprising majesty mainly because of its sincerity to convey the tale of a young (American) high school student, touchingly and masterfully played by the then 12-year-old Haley Joel Osment, who, at the instigation of his new teacher's challenge to the class, comes up with a beautiful and simple plan to make a difference in the world, involving doing a good turn to not just one person but three, who then, in turn, return the gift themselves to three more people, thereby very quickly spreading goodness in both directions, in the giving and receiving, in the most unlikely places and ways. Warning: a tear-jerker!
22 out of 27 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
16 May 2005,Unforgettable,"In our world helping other people is perhaps the most important we can do. Children are the ones who often teach us how to behave in certain unpleasant circumstances. It is not only a moving story but everybody who sees this film stops for a moment or more and think over the meaning of life. One of the best American films I have ever seen with lots of good actors. Kevin Spacey and Helen Hunt are wonderful. In secondary schools it should be a compulsory part of education. I am a teacher and when I want to talk about this topic I always choose this film and students find it a very good example, too. It has not got a happy ending like it often happens in life. It is not a stupid story, it gives us lots of extras. When I first watched it, at the end of the film I was full of emotions and just could not sleep for a while. To put it into a nutshell: Try it and pay attention to Pay it forward.
144 out of 178 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
