Date,Title,Review,Rating
17 June 2019,A romcom for effed up people,"I wanted to hate this movie sooo much. This is because a bunch of people told me to watch it, and not in a ""hey this is a great flick"" way but in a derogatory, judgmental ""you NEED to watch this movie (lingering stare)"" way. I get it. It's about people with some serious mental issues. Sure, I'll watch it just to say I did.

But instead of hating it, this movie won me over. Yes, it's about people with mental issues, but a subtle point of the film (which my judgmental friends didn't seem to get) is that EVERYONE is messed up, whether or not they admit to their disorders. It may take a while for this message to sink in, especially for those who tend to view the mental spectrum in black & white, but once you get it, this movie becomes a great experience in understanding the human psyche from all angles.

Ok, if you made it past my opening 2 paragraphs, here's the fun part. ""Silver Linings Playbook"" is a quirky, mostly lighthearted flick about 2 people who are each labeled as ""crazy"" and their odd relationship. The humor is similar to something you'd see in a Wes Anderson flick (Rushmore, Royal Tenenbaums, Life Aquatic) or maybe even Jonze/Kaufmann (Being John Malkovich, Synecdoche NY). By that, I mean it's subtle without any big punchlines or slapstick gags. The sheer randomness and bizarreness of the characters' words, actions and reactions provide the comedy. So don't expect a lot of knee slappers, but at the same time there are a lot of funny lines that are very memorable.

Also, even though I described this as a ""romcom"", it's really not a romance or a comedy. It's more about the unique strangeness in all of us, set against the backdrop of romantic relationships. That's all you really need to know about the plot because it defies explanation. But I'll still attempt to sum it up in 1 sentence: A guy who has just been discharged from the nut house (Bradley Cooper) who is violently obsessed with winning back his ex-wife, befriends the ""town slut"" (Jennifer Lawrence), and they begrudgingly team up in an attempt to get both their lives together.

It's a great flick, probably best watched alone. Terrible first-date movie because it's not exactly your typical charming Hugh Grant type ice breaker. You probably won't want to watch it with your parents or kids either because there is a heavy, awkward sub-plot about dysfunctional family relationships. Definintely not a chick flick nor a bro flick (except that there's a lot about football, in a funny way). I would say watch it with your dog and have a great time.",8
29 December 2012,Stunningly accurate look at the bipolar life.,"I am bi-polar. I have been that way since I was a young man. I am approaching 60. I have been in treatment for many years. There have been relapses and time spent in hospitals. There have been good times. Before I received good treated, I left a trail of emotional, professional, and relational disaster behind me. It broke apart the lives of others as much as it did my own.

I did not know what to expect from this movie. It is a stunningly accurate trip into the mind of a BP sufferer. It shows the disease from the outside, too. It is amazing in its accuracy. The mood swings, the detachment from reality, the failure to learn from past errors are there. Here is a guy who has so messed up he is in the hospital. He is released into the custody of his parents. He improves himself physically yet cannot see what he has done, what he is now, and what the future portends with any sort of reality.

There are other situations in the film which mirror the BP life. There are job losses, broken relationships, unlimited optimism, anger, and a feeling that no one understands you. But he doesn't even understand himself. He thinks he is the only sane person around. He is in complete denial yet goes along with treatment just to get along with others.

The obsession with his estranged wife drives him. Everything he does is to make himself look desirable to her.

Then there is the hair trigger and the propensity toward violence which ultimately put him into the hospital. He has the belief that he sees with much more clarity than anyone else. There is also the hatred of medications and the belief that he doesn't need them.

Yet, there is hope. There is no miraculous cure. There is a negotiated peace between his illness and the way he must be to survive in the world.

The only thing I felt was missing was the crushing depression. But I understand that. Depression makes for lousy movies. The film is strictly about a manic life that wants to be better but cannot accept that he is badly off dead center normal.

If you are bi-polar and under control, see this film! If you live with or deal with a BP, see this movie. If you are untreated, you won't get it because BP clouds the mind.

My new wife and I went to see it. Up front I told her that I had this mental illness. She still married me. She is a health care worker with an understanding of illness and of treatment. After the film she asked me what I thought.

I told her that I was a bit frightened to tell her that the portrayal is spot on and that I had seen all of it before.

But like all bipolar sufferers, I wanted her to know that ""I was never that bad."" The truth is, I was....but we BP people don't handle reality all that well.",9
8 September 2020,Entertaining & good story about bipolarity.,"I'm surprised by the negative reviews. I can't really see why people would dislike this movie. Even if it's not really my genre of movie I thought this one was very captivating. Bradley Cooper did a really good job playing his bipolar character, to me it was one of his best performances yet. The Oscar for best female actress went to Jennifer Lawrence, which surprised me a bit, even though she did a good job here. But to me Bradley Cooper is the star of Silver Linings Playbook. The rest of the cast was also excellent, all contributing to make this movie very enjoyable to watch, with some good giggles, but most of all an interesting story. I find stories about the ""little bit crazy"" people always fascinating to watch and in Silver Linings Playbook Cooper did a great job playing a bipolar. I wouldn't pay too much attention to the extremely negative reviews on here, those people rarely are satisfied by anything in life.
32 out of 38 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
24 November 2012,Excelsior Strategy,"I wanted to hate this movie sooo much. This is because a bunch of people told me to watch it, and not in a ""hey this is a great flick"" way but in a derogatory, judgmental ""you NEED to watch this movie (lingering stare)"" way. I get it. It's about people with some serious mental issues. Sure, I'll watch it just to say I did.

But instead of hating it, this movie won me over. Yes, it's about people with mental issues, but a subtle point of the film (which my judgmental friends didn't seem to get) is that EVERYONE is messed up, whether or not they admit to their disorders. It may take a while for this message to sink in, especially for those who tend to view the mental spectrum in black & white, but once you get it, this movie becomes a great experience in understanding the human psyche from all angles.

Ok, if you made it past my opening 2 paragraphs, here's the fun part. ""Silver Linings Playbook"" is a quirky, mostly lighthearted flick about 2 people who are each labeled as ""crazy"" and their odd relationship. The humor is similar to something you'd see in a Wes Anderson flick (Rushmore, Royal Tenenbaums, Life Aquatic) or maybe even Jonze/Kaufmann (Being John Malkovich, Synecdoche NY). By that, I mean it's subtle without any big punchlines or slapstick gags. The sheer randomness and bizarreness of the characters' words, actions and reactions provide the comedy. So don't expect a lot of knee slappers, but at the same time there are a lot of funny lines that are very memorable.

Also, even though I described this as a ""romcom"", it's really not a romance or a comedy. It's more about the unique strangeness in all of us, set against the backdrop of romantic relationships. That's all you really need to know about the plot because it defies explanation. But I'll still attempt to sum it up in 1 sentence: A guy who has just been discharged from the nut house (Bradley Cooper) who is violently obsessed with winning back his ex-wife, befriends the ""town slut"" (Jennifer Lawrence), and they begrudgingly team up in an attempt to get both their lives together.

It's a great flick, probably best watched alone. Terrible first-date movie because it's not exactly your typical charming Hugh Grant type ice breaker. You probably won't want to watch it with your parents or kids either because there is a heavy, awkward sub-plot about dysfunctional family relationships. Definintely not a chick flick nor a bro flick (except that there's a lot about football, in a funny way). I would say watch it with your dog and have a great time.",8
26 January 2013,"Although the ending was awfully formulaic, the overall package is just terrific.","I wanted to hate this movie sooo much. This is because a bunch of people told me to watch it, and not in a ""hey this is a great flick"" way but in a derogatory, judgmental ""you NEED to watch this movie (lingering stare)"" way. I get it. It's about people with some serious mental issues. Sure, I'll watch it just to say I did.

But instead of hating it, this movie won me over. Yes, it's about people with mental issues, but a subtle point of the film (which my judgmental friends didn't seem to get) is that EVERYONE is messed up, whether or not they admit to their disorders. It may take a while for this message to sink in, especially for those who tend to view the mental spectrum in black & white, but once you get it, this movie becomes a great experience in understanding the human psyche from all angles.

Ok, if you made it past my opening 2 paragraphs, here's the fun part. ""Silver Linings Playbook"" is a quirky, mostly lighthearted flick about 2 people who are each labeled as ""crazy"" and their odd relationship. The humor is similar to something you'd see in a Wes Anderson flick (Rushmore, Royal Tenenbaums, Life Aquatic) or maybe even Jonze/Kaufmann (Being John Malkovich, Synecdoche NY). By that, I mean it's subtle without any big punchlines or slapstick gags. The sheer randomness and bizarreness of the characters' words, actions and reactions provide the comedy. So don't expect a lot of knee slappers, but at the same time there are a lot of funny lines that are very memorable.

Also, even though I described this as a ""romcom"", it's really not a romance or a comedy. It's more about the unique strangeness in all of us, set against the backdrop of romantic relationships. That's all you really need to know about the plot because it defies explanation. But I'll still attempt to sum it up in 1 sentence: A guy who has just been discharged from the nut house (Bradley Cooper) who is violently obsessed with winning back his ex-wife, befriends the ""town slut"" (Jennifer Lawrence), and they begrudgingly team up in an attempt to get both their lives together.

It's a great flick, probably best watched alone. Terrible first-date movie because it's not exactly your typical charming Hugh Grant type ice breaker. You probably won't want to watch it with your parents or kids either because there is a heavy, awkward sub-plot about dysfunctional family relationships. Definintely not a chick flick nor a bro flick (except that there's a lot about football, in a funny way). I would say watch it with your dog and have a great time.",9
16 November 2012,"It's a platinum lining, not just silver.","""I'm remaking myself."" Pat (Bradley Cooper)

Silver Linings Playbook doesn't play by the current romantic comedy book—No scatology, nudity, f-bombing, or feminist and gay bashing. It's simply a smart playbook about the mental institution's recently-released Pat Solitano (Cooper, shedding his Hangover boy-man shtick), who may be saner than his dad, an OCD gambler (Robert De Niro), and Bradley's new friend, Tiffany (Jennifer Lawrence).

But that comparison is all relative because director David O. Russell (remember his funky family in Flirting with Disaster?) allows each character in this dramedy to become whole and interesting without becoming marginalized.

After some serious outbursts of anger, Pat starts training for a dance competition with Tiffany in order to make contact with and eventually impress his estranged wife, Nikki (Brea Bee).

The eventualities of the story are not half as stimulating as the plot along the way, some of the best scenes centered around the family squabbling about the Philadelphia Eagles or Pat's relationship with that ""slut,"" Tiffany. When Pat confronts his parents at 4 AM about the deficiency of Hemingway's ending to A Farewell to Arms and when Russell places under another scene Bob Dylan and Johnny Cash singing Girl from the North Country, you know you're in a film that follows no particular playbook.

The dynamics as fostered by these superior actors are some of the best ensemble work this year. In fact, this is so far the best of the romantic comedies in recent memory. Pat and Tiffany may be bi-polar, but they can dance the stars into your eyes.

Jennifer Lawrence plays so different a character from those in Winter's Bone and Hunger Games that it may take you a scene or two to recognize her. But when she dances, you'll confirm she's one of the best young actresses in Hollywood, and this film one of the best of the year.",
31 March 2020,Good,"I like the bit where the man goes jogging whilst wearing a garbage bag
27 out of 37 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
16 October 2018,Enjoyed it,"People are saying that it's ""offensive"" and ""too happy"" to be real, and that surprises me. As someone who lives with mental illness (severe major depression with severe psychotic features), and was in psych ward for quite a while, I didn't find it offensive. I found it to be remarkably accurate in portraying some of my own struggles, with mind-dulling medications, unwanted outbursts, deep paranoia, odd tics, etc. that I have had for over ten years. As for the ""overly happy"" stuff? Too many movies and TV shows focus on being ""dark"" and ""edgy"", so I found it refreshing to see someone going through struggles being positive about it. I won't pretend to have had the most difficult life, but it hasn't been easy. I saw this movie a few months after I was released from psych ward (2016), and I can honestly say it gave me a bit of hope to find my own silver lining. The world needs more positivity.
43 out of 46 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
13 August 2013,De Niro is back,"While the big headlines might be taken by the Oscar nominated lead actors (and also Oscar winner, regarding Jennifer Lawrence), the other good news is that De Niro finally had a role he could relish in again. And a role we as viewers would actually like to see him in too. There have been a few lesser roles he played over the past couple of years. And while he is never able to completely disappoint, you won't remember him for a movie called ""Freelancers"" and others in that vain.

But back to the leading couple. A couple that is really so far apart, that you know what that ultimately means for them. But Bradley Coopers character has a lot more going on than that. There are relationships that went wrong and it's really tough sometimes to watch him destroying himself or at least attempting to. A very good movie, with great dialog
15 out of 20 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
8 September 2018,Crazy love for Jennifer Lawrence!,"This is without a doubt THE movie that launched Jennifer into stardom. And deservedly so! For all those who love Jennifer Lawrence and for some unexplicable reason havent yet seen this gem there is only advice: stop reading this review and start watching!

But this movie is much much more than just a fun filled Jennifer flick, because David O Russel wrote and directed this crazy love classic, a movie about 2 people who are crazy and in love. The guy is played by Bradley Cooper and besides his other role in ""American Hustle"" I truly feel that this is his best performance ever.

All David O Russell pictures are about families in chaos. Utter chaos. BUT despite all the chaos and craziness in David O Russell's pictures there is always a true love at the heart to be found. That is what makes Russell's pictures so endearingly huggable, loveable and crazy positive. It is so touching and uplifting to see the craziest dysfunctional people fall in love and support eachother despite all their sorrows, fights and utter craziness.

Terrific supporting role by Robert de Niro! Splendid soundtrack. Great story. What more could one wish for? It is the craziest christmas feel good film I have ever seen. Gotta see this one!",9
