Date,Title,Review,Rating
7 July 2021,It's not a game,"Or is it? Maybe it is easier to ... play it, if you consider it a game? One thing is for sure, Tony Scott is a masterful player ... behind the camera. You can tell with this movie, how he likes to shoot movies and how he likes to create tension, even in a simple scene, where Redford is only holding a cup of coffee and going from one room to another ... insert, camera moves with him, towards him, cut little snippets in and make it seem like something urgent ... masterclass in shooting and editing I'd say.

But that is not all we have here. You also have two wonderful actors ... two people who surely admire each other and play off each other very well. Even if their characters may not agree on many things ... there is some level of respect even in the movie and their playing off each other.

The Spy Game is not something that can be seen lightly ... and something that plays with human life. Where certain scenarios are considered wins, even if a lot has been lost ... you'll know once you see this. I'm surprised I never had seen this before the other day ... but there is only so many movies one can watch, right?",9
5 December 2001,High quality Hollywood thriller,"Spy Game is everything we're not supposed to expect from a major Hollywood movie: engrossing, intelligent, well written, acted and directed. But that's just what it is and more, this is definitely the best thing I've seen since Memento. Although Pitt is really good and Redford plays himself as well as he has in years, I think the most credit should go to Tony Scott. In the hands of a lesser director this could have been something more like Mission Impossible. But Scott stays right on target, keeping us interested, developing the characters, and keeping the pacing nearly perfect. Scott also shows us that he's stayed with the times: he employs the full array of modern camera tricks like fast motion, reverse zooms and funky lenses but in a way that actually makes the film better instead of being an annoying distraction. The dialogue feels natural, all the actors do good work, no one tries to steal the show or be the star. The story is interesting and almost never lapses into the kind of hyper violence or sappy sentimentality one has come to associate with modern studio pictures. You get a feeling this is pretty close to how the CIA really operates, a place with fantastic technology at its disposal but who's ultimate effectiveness is determined by the fallible people who run the missions and take the chances. I really enjoyed this film, I hope it's a sign of things to come and not a rarity.",8
2 January 2002,"Not just another Tony Scott action film--it's complex, thought-provoking. *** (out of four)","SPY GAME / (2001) *** (out of four)

Tony Scott is known for his big budget, fast-paced, action-packed extravaganzas. His latest film, ""Spy Game"" is no exception. He takes advantage of a massive budget, but loses sight of human comprehension. It's difficult to grasp his moral when it's awash in a superficial style where individual shots seldom last more than thirty seconds, and where dialogue never exceeds the length of a short paragraph. There's not much time to introduce characters, situations, or even locations-datelines appear on the screen to identify times and places.

Yet, it doesn't just feel as if we are in another movie by Tony Scott-everything feels very real. The danger is real. The characters are real. Many action films are about the action, special effects, and car chase sequences. ""Spy Game"" does contain those things, but they are in a focused, tight, evocative thriller. This movie is about the characters, not the action. It never forgets that.

""Spy Game"" contains a complex structure. We begin in 1991. Veteran CIA officer Nathan Muir (Robert Redford) prepares for retirement. On his last day, he learns that his one-time protégé, Tom Bishop (Brad Pitt), has been captured in a foreign prison on a charge of espionage and will be executed in 24 hours. Fearing international crisis, the CIA decides it would be too risky to save him. But with a new generation in control of the agency, Nathan is no longer an insider. He must outsmart his own agency in order to save his old friend.

Most of the film plays out in flashbacks as the CIA digests valuable information from Muir. The movie spans from the Vietnam war to the end of the Cold War, with years ranging from 1965 to about 1991 (although the characters don't seem to age much). We learn Nathan chose Tom as a sharpshooter in Vietnam. He trained with Bishop. They formed a close bond, until something came between them-a woman.

The forty-year span in time poses no problem for ""Spy Game."" The engaging screenplay, by Michael Frost Beckner and David Arata, focuses on only the necessary characters. The soundtrack, by Harry Gregson-Williams, masterfully captures the various time periods, spicing the scenes with a slick sense of style and intrigue. The cinematography by Daniel Mindel makes the differences in location clear. Christian Wagner's editing gives the movie a frenzied, almost rushed emotion, that puts us right in the middle of the race against time.

Pitt and Redford retain their ground, despite a thick style. Redford creates a character out of nothing. We know little about him at the beginning, and we know little about him at the end. But he somehow gives his character a conscience, human values, and a lot of interest. We care about him because we do not like the black and white CIA operatives. Thus, we care about Pitt's character as well. Pitt gives his character an immature nature. He is in a stereotypical young hotshot role that might have fit him better a few years ago, but he still creates a grave sense of panic and fear.

With a structure like this, we expect subplots to evolve from the flashbacks. There is an intriguing terrorist story. A love story. Themes about betrayal, trust, position, friendship, commitmentbut ""Spy Game"" never slows down and allows us to absorb these important details. By the end, we feel exhilarated, and we know we just watched a very smart, well-crafted film, but the most we can take from it is that it is a very smart, well-crafted film. I think, beneath all the style and surface, there is a little more to the movie than that.",7
18 August 2002,In response to the negative reviews,"I can't believe some of the nonsense I've read here. People are complaining that Redford looked too old in the flashback scenes -- for one, I thought he looked believable. Secondly, Hollywood hasn't cloned Redford in a vat yet so we'll just have to live with scenes like this. So get over it. Others complain that the movie is somehow BORING, which blows my mind, considering it's non-stop, fast paced action and dialogue. If you're attention span is too short for this movie I'm sure you'll enjoy crap like ""XXX"". Others complain about messy plot logic (how did a CIA operative get into a Chinese prison? Huuu duhh, I dunno! It's a popcorn flick you morons! It's not a 900 page novel or a documentary). The plot takes a few leaps here and there, but a Snake Eyes or Face/Off this film is not. I read complaints about the 'arty', flashy 'MTV' style editing and filming techniques -- I actually thought the movie was filmed and edited superbly and the contemporary, TV-commercial style actually complemented the film. It's crisp, tight, taut and entertaining. You get the feeling this is a high-quality production, whereas with something like ""Mission Impossible 2"" the same type of style is implemented but it comes off feeling cheap. Not here, not with this movie. As with Enemy of the State, it works. I have a feeling some of the people that thought it was boring simply couldn't follow what was going on. The plot does make sense if you have the attention span to keep up.",10
2 December 2021,"Moving espionage thriller from Tony Scott with suspense , thrills , intriguing events and great performance","Nail-biting and exciting movie about terrorism , spies and geopolitical issues . The film deals with a spy chief called Nathan Muir (Robert Redford) who's on the verge of retirement from the Central Intelligence Agency. Then the veteran spy learns that his one-time protege Tom Bishop (Brad Pitt) , a CIA operative serving in various countries , has been incarcerated. Tom has gone rogue and been taken prisoner after attempting to smuggle a prisoner out of China . Although Muir and Bishop had once been close friends , sharing long periods of thrilling adventures from Vietnam , Berlin , to Beirut where Muir schemed a plot to chase a mastermind terrorist . As in Lebanon , both of whom formed a solid and shaky alliance to break the terrorist ring which previous bombed US military targets with a lot of casualties . Things go wrong when Bishop falls in love with an aid-worker (Catherine McCormack) . As his memories of their friendship come flooding back , Muir sets about managing the rescue of his old friend from a Communist prison . Meanwhile , the super-powerful CIA uses technological-gizmo-surveillance satellites and modern surveillance systems for people spying and hound terrorists relentlessly . It's not how you play the game ... It's how the Game Plays you. It's not how you play the game. It's how the game plays you. ""Poor is the pupil who does not surpass his teacher"" . In the end, only friendship matters!

Story's core is interesting and script is dense with information and drama . The ultra-brisk editing and rapid scenes movement leaves little time to consider some inadequacies . Regarding a peculiar relationship between two top-of-the-range spies whose long knowledge has developed bad blood and resentment between them , in spite of the two men haven't seen each other in years . Here Brad Pitt is reunited as a co-star with his A River Runs Through It (1992) director Robert Redford for this espionage thriller from Tony Scott , and both of them giving awesome interpretations . Engaging and twisted thriller concerning the spy-world on Middle East , China and other countries . Robert Redford and Brad Pitt sustain interest enough in this tale of friendship , betrayal , sacrifice and terrorism . Brad Pitt is good as tough super-spy as well as sniper operative and Robert Redford 's cool displaying an enjoyable performance as the elderly and regretted CIA agent . The use of geopolitical messages to add weight to a romantic subplot between the spy and the beautiful nurse , well played by Catherine McCormack , though feels a little forced , at times. They are well accompanied by a good cast , such as : Stephen Dillane , Larry Bryggman , Marianne Jean-Baptiste , Shane Rimmer, David Hemmings, Benedict Wong , Ken Leung , Matthew Marsh , Michael Paul Chan , among others .

The film packs adequate , evocative cinematography by Dan Mindel and rousing musical score by Harry Gregson-Williams . The motion picture was well realized by Tony Scott . He was a good filmmaker whose works received some great reviews , his first big hit happened when was asked by producers Don Simpson and Jerry Bruckheimer to direct Top Gun (1986) starring Tom Cruise . He would work again with Cruise on another high adrenaline film Days of thunder (1990) , which proved less successful . He followed the success of Top Gun with the sequel Beverly Hill cop II (1987) with Eddie Murphy , which was well received . In 1993, he directed the cult movie True Romance (1993) , which was written by emerging director Quentin Tarantino but Scott had a lot of control over the film . While Unstoppable (2010) was Tony Scott and Denzel Washington's fifth and final film collaboration. The others were Red tide (1995) , Man on fire (2004) , Déjà vu (2006) , and Pelham 123 (2009) all of them got big successes . Spy Game(2001) rating : 7/10 . Well worth watching . Above average . The picture will appeal to Robert Redford and Brad Pitt fans .",7
4 April 2006,Better the n-th time around.,"I made the mistake of only watching this film once the first time around. I did end up buying it, though I was never sure why. Then, years later, I got around to watching it again... and again... and again... While Spy Game is so fast-paced that it's difficult to keep up the first time around, I think that's what makes it such a great DVD.

There are performances in this movie that defy description. You almost get a sense that if you were to meet him in the street, you'd get someone named Nathan Muir playing the part of Robert Redford - the transformation is that complete. In several scenes, but especially the scene on the Berlin rooftop, Redford gives a performance that is unlike almost anything I've ever seen in cinema. It's that perfect. Brad Pitt also does an amazing job, but Redford steals the whole movie.

I had to re-watch Spy Game three times before I felt I got a complete understanding of everything going on. There is almost nothing given away for free in this movie - none of the standard Hollywood ""shove-it-in-your-face-so-you're-sure-to-get-it"" fare. Every decision, most plot points, and a lot of what would normally be called ""meaningful looks"" are written on Muir's face for a split second, then they're gone.

This is one of the few movies that's intellectually challenging to watch. It takes patience and a quick assessment of each scene to understand and keep up. None of the acting is over the top or explicit; most everything is controlled, subtle, and delicately handled.

All in all, Spy Game is an exceptional movie, IMO, to watch and in some ways to study.",9
31 March 2005,this is a whole different game...,"There are many reasons why we like a movie or not. For me, this is the case in witch small things were enough to like it: the two main actors, the places in which the action occurs, and the fact that it has more to do with a love affair, in a tragic atmosphere than about spies. Well, of course this is about spies - two of them - and mostly about the relation between them; if they are similar enough to understand each other, they are also different enough to generate some tension in the relation.

Maybe this is more about how the characters move around each others than about action or intrigue. In fact this is so obvious that the way in which the story is told is mostly in flashback, with Muir (Robert Redford) introducing all of them and narrating part. So, the story is the story and the spy game is what Muir does within the CIA, in 24 hours or so. The distinction is important because if you think of this as a traditional spy movie (maybe like the Bourne Identity or Supremacy) it has two obvious flaws for the genre: the plot is very simple (maybe predictable) and there's no bad guy, no one to kill or to revenge; there's also almost no genuine action, and, as far as I can remember, Bishop (Brad Pitt) only fires one weapon in the whole movie. Maybe what mislead most of the people was the title of the movie, and maybe that's why most of them didn't like it. However, in my opinion, this is a very good movie, with strong leading roles and a compelling story.

No gadgets, no arms, no villains, no action...oh, no,this is a whole different game, and it's a serious and a dangerous game: the game of people and their relations.",9
23 July 2002,Worths a lot!,"Spy Game is funny,interesting and action of first category.The story is about the rescue of Tom Bishop(played by Brad Pitt)a spy who is in jail in a prison in China.Everything happens in a terrible time when the US is in negotiations of peace with China.So the CIA doesn't mean to save the body of the agent, who is ward, of Nathan Muir(Redford,the best in the picture).So Muir has to rescue Bishop in 24 hours so he's going to be executed by the chineses.

The story is all told in flashbacks.But Tony Scott was very competent telling the story in a very modern way,as usual!He is used to do a very interesting game with the cameras.Showing quick scenes and a fast rythman.The story is incredible and you won't be disapointed!If you liked Enemy of the State which was made by the same director you'll like a lot this motion picture.Two thumbs up!!!
53 out of 71 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
23 November 2001,Smilie's Game: Spy the Image,"Tony delivers something I would have expected from brother Ridley -- a set of images about images:

--the photographic and editing style is one of successive photographs often shifted/zoomed with the shutter click; some black and whites, many color deprived.

--the hero's cover story is as a photo journalist and his photos are shown the same as the CIA's, Redford's recollections, and the 'narrator's.'

--The agency is primarily about images in real life, images and action and that's self-referentially played up here. Scott uses a style of zooming in and out by jump cuts that he developed on his last film -- also about images and the intelligence community. Lots of cameras and binoculars here.

--the dramatic action is global, involving several hotspots with lots of action. When viewing that action, the cameras are hand-held. When watching the calm, controlling scenes at headquarters, we see them more statically as they are being videotaped, often spying through blinds. (Spy = see.) Often the images have digital tags.

--Some of the field scenes with Redford and Pitt are shot as though from a spy plane (as in that swooping, sweeping shot on a roof) or if interior as seen through a hole.

--Lots of helicopter shots, and lots of helicopters. It seems every combination was employed among the following: ground, interior of heli, interior of second heli, front of heli, heli POV, above heli. This by itself is self-referential when you notice how many of the 'ordinary' shots are from helis.

There is also a clever self-reference in the casting. Pitt was hailed as the 'new Redford' when he appeared in 'Thelma and Louise,' by brother Ridley. Then in 'River Runs' he was directed by Redford, in a Redfordlike role, underscoring the relationship. Here, he also is mentored, but in my opinion outacts Redford at every turn. I believe Scott intended to use Redford's limits as a tired actor to the advantage of this reference. Pitt has been working hard in relatively minor but challenging roles and the results show.

The only real complaints are the clumsy plot mechanics: the last day before retirement -- a clear 24 hour to doom clock -- a wily and complete outwitting of the pencilnecks -- all the CIA analysts and technicians as outwittable dimmies -- a senior character says 'get everything we have on so and so' and 10 seconds later a secretary appears with the files in multiple copies -- a helicopter is shot down: it disappears behind the trees and then we see a fireball. Fortunately we gloss over all that stuff. Couldn't in 'Enemy of the State.'",
8 November 2021,Surely an underrated film,"Spy Game is an action thriller film directed by Tony Scott and starring Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane, Larry Bryggman and Marianne Jean-Baptiste.

CIA agent Nathan Muir is retiring and learns that his friend is incarcerated in China, he takes it upon himself to free him from the Chinese.

One of the most underrated films of Tony Scott, the film is very much engaging and the viewers who likes espionage spy thrillers will surely like the film. We have seen many edge of the seat spy thriller but this film is quite different from other films, the film will demand your patience due to it's slow speed but will not disappoint you.

Acting is superb and both Redford and Pitt were quite impressive in their respective roles. The screenplay of the film is slow but still have the ingredients to keep you engaged.

Climax of the film is good and satisfying, this film is not the typical spy thriller film but still a great entertainer. A Must watch underrated film.",9
