review_date,review_title,review_comment,review_rating
5 June 2016,"Surprisingly very entertaining, much better than it had a right to be",Having never played the app game it was going to be interesting to see whether The Angry Birds Movie was going to make something interesting out of it and how it was going to be succeed The Angry Birds Movie is not perfect but this reviewer was really surprised at how much she enjoyed it There are better animated films out there and there were better released this year i e Zootropolis aka Zootopia in some places but also far worse on both counts From the two animated films seen recently at the cinema The Angry Birds Movie is the superior film of the two The other was Ratchet Clank which is not as bad as critics made out personal opinion of course and could have been much worse considering video game adaptations dubious track record but also had too many flaws to be considered a good film Getting the flaws out of the way the story in The Angry Birds Movie is somewhat flimsy and has a tendency to be thin on the ground with a couple of unnecessary parts and parts that don t really go anywhere It does occasionally feel rushed too and while the film entertains hugely a vast majority of the time there are a couple of gags that misfire This is especially true with the quite tasteless awkwardly placed and too overlong urination gag that was also really quite out of place However the animation in The Angry Birds Movie is great The colours are sumptuous and brightly vibrant the characters are well modelled and never look stiff or ugly and there are some very colourful and meticulously detailed backgrounds There are also some very imaginative visuals in the action sequences The music never makes the mistake of being stylistically jarring or over bearing and has a lot of infectious personality and energetic verve While not hilarious as such and unashamedly but endearingly silly the script has some very funny moments is tonally balanced with very little that s inappropriate or distasteful is solidly balanced without being disjointed or muddled and there are some clever and witty lines The action sequences are beautifully animated and thrilling the message is a great one gives the film a surprisingly emotional core without being over sentimental or preachy and the climax is quite the knockout and the highlight of the film The Angry Birds Movie s colourful characters carry the film beautifully with a protagonist that is easy to relate to and Mighty Eagle despite being a marmite character is great fun The villains do pose a reasonable threat though are not particularly interesting The voice acting including actors who you wouldn t expect to work as well as they did in voice acting is excellent with the best contribution coming from Peter Dinklage All in all surprisingly very entertaining and much better than it had a right to see considering what it was based on 7 10 Bethany Cox,7
23 May 2016,Pretty funny!!,So I never played the game before I should have done that before I saw it but the movie actually gave me a pretty good run through on how to play the game as well as tips on how to get far in the game and how to use all the birds in the game so that s cool They did a better job at it than the movies Battleship and Doom Loved all the voice talent in the movie lead by Jason Sudeikis who plays the Red bird with a hot temper whose force into anger management were he forms relationships with other angry birds Chuck played by Josh Gad Bomb played by Danny McBride and Terrance who was played brilliantly by Sean Penn They are the only one s who can help Red when he realizes the friendly Pigs that invaded their Island are up to something I loved the animation and the design of the characters It s very funny and entertaining,7
29 August 2016,I was really expecting to hate it.,ANGRY BIRDS Three Stars Out of Five Hit animated kids flick based on the immensely popular app video game series It tells the story of three misfit flightless birds with anger issues that must defend their island from mischievous green pig visitors The film stars the voice talents of Jason Sudeikis Josh Gad Danny McBride Bill Hader Peter Dinklage Maya Rudolph Kate McKinnon Keegan Michael Key Tony Hale Sean Penn and Blake Shelton It was directed by Clay Kaytis a veteran animator and Fergal Reilly a veteran storyboard artist of animated films both in their feature film directorial debuts It was written by Jon Vitti Mikael Hed Mikko Polla and John Cohen all veterans of animation The movie was a big hit at the Box Office and it received mostly positive reviews from fans but not so much from critics I liked it The film takes place on Bird Island an island inhabited by mostly happy but flightless birds Red Sudeikis is a loner bird with anger issues After he accidentally causes an egg to hatch early he s sentenced to anger management classes There he meets three other bird outcasts named Chuck Gad Bomb McBride and Terrence Penn Chuck and Bomb try to make friends with Red but Red refuses Then a ship arrives filled with strange green pigs that claim they just want to be friends Red is suspicious of their true intentions right away and he reluctantly enlists the help of Chuck and Bomb to figure out what the pigs are really up to The movie is a lot more entertaining than I thought it would be I was really expecting to hate it It s definitely simple silly and made primarily for kids but the animation is kind of cool and it s funny the voice cast is awesome I love Sudeikis Dinklage McBride Hader Gad Key and the rest and I think they made the film a lot more enjoyable It s definitely nothing that special but it s not bad or annoying either Watch our movie review show MOVIE TALK at  www youtube com watch v EoRwrYi1UcY,6
5 June 2016,Glad it turned out to be a movie!,Having never played the app game it was going to be interesting to see whether The Angry Birds Movie was going to make something interesting out of it and how it was going to be succeed The Angry Birds Movie is not perfect but this reviewer was really surprised at how much she enjoyed it There are better animated films out there and there were better released this year i e Zootropolis aka Zootopia in some places but also far worse on both counts From the two animated films seen recently at the cinema The Angry Birds Movie is the superior film of the two The other was Ratchet Clank which is not as bad as critics made out personal opinion of course and could have been much worse considering video game adaptations dubious track record but also had too many flaws to be considered a good film Getting the flaws out of the way the story in The Angry Birds Movie is somewhat flimsy and has a tendency to be thin on the ground with a couple of unnecessary parts and parts that don t really go anywhere It does occasionally feel rushed too and while the film entertains hugely a vast majority of the time there are a couple of gags that misfire This is especially true with the quite tasteless awkwardly placed and too overlong urination gag that was also really quite out of place However the animation in The Angry Birds Movie is great The colours are sumptuous and brightly vibrant the characters are well modelled and never look stiff or ugly and there are some very colourful and meticulously detailed backgrounds There are also some very imaginative visuals in the action sequences The music never makes the mistake of being stylistically jarring or over bearing and has a lot of infectious personality and energetic verve While not hilarious as such and unashamedly but endearingly silly the script has some very funny moments is tonally balanced with very little that s inappropriate or distasteful is solidly balanced without being disjointed or muddled and there are some clever and witty lines The action sequences are beautifully animated and thrilling the message is a great one gives the film a surprisingly emotional core without being over sentimental or preachy and the climax is quite the knockout and the highlight of the film The Angry Birds Movie s colourful characters carry the film beautifully with a protagonist that is easy to relate to and Mighty Eagle despite being a marmite character is great fun The villains do pose a reasonable threat though are not particularly interesting The voice acting including actors who you wouldn t expect to work as well as they did in voice acting is excellent with the best contribution coming from Peter Dinklage All in all surprisingly very entertaining and much better than it had a right to see considering what it was based on 7 10 Bethany Cox,8
23 May 2016,I really liked this film,Having never played the app game it was going to be interesting to see whether The Angry Birds Movie was going to make something interesting out of it and how it was going to be succeed The Angry Birds Movie is not perfect but this reviewer was really surprised at how much she enjoyed it There are better animated films out there and there were better released this year i e Zootropolis aka Zootopia in some places but also far worse on both counts From the two animated films seen recently at the cinema The Angry Birds Movie is the superior film of the two The other was Ratchet Clank which is not as bad as critics made out personal opinion of course and could have been much worse considering video game adaptations dubious track record but also had too many flaws to be considered a good film Getting the flaws out of the way the story in The Angry Birds Movie is somewhat flimsy and has a tendency to be thin on the ground with a couple of unnecessary parts and parts that don t really go anywhere It does occasionally feel rushed too and while the film entertains hugely a vast majority of the time there are a couple of gags that misfire This is especially true with the quite tasteless awkwardly placed and too overlong urination gag that was also really quite out of place However the animation in The Angry Birds Movie is great The colours are sumptuous and brightly vibrant the characters are well modelled and never look stiff or ugly and there are some very colourful and meticulously detailed backgrounds There are also some very imaginative visuals in the action sequences The music never makes the mistake of being stylistically jarring or over bearing and has a lot of infectious personality and energetic verve While not hilarious as such and unashamedly but endearingly silly the script has some very funny moments is tonally balanced with very little that s inappropriate or distasteful is solidly balanced without being disjointed or muddled and there are some clever and witty lines The action sequences are beautifully animated and thrilling the message is a great one gives the film a surprisingly emotional core without being over sentimental or preachy and the climax is quite the knockout and the highlight of the film The Angry Birds Movie s colourful characters carry the film beautifully with a protagonist that is easy to relate to and Mighty Eagle despite being a marmite character is great fun The villains do pose a reasonable threat though are not particularly interesting The voice acting including actors who you wouldn t expect to work as well as they did in voice acting is excellent with the best contribution coming from Peter Dinklage All in all surprisingly very entertaining and much better than it had a right to see considering what it was based on 7 10 Bethany Cox,8
27 May 2016,Funny and touching,This film tells the story of an outcast bird in the bird community because of his anger problems and because of his thick eyebrows He saves the day when he recognises that pig visitors may have sinister intentions then they declare Yes I enjoyed played Angry Birds before but when they announced an Angry Birds movie I thought it was rather silly I thought there would be inadequate plot to fill up the screen time Hence I was pleasantly surprised when I watched the trailer It actually made me want to watch the film The film has a simple plot that is basically given away in the trailer Well you might just be able to figure it out even not having watched the trailer Nevertheless it is a funny film with lots of laughs I find the urination scene a bit tasteless and far too lengthy but each to their taste The ending is quite touching I enjoyed watching it overall,
22 May 2016,Silly and Derivative but Charming and Humor-Filled,Following along in similar footsteps as The Lego Movie The Angry Birds Movie manages to create a fun and thrilling feature length story out of something that didn t have any reason being a film in the first place While it doesn t have an overly intelligent script with a great moral story it s beautifully animated full of action and some timely humor for all ages As with every animated film these days bringing in world class voice talent is vitally important People like Jason Sudeikis Danny McBride Maya Rudolph Josh Gad and Peter Dinklage add some credibility to the film but unsurprisingly they are what sold the film to me with its comedic charm I think that s what this film is at its core charming It won t stick with you with grand themes like Zootopia or catchy songs like Frozen but it certainly made me laugh and that s all I was hoping for With all of the well timed adult humor there was a good amount of unnecessary potty humor that felt more like the filmmakers were reaching for laughs It s that type of desperate humor that overtakes the ridiculous joy out of seeing the birds angrily soar through the air from a slingshot toward pigs And yes to a certain extent you have to suspend your disbelief as to why birds simply can t fly in this film but hey that s canon in the game The central story of Red voiced by Sudeikis and his overcoming of his anger was very predictable and doesn t offer anything new with storytelling In fact his arc is overtly similar to that of Shrek in the 2001 film But I did enjoy seeing the dynamic of Red Chuck and Bomb as they attempt to uncover what it is the pigs are up to The script tends to veer off at times in the middle act as the trio travels to find the Mighty Eagle voiced by Dinklage but it picks up for a pleasantly heartwarming final act Surprisingly charming Voice talent Great animated action Silly humor reaches for laughs Unfocused middle act 7 3 10,7
20 May 2016,I can guarantee you this great movie will make you happy.,The movie takes place on Bird Island an untouched paradise inhabited by birds who are naive and innocent These good birds know nothing of the outside world They treasure eggs above all else and are all carefree and easygoing except for few One of these birds is Red a societal outcast who has had anger issues from the very beginning Eventually his outbursts become too much and he is sentenced to anger management courses where he meets other misfit birds with similar problems The birds are suddenly visited by green pigs who are dumb but funny The birds and pigs quickly befriend each other but Red does not trust the pigs at all Ultimately the pigs reveal their true colors and leads to Red leading the entire flock in a maddening frenzy of rightful revenge as well as finding the right means of dealing with rage Everything about this movie is impressive I can guarantee you this great movie will make you happy,10
17 May 2016,A laugh out loud kind of film,I absolutely loved this family friendly cartoon because it made me laugh out loud The animation in this movie is exquisite It is so detailed that you can clearly see all the feathers on the birds and tiny waves of the ocean When they show scenes of the town you can see the patch work on the houses and the real looking scenery Each character is unique because the creative animation matches their personalities This movie is about Red Jason Sudeikis a red bird who never fit in and has anger issues One day he has to go to an anger management class and meets the birds Bomb Matilda Chuck and Terence and they all become friends Then pigs come to the island on an unexpected visit They have parties with the birds and they give the birds weird gifts like trampolines and motorcycles and generally cause havoc in the town A horrible turn of events happens and Red and all of the other birds need to save the day My favorite scene is when Red attends anger management class Matilda the instructor talks with all the birds about their issues They participate in many funny exercises such as poetry writing and yoga This is a funny scene Red has the wrong attitude and is definitely negative and Matilda the instructor demonstrates some anger issues too My favorite character is Terence Sean Penn a giant red and black bird who doesn t really talk as much as he grunts His facial expressions are particularly funny Terence gets a lot of laughs from the audience and appears to be a crowd favorite The Angry Birds Movie is definitely a comedy Almost every scene even the sad ones have funny lines There is some humor that would make sense to older kids and adults but not little kids There are some parts that some adults might not feel comfortable with some of the content For example when the pigs slap their butts and joke about reproducing I rate this movie 5 out of 5 stars because of the humor and recommend it for ages 4 to 18 It is a fun and silly animated movie about angry birds Who doesn t love angry birds If you like the game Angry Birds or just want to have a good laugh then The Angry Birds Movie is the movie for you It opens in theaters nationwide May 20 2016 so go check it out Reviewed by Mia A KIDS FIRST Film Critic,
22 May 2016,Not a bad movie but not for your 4-5 years old,You know what I went with my kids thinking I will get bored because the movie was rated around 6 10 I actually had more fun than the kids I ve watched the movie in 2D The characters are rather mature and some dialogues will appeal more to adults than to kids It is not a childish movie The battle scene is wayyy noisy long it lasts about 20 minutes and overwhelming I noticed several young kids in the theater lost patience and quit standing seat and were getting agitated Other than that the birds are nice looking I had no idea what this movie will be about as I m not a big game player but the story kinda keeps up well enough and the movie is dynamic at most moments,8
