Date,Title,Review,Rating
18 August 2015,Beautifully photographed yet sometimes hard to watch,"I was quite impressed by this portrait of the legendary millionaire eccentric during his Hollywood glamor years, though not shirking the beginning of the darker psychological disintegration that would forever engulf him.. Scorsese directed a dramatic, evocative, beautifully photographed portrait of an eccentric genius, slowly succumbing to his mental demons. As far as his obsessive compulsiveness is concerned, though, I must plead guilt to identifying with him in one scene in the film - that in which he refuses to touch a public washroom door knob. I've been in that position myself any of a number of times.

The opening scene, showing Hughes with his mother, is short but vital in insinuating that Hughes developed his OCD from his mother - either by listening to and remembering her fanatical anti-germ ravings about how he was never safe, or through strict genetics. It was probably a combination of both. Since his mother died young, she did not live to have the disease take over her life as it did with Howard.

The first part of the film is the lightest and the most fun, with Hughes spending three years making ""Hell's Angels"". He's desperate to succeed here because the last thing he wants is to wind up back in Texas making drill bits, the source of the family fortune. This is where anachronism number one appears - Hughes shows his right hand man, Noah Dietrich, the famous part of ""The Jazz Singer"" where Al Jolson is ad libbing one of the few talking segments of that film, claiming that sound is what audiences want and using that as an excuse to redo Hell's Angels AGAIN, this time with sound. The Jazz Singer would have been considered a museum piece by the time Hughes finished the silent version of Hell's Angels in 1929.

I thought that Leonardo Di Caprio and Cate Blanchett were both quite splendid in their roles, even thinking that Leo started looking a bit like the real Hughes as the film progressed. Blanchett may not have looked like Kate Hepburn but she certainly captured the actress's manner and vocal mannerisms to an impressive degree, without ever seeming like a caricature. When the new-money unpolitical Hughes meets Hepburn's family, all old-money Democrats living a commune style existence with even Hepburn's ex-husband living on the family compound, Hughes is confounded by their lifestyle. Frances Conroy of ""Six Feet Under"" does a great job here in a cameo appearance as Hepburn's mother. This section of the film ends with Hepburn leaving Hughes for Spencer Tracy, and is way off base from actual events. Hepburn had been apart from Hughes for several years when she and Tracy actually met.

Since the film told its story in a, more or less, chronological order of events, the film really does seem to be full of anachronisms, as I mentioned earlier. For example, we see Hughes and Hepburn in a nightclub with Errol Flynn at their table, the millionaire talking about shooting a western, The Outlaw, a film that would begin production in 1941. Yet the next scene had Hughes in what was dated across the screen as 1935, clearly long before any thoughts of The Outlaw or any hell raising with Flynn, the latter not becoming a star until the very end of that year.

The highlight of the film for me was the spectacular plane crash during a test flight by Hughes, with the plane wheels scratching along a roof top and one of its wings slicing through the wall of a home. This was viewed from the inside of the home. Great special effects, direction, photography and editing of this knockout sequence. I highly recommend this portrait of a man wrestling with madness who also wanted to be a creator of films and pioneer of aviation, whether he made money or not. If Hughes had just wanted money he would have just stuck with the drill bit business.",8
26 November 2020,The Aviator,"A wildly entertaining look at a larger than life character. The Aviator is another success from Scorsese. Although it doesn't follow the usual gangster theme, it still feels like a Scorsese film and manages to have nearly as great of an impact as some of his others.

Going into this film, I had no idea what it was about. Based on the title and some posters that I had seen, I assumed that it would probably have something to do with aeroplanes (as it turns out, I wasn't wrong). But apart from that, I had no idea what the story would be. I was quite positively surprised, once I realized that it was a biopic, about Howard Hughes. Hughes is the type of character whose name I had heard, but that's where my knowledge ended. As such, I can't say how accurate this film's portrayal of him is. But what I can say is that it didn't feel like he was portrayed only in a good light. Indeed, the film portrays him as a very complex character driven by his obsessions and fears. Doing both good and bad.

The life that Hughes lived, at least as far as it's portrayed in the movie, was full of emotion, pleasure and difficulty. The movie captures all these feelings well. Watching someone live life to the fullest doing whatever he wants to do is, in many ways, very freeing. This is one of the reasons why this movie is so entertaining at times. But the pleasure and the enjoyment weren't without difficulty. Some of the most harrowing and difficult scenes are the most intimate ones. The scenes, where we get to understand that Hughes was in pain, and struggled internally.

Something that I must have always know, but somehow never realized, is the reason why Scorsese's films feel so different. It's because there is no clear beginning or ending or highpoint. These films, be it Irishman or this one, are always snippets of time and life. They follow a character from one point in time to another, never giving context on either side. That's why these films always feel so epic in proportion. In a way, they never end or begin. We, as the viewers, are left to wonder what happened before and what will happen after. Of course, if the film is about someone who actually lived, like The Aviator, we can always open up Wikipedia and read those things. But I like to live it open. I like to create the full story in my head while watching the movie and after it has ended.

It's not exactly a typical Scorsese film, but it feels very much like one. Like his other films, The Aviator is just as much of a spectacle. It's entertaining enough to keep it from ever feeling boring, even though it runs for close to three hours. But, like other Scorsese films, it's also afflictive enough to leave you with more than just entertainment.",8
11 March 2013,A very different and sad look at the life of Howard Hughes.,"Years ago, Tommy Lee Jones made himself famous for playing Howard Hughes in a made for TV movie called ""The Amazing Howard Hughes"". The film clocked in at over three and a half hours and was a wonderful look at the man. Now, about 25 years later, Martin Scorsese has created a new biography of the man--though the film is under three hours long--so naturally things had to be omitted. Considering how complex Hughes was, they easily could have made a mini-series out of his life--but the film STILL is very good and worth seeing despite its brevity (and 170 minutes IS brief given the subject matter). It differs from the Jones film because instead of trying to encompass all of Hughes life, it focuses much more specifically on the psychological decline of the man and really builds a wonderful sense of profound sadness in seeing this decline.

While Leonardo DiCaprio didn't look or sound as much like Hughes as Tommy Lee Jones did, he was quite good in this breakout role--and was nominated for Best Actor. However, the one who managed to earn an Academy Award was Cate Blanchette--who was just wonderful as Katharine Hepburn. Her voice and mannerisms were dead on--and she played the role, at times, in a hilarious fashion. Apart from these two, the other stars of the film are the cinematographers, set designers, director and CGI techs (who managed to create an AMAZING plane crash sequence that blew my mind). Overall, a film that is best seen not as a replacement for the earlier film but an enhancement--and I think seeing BOTH would be a great idea. Well made and well worth seeing.

By the way, isn't it kind of ironic that Alec Baldwin plays the part of a HUGE airline exec--considering Baldwin's recent relationship with some airlines!",9
21 December 2004,Falling Short of Greatness...Again,"Scorsese has such an encyclopedic knowledge and understanding of cinema that every shot, however inventive and daring, is effortlessly composed. The direction, editing and cinematography are all the first-rate work by individuals who are clearly masters of their profession and the production design, costumes and makeup are the best you'll see all year. Their efforts combine to create a world of rich and lavish color, of excitement and glamour. Who wouldn't want to visit THIS Cotton Club in 1935? It's hard to imagine who could trump the technical team for Oscars this year.

With such a perfectly realized world in which to perform, the actors universally do an outstanding job. Despite the criticism of the hardcore DiCaprio-haters, the unprejudiced will observe an excellent performance that takes genuine risks and convincingly conveys the passing of more than twenty years. Importantly, DiCaprio more than holds his own when paired with Cate Blanchett and especially Alan Alda, who both give equally note worthy performances. Blanchett's interpretation of Katherine Hepburn seems spot on, and anyone familiar with the late actresses mannerisms will appreciate the hard work that clearly went into the recreation. Alda, one of the most consistently underrated actors around, delivers another masterclass in restrained character building as he oozes ambition and political dishonesty from every pore.

And yet, despite the obvious talent of all those involved and Scorsese's ability to effortlessly fill three hours, something about The Aviator fails to completely satisfy. Without wanting to sound like a film student, movies should, ultimately, be ABOUT something; love, honor, courage, redemption, the BIG ideas and themes that are the fuel of the plot. What was the drive of The Aviator? A rich guy recklessly spends lots of money to indulge his personal obsessions and gets away with it. We're never told how his experiences change him, and without change there's no journey. Considering the screenplay was written by John Logan, who usually displays a keen interest in showing the emotional evolution of his characters, the oversight is inexplicable. Ultimately then, much like Gangs of New York, The Aviator is simply the sum of it's parts, and however brilliantly those parts are realized, there doesn't seem to be a bigger theme to underpin and drive them.

The Aviator is a perfectly realized recreation of the era and one well worth experiencing. But the lack of a real emotional journey suggests 'all gloss and no substance', and ultimately prevents the movie from being truly great.",8
18 July 2012,Hobbies,"Switching from gangsters to one of the most colorful tycoons of industry Martin Scorsese took the first step in making The Aviator a success when he cast Leonardo DiCaprio as Howard Hughes. As he did as J. Edgar Hoover, DiCaprio has the spirit of the man invade his body as he portrays the Texas based industrialist, aviator, and movie producer. He had all those careers at the same time and dealt with a lot demons besides.

The Hughes fortune comes from Howard Hughes, Sr. who patented a drill bit that is the foundation of all oil drilling on planet Earth. If you don't use that drill bit, you can dig for oil with a pick and shovel for however long it takes. It is one of the most profitable patents in the world and it was the foundation of the Hughes wealth.

Which allowed Howard Hughes to indulge himself in two passions which were to all intents and purposes, hobbies. Aviation and movie producing were what drove him. And when we meet him he's shooting and reshooting and reshooting Hell's Angels. A lot of his own money went into the film which eventually was a success and gave Hughes the first of many perks as a Hollywood tycoon, Jean Harlow as played here by Gwen Stefani.

Faith Domergue, Ava Gardner, and most importantly Katharine Hepburn and there were many others follow in the Hughes story. Cate Blanchett won a Best Supporting Actress Oscar for becoming Katharine Hepburn. With some of the liberties taken I don't think it's an accident that The Aviator came out a year after Hepburn died at 96. The movie also missed Jean Peters whom Hughes actually married and Terry Moore who is still alive and who claims she did marry him. Jane Russell and The Outlaw and the famous brassiere personally designed by Hughes also get a passing mention.

As for aviation which was his real love, Hughes had a decades rivalry with Alec Baldwin as Juan Trippe of Pan American Airlines. Trippe had more friends in Congress, particularly a rightwing Republican Senator named Ralph Owen Brewster played by Alan Alda. Alda got an Oscar nomination himself playing the smarmy Brewster who threatens to destroy Hughes by Congressional investigation. Hughes who was hardly a liberal in his politics totally turned the tables on the Brewster committee and the Senator himself. Not shown in the film but in 1952 Hughes made it his business to defeat Brewster going for a third term and did.

Besides Blanchett's Oscar The Aviator won several others and was nominated for several more including Best Picture and Best Actor for Leonardo DiCaprio.

In my memory Howard Hughes was the eccentric billionaire who stayed in seclusion and ran his enterprises through a network of underlings. DiCaprio does a wonderful job in showing how Hughes became what he was, his mania against germs instilled by his mother. To have all that money and be living in the largest plastic bubble one could create. Hughes made himself a prisoner in his own mind before he became a prisoner of the jail he personally designed.

The Aviator is a marvelous insight into one of the most eccentric and colorful people of the last century.",9
13 February 2005,Open the Door...,"Martin Scorsese's ""The Aviator"" is grand spectacle with a reverence for the nostalgic, set in simpler times. As a snapshot of Howard Hughes's life from 1927 to 1947, ""The Aviator"" is a portrait of a man of genius and unmatched innovation, and also a man debilitated by severe obsessive compulsive disorder and extreme depression. ""The Aviator"" has an amazing performance by Leonardo DiCaprio as Howard Hughes, and a mesmerizing performance by Cate Blanchett, who seems to inhabit the role of Katherine Hepburn-- the love of Hughes's life. However, the one indelible image I have of the film is the scene in which Hughes is frozen in the men's restroom, because he can't make himself touch the door knob for fear of germs and contamination. Granted this was a time before obsessive compulsive disorder existed as a diagnosis. The scene is intended as a dramatic arc, distinguishing a tragic flaw in Hughes. However, for me it seemed overly indulgent, and was curious regarding the scene length. Much like most of the nearly 3 hour movie, this is an exercise in indulgence, and attention to detail that is only that. Scorsese's balance between Hughes's genius and his great suffering is good melodrama, but not very inspiring. I have a particular affinity for Howard Hughes the man. Had John Lone's (and Michael Mann's) story followed Hughes through the 1950's and beyond, the story would be even sadder. ""The Aviator"" illustrates the highs of genius, and the abyss of near insanity. This is an accurate depiction of an amazing man's life, but it is skewed toward the broken aspect. So just personally for me, it was frustrating to watch. To Scorsese's credit, one gets that he has immense compassion for Howard Hughes.

Hughes' life sentence is established in the opening scene. Hughes's mother while bathing the young Hughes, tells him something that perhaps leads to his obsessive compulsive nature. Apparently he is incomplete in his relationship with his mother, and the story surrounding what she said.

Fast forward to 1927, when Hughes left his father's wealthy drill bit tool company in Texas, to be a maverick film maker in California. Hughes is an ambitious and novice film director, but he is smart and has unmatched drive. However, his real genius is as a pilot and an innovative designer of airplanes. His gifts for fame and fortune are established. Hughes (DiCaprio) then pursues a touching romance with Katherine Hepburn (Blanchett). This is the highlight of ""The Aviator"", even amidst the spectacular aerial cinematography, because it is just about relationships that move people. There is a wonderful moment when Hughes lets Hepburn take control of his plane as they fly above Los Angeles at night. As great as the chemistry is between Dicaprio and Blanchett, this romance part of the story goes on a little too long in the context of the movie.

From this point on, the movie becomes increasingly darker. Sure, Hughes has his share of triumphs, but everything is tempered by his spiraling decline into depression and his debilitating obsessive compulsive disorder. The acting is outstanding throughout the picture. This is Leonardo DiCaprio's most mature performance. He truly captures Hughes's intensity, genius, and charm. His suffering also elicits great compassion. Cate Blanchett is outstanding as Kate Hepburn. At first one wonders whether she is doing a caricature of Hepburn. She is not. She is being Hepburn. Blanchett's performance is simply stunning. An unrecognizable Kate Beckinsale is awesome as Ava Gardner. Beckinsale gives surprising layers to Gardner, who is really not all that she appears to be on the surface. John C. Reilly is fabulous as Hughes's CFO. In an understated fashion Reilly's performance anchors the movie. Alec Baldwin as Pan Am CEO, Juan Trippe, and Matt Ross as Hughes's engineer Glenn Odekirk give strong performances.

Scorsese's ""The Aviator"" is spectacular to view, and has a sense of history and tragedy. He offers an interesting portrait of the dichotomy between genius and madness, with an emphasis on the dark. This choice really lost me. ""The Aviator"" is amazing work, that is not very inspiring, though it was probably not intended to do so. That is a bit of a disappointment.",8
14 December 2005,Obsessively Watchable.,"I was quite impressed by this portrait of the legendary millionaire eccentric during his Hollywood glamor years, though not shirking the beginning of the darker psychological disintegration that would forever engulf him.. Scorsese directed a dramatic, evocative, beautifully photographed portrait of an eccentric genius, slowly succumbing to his mental demons. As far as his obsessive compulsiveness is concerned, though, I must plead guilt to identifying with him in one scene in the film - that in which he refuses to touch a public washroom door knob. I've been in that position myself any of a number of times.

The opening scene, showing Hughes with his mother, is short but vital in insinuating that Hughes developed his OCD from his mother - either by listening to and remembering her fanatical anti-germ ravings about how he was never safe, or through strict genetics. It was probably a combination of both. Since his mother died young, she did not live to have the disease take over her life as it did with Howard.

The first part of the film is the lightest and the most fun, with Hughes spending three years making ""Hell's Angels"". He's desperate to succeed here because the last thing he wants is to wind up back in Texas making drill bits, the source of the family fortune. This is where anachronism number one appears - Hughes shows his right hand man, Noah Dietrich, the famous part of ""The Jazz Singer"" where Al Jolson is ad libbing one of the few talking segments of that film, claiming that sound is what audiences want and using that as an excuse to redo Hell's Angels AGAIN, this time with sound. The Jazz Singer would have been considered a museum piece by the time Hughes finished the silent version of Hell's Angels in 1929.

I thought that Leonardo Di Caprio and Cate Blanchett were both quite splendid in their roles, even thinking that Leo started looking a bit like the real Hughes as the film progressed. Blanchett may not have looked like Kate Hepburn but she certainly captured the actress's manner and vocal mannerisms to an impressive degree, without ever seeming like a caricature. When the new-money unpolitical Hughes meets Hepburn's family, all old-money Democrats living a commune style existence with even Hepburn's ex-husband living on the family compound, Hughes is confounded by their lifestyle. Frances Conroy of ""Six Feet Under"" does a great job here in a cameo appearance as Hepburn's mother. This section of the film ends with Hepburn leaving Hughes for Spencer Tracy, and is way off base from actual events. Hepburn had been apart from Hughes for several years when she and Tracy actually met.

Since the film told its story in a, more or less, chronological order of events, the film really does seem to be full of anachronisms, as I mentioned earlier. For example, we see Hughes and Hepburn in a nightclub with Errol Flynn at their table, the millionaire talking about shooting a western, The Outlaw, a film that would begin production in 1941. Yet the next scene had Hughes in what was dated across the screen as 1935, clearly long before any thoughts of The Outlaw or any hell raising with Flynn, the latter not becoming a star until the very end of that year.

The highlight of the film for me was the spectacular plane crash during a test flight by Hughes, with the plane wheels scratching along a roof top and one of its wings slicing through the wall of a home. This was viewed from the inside of the home. Great special effects, direction, photography and editing of this knockout sequence. I highly recommend this portrait of a man wrestling with madness who also wanted to be a creator of films and pioneer of aviation, whether he made money or not. If Hughes had just wanted money he would have just stuck with the drill bit business.",9
22 January 2005,An Interesting Muddle,"""The Aviator""--a biopic of Howard Hughes-- is clearly one of Scorsese's lesser works. Still, a lesser work from Scorsese is far superior to the greatest work of your average director. Here's the rundown:

The first quarter of the film is a total triumph, showing the young Hughes' bold endeavors in film when he produced what was at the time the most expensive and lavish film ever made. Scorsese tipping his hat to old Hollywood is the most fun he has had since ""Goodfellas."" The costumes, set designs, and pacing of this portion of the film are stunning and suck the viewer in.

The rest of the film, despite Scorsese's amazing and vivid attention to detail, is a muddled mess, giving us glimpses into Hughes' obsessive (and compulsive) ways, his womanizing, his ambitious foray into aviation and the early days of commercial flight, his fight against Congress at the end of WWII, and the notorious plight and ultimately single flight of his infamous ""Spruce Goose."" It's all semi-educational and semi-entertaining, but in the end I think the complicated life of Hughes remains a mystery.

As for the performances, they are amazing (thanks in most part to Scorsese, the ultimate actor's director). Leonardo Dicaprio in the title role gives yet another performance that goes against my natural loathing of him, and although he seems a bit too boyish playing Hughes in the latter years (and the film really suffers for it), he's impeccable for the better part of the film. Cate Blanchett as Katherine Hepburn is simply stunning and steals every moment she is on screen. Her look, her mannerisms, and her speech perfectly match the screen legend to a haunting degree. Alan Alda and Alec Baldwin in supporting quasi-villain roles are methodically perfect. And the nicest surprise was Kate Beckinsale, a normally flaccid actress, playing Ava Gardner. She came across as gorgeous, intelligent, and maximized her minimal screen time without ever overtly stealing her scenes. Like Sharon Stone in ""Casino"" and Cameron Diaz in ""Gangs of New York"" Scorsese once again coaxes a great performance out of an otherwise unremarkable pretty face.

In the end, ""The Aviator"" flies high thanks to Scorsese and the acting, even if the real person it depicts remains lost in a muddle of half truths and speculation.",8
19 January 2005,Leo's Masterpiece,"There is no doubt that THE AVIATOR is the masterpiece of both director Martin Scorsese and actor, Leonardo DiCaprio. DiCaprio becomes Howard Hughes. The actor is so profoundly absorbed in the role that the DiCaprio we know from other films cannot be found in this film. It is a bravura performance of great depth and magnitude. DiCaprio richly deserves his first Academy Award.

I have never know much about Howard Hughes. This film opened my eyes to him as a personality, a businessman, aviator and his lavish lifestyle. DiCaprio no longer is the ""pretty boy"" from other films. The expressions he takes on are not handsome, the deeply furrowed brow, one could actually watch him, as Hughes' character, think his way through challenging situations, the mark of a highly gifted actor. Watching DiCaprio evolve into the paranoid schizophrenic Hughes in the latter part of the film is a stunning example of pure acting. Leo deserves recognition for recreating a most difficult personality.

Though the film is long, it never slows down nor gets boring and it commanded my attention from start to finish. It is masterpiece cinema for these two men and for other actors too. Cate Blanchette must be commended for her role as Katherine Hepburn. Every role was played by first rate actors.

If you want to understand a piece of American history from the 30s through the 1940s, this film will illumine you. It may not be the greatest film ever made but it sure is cinema to the max and worth seeing, without a second thought.",10
14 January 2005,A Striking and Ambitious Saga,"I was quite impressed by this portrait of the legendary millionaire eccentric during his Hollywood glamor years, though not shirking the beginning of the darker psychological disintegration that would forever engulf him.. Scorsese directed a dramatic, evocative, beautifully photographed portrait of an eccentric genius, slowly succumbing to his mental demons. As far as his obsessive compulsiveness is concerned, though, I must plead guilt to identifying with him in one scene in the film - that in which he refuses to touch a public washroom door knob. I've been in that position myself any of a number of times.

The opening scene, showing Hughes with his mother, is short but vital in insinuating that Hughes developed his OCD from his mother - either by listening to and remembering her fanatical anti-germ ravings about how he was never safe, or through strict genetics. It was probably a combination of both. Since his mother died young, she did not live to have the disease take over her life as it did with Howard.

The first part of the film is the lightest and the most fun, with Hughes spending three years making ""Hell's Angels"". He's desperate to succeed here because the last thing he wants is to wind up back in Texas making drill bits, the source of the family fortune. This is where anachronism number one appears - Hughes shows his right hand man, Noah Dietrich, the famous part of ""The Jazz Singer"" where Al Jolson is ad libbing one of the few talking segments of that film, claiming that sound is what audiences want and using that as an excuse to redo Hell's Angels AGAIN, this time with sound. The Jazz Singer would have been considered a museum piece by the time Hughes finished the silent version of Hell's Angels in 1929.

I thought that Leonardo Di Caprio and Cate Blanchett were both quite splendid in their roles, even thinking that Leo started looking a bit like the real Hughes as the film progressed. Blanchett may not have looked like Kate Hepburn but she certainly captured the actress's manner and vocal mannerisms to an impressive degree, without ever seeming like a caricature. When the new-money unpolitical Hughes meets Hepburn's family, all old-money Democrats living a commune style existence with even Hepburn's ex-husband living on the family compound, Hughes is confounded by their lifestyle. Frances Conroy of ""Six Feet Under"" does a great job here in a cameo appearance as Hepburn's mother. This section of the film ends with Hepburn leaving Hughes for Spencer Tracy, and is way off base from actual events. Hepburn had been apart from Hughes for several years when she and Tracy actually met.

Since the film told its story in a, more or less, chronological order of events, the film really does seem to be full of anachronisms, as I mentioned earlier. For example, we see Hughes and Hepburn in a nightclub with Errol Flynn at their table, the millionaire talking about shooting a western, The Outlaw, a film that would begin production in 1941. Yet the next scene had Hughes in what was dated across the screen as 1935, clearly long before any thoughts of The Outlaw or any hell raising with Flynn, the latter not becoming a star until the very end of that year.

The highlight of the film for me was the spectacular plane crash during a test flight by Hughes, with the plane wheels scratching along a roof top and one of its wings slicing through the wall of a home. This was viewed from the inside of the home. Great special effects, direction, photography and editing of this knockout sequence. I highly recommend this portrait of a man wrestling with madness who also wanted to be a creator of films and pioneer of aviation, whether he made money or not. If Hughes had just wanted money he would have just stuck with the drill bit business.",7
