Date,Title,Review,Rating
5 April 2022,"Sadly, they don't make movies like this anymore.","All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.
96 out of 106 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
20 July 2016,Twisty-turny thriller makes for compelling viewing,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",9
5 December 2005,Worth Watching - But Only Once,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",7
7 March 2004,Glad he's not my Brother,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",8
6 November 2018,I was surprised how much I enjoyed this one.,"Sean Penn is not the most popular celebrity and has created a few enemies over the years. However, this does not make his performance nor the film ""The Game"" something to avoid...and considering I am no fan of him as a person, the fact I loved the movie so much says a lot. THE GAME is exceptional...and you'd be doing yourself a favor by watching it. THE GAME is one heck of a great film, as I give it a well-deserved score of 9 because it's so well written and entertaining. It is one of the most exciting and riveting films of recent memory. You've got to see this film! I'll say no more because I don't want to spoil it.
61 out of 76 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
12 December 2008,A Classic Thriller,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",10
20 May 2007,"Tight, twisted and tense - one of the most interesting thrillers of the '90s","Having conquered the critics (and the box-office) with Se7en, David Fincher could have ""sold out"" and kept delivering more of the same. Fortunately, he was wise enough to try different paths, and although all his movies can be classified as thrillers there's no real similarity between them, except maybe a common theme of alienation and solitude.

In Fincher's third film, The Game, that solitude is physically incarnated by Nicholas Van Orton (Michael Douglas), a wealthy businessman who is so obsessed with his job he has forgotten everything about the simple joys of life. The only person who still stays in touch with him is his younger brother Conrad (Sean Penn), who is Nicholas' polar opposite in terms of attitude. One night, when they're out to celebrate the elder brother's birthday, Conrad mentions a ""game"" that changed his life and suggests Nicholas participate too, as it would be ""fun"". Though initially hesitant, the latter eventually gives in to curiosity and decides to give it a shot. Within a few hours, however, he will regret it: the ""game"" is actually some sort of conspiracy involving everyone in town. With his assets frozen, his apartment no longer a safe place and no one left to trust, Nicholas must figure out how to solve the problem before it's too late - for him or someone else...

As usual, Fincher makes sure the film works on a technical level, cleverly using camera angles, lighting (shades of red and brown being the dominant color) and editing to keep the suspense alive and the atmosphere conveniently murky. It is mainly this masterful handling of film-making tools that keeps the viewer from questioning the logic of the nonetheless brilliant screenplay, some of the twists giving the impression of a dystopic set-up rather than a plausible situation (and yet the script is supposedly based on a real event). Two other elements contribute to elevating The Game above the average mystery tale: a truly unpredictable, phenomenal ending, in pure Fincher tradition (well, at least until he made Panic Room), and the great work by the leading men, Douglas' paranoid desperation slyly erasing all hints of typecasting (after all, this is not the first time he has played someone who is being manipulated; in fact, one scene explicitly spoofs one of those previous movies) and Penn's smug anarchy anticipating director's masterpiece, Fight Club, and its central character, Tyler Durden (without a doubt Brad Pitt's best role to date).

In short, those looking for a ""different"" cinematic experience should give The Game a try: it might come off as overly cold or contrived at first, but like all of Fincher's movies it deserves a re-evaluation (Fight Club wasn't exactly a hit when originally released) and stands the test of time as one of the most original, smartest films of the '90s.",9
25 April 2000,Michael Douglas at his very best,"""The Game"" took me on one psychological thrill ride after another loaded with twists and turns scene after scene.

Michael Douglas pulled off his best performance as Nicholas Van Orton a man who is approaching his birthday. Upon which he receives an invitation to play a game given to him by his brother Conrad played by Sean Penn. Nicholas reluctantly agrees and soon finds out that the game is more than he bargained for.

I thoroughly enjoyed this film because I never knew who was trustworthy or what was going to happen next, this truly was one film that must be seen by those who enjoy never knowing for sure how a movie will turn out.

""The Game"" is all Michael Douglas and how well he pulls off his role of being the innocent who happens to be in the middle of a game he can't control. However, a really good movie can not be pulled off by one actor, a whole lot of credit should go to Sean Penn and Deborah Kara Unger for their convincing portrayals in this film.",
2 November 2003,Who Dealt This Mess?,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",6
19 December 2020,A brilliantly executed mind-trick,"I have always loved the Game. It sits right between The Truman Show and The Matrix as these 90's weird deconstructions of reality and sci-fi with a hint of social commentary on media. It was really the decade where TV and movies discovered the awesome power these new images had, and trying to reconcile their own moral hazard (spoiler alert: they did not). In The Game, Michael Douglas' character has basically a feature film inserted in his life. With a rewatch there are some little details that stand out and you realize easily none of this would work for real. But it works for the audience and as such it works as a movie.

I love this movie because it is a great mind-bending trick. The movie keeps the tension up throughout by jumping around whether the Game is real or not. Even in the third act, where there is maybe one switcheroo too many; you get that escalating tension that keeps you engaged.

Structurally the movie may not be the most elegant. This tension escalates not really by anyone's actions but by design. But it is competent enough to let the talent shine. Michael Douglas gives an excellent performance and it's just a joy to watch. He basically plays Gordon Gekko again, with the self-important attitude but also the effortless charm. There is something to 90s Douglas that is frankly mesmerizing, because he offer such a large palette of characters. He can play the everyman gumshoe or the stonyhearted investment banker. And in the Game you can see that kind of transformation on-screen. You can see the veneer of civilization peel off and you're left with the unkempt hair Douglas: the most dangerous variant.

Returning to the escalation of tension, it works that way also because the plot destroys Nicholas Van Orton's life in an escalating fashion. First he loses on his business deal, then his money/fortune, then his brother. Which culminates at the end of the movie: he is a broken man, which leads him to suicide. On the surface, the movie is very ""nineties ennui"" where it throws a business exec in suit and a briefcase in an action movie. The movie's internal logic is built around the fact that his life is very lame and predictable and he gets propelled into these action-movie set piece tropes. But underneath there is a more subtle message critical of the greed and the excess of the 80s. It is a repudiation of Gordon Gekko. It metaphorically kills Gordon Gekko, it throws him off the roof. And I believe the film's morals want to state that life's meaning lies elsewhere than monetary accumulation and wealth.

That is not to say that the movie is leading the masses to the barricades. It is first and foremost an action film, and as such a corporate product, yet it enjoys having a faceless corporation as ""the villain"". But it is similar to Fight Club in that regard; it enjoys the subversive sub-text, without giving it too much credence. Nonetheless, it focuses way more on the mechanics of the plot: who is going where and why, rather than on the thematic elements. And for the most part it holds up as an action movie. And even if makes (forgettable) mistakes, you'll still want to rewatch it to see how well The Game was set-up, and what worked and what did not.",8
17 June 2018,"""This is your game Nicholas, and welcome to it.""","All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",7
18 April 2002,"....and when it was all over, I was blown away","Very few films have captured my attention the way The Game did. Every turn, every corner seemed to have some hint of intrigue and deception. This film would be the life's work for any major film maker, but then again, this David Fincher were talking about.

Years from now, when Fincher is honored with his lifetime achievement award at the Academy Awards, his true fans will always remember this film. It put a whole new twist on the idea of ""plot-twist."" One of the few films me and my father both liked (we never agree on any film).
233 out of 323 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
30 December 2018,A classic thriller that is aging well,"I remember liking it a lot when it came out and upon recent viewing, it holds up very well. An excellent classic thriller that will keep you on the edge of your seat.
26 out of 31 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
8 August 2020,Wild Game...,"Like 'A Christmas Carol' with the ghosts replaced by 'Interesting Events', enough to make the most self absorbed think again. Wholly unrealistic in its portrayal but intensely engaging with some boomerangs to navigate and some thoughtful reflections to ponder.
37 out of 48 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
10 August 2005,Play to the End of Your Life,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",9
27 April 2021,Ages well over time,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",7
8 December 2011,"Twists upon twists, amazing filming, stunning acting, and a preposterous end","The Game (1997)

The steely intensity of Michael Douglas comes to play once again here in a role where that determination keeps getting waylaid by the mixed-up birthday present he's been handed, somewhat against his will.

Or against his better judgement, at first, because he does sign off on playing ""The Game,"" which is an experience with a bow. That is, without any good clues about who the players are or why it's quite happening, except that his birthday has come and gone, events begin to happen around him that are inexplicable. And that he can't ignore.

Intensity rules. Douglas, playing the obscenely wealthy Nicholas Van Orton, gets led further and further into the madness and crime and murder of this huge huge charade. Or so it seems.

In a manner the director, David Fincher, is cozy with, reality bends but psychology seems to be solid. That is, you are secure, somehow, in the main actor's head as the world distorts. The main example is of course ""The Fight Club,"" the distortions are almost literal in the more ordinary ""Panic Room,"" and the world is somewhat friendlier in ""The Curious Case of Benjamin Button."" Yes, these are all Fincher films (as is the brand new American version ""Dragon Tattoo"" flick and the riveting ""Se7en"").

The production and the shooting and editing in particular are all first rate, classic Fincher. Douglas plays his part with conviction and you end up not quite sympathizing with him (he's a spoiled jerk even as his world evaporates) but you certainly are in his shoes, wondering what is going on. It's crazy and exciting and certainly baffling for a viewer--which is part of the game, actually. The viewer is another layer in the layers of perceivable reality.

And then it just goes too far. In a way, the film is preposterous from the start, but yet you go along with the idea because very rich people have very unusual lives, and maybe this kind of mind-trip birthday present with lots of people participating could happen. Money moves mountains. But when things get almost comically absurd, when the twists of identity and loyalty keep happening, you want to just say, walk away. Get a grip. Refuse to play, or maybe (at least) refuse to believe things like this are possible.

This is where Michael Douglas is perfect, and maybe does what few actors could pull off. Because as it gets insane, his character toughs it out. He's the type to take a challenge, to get extreme, to be risky, to protect his self-interests without surrender.

In some ways it's a great movie, so watch it as if it'll never let you go. And when it's just too much, be glad you went along for as long as you did. And enjoy the rest of the show for its theatrics. It remains really well made all through.",7
2 August 1998,As gripping as it gets.,"Whether you love it or hate it, The Game definitely will not bore you. By far the most engrossing movie I've ever watched. I saw this on the big screen and throughout most of this masterpiece I kept asking myself, ""where is this movie going?"" For 128 spirited minutes The Game takes your mind and twists it ruthlessly, contorting it in any way it so desires. Michael Douglas is the perfect actor for this role, he played it flawlessly. I love this movie, it's definitely one of my personal favorites.
290 out of 374 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
19 March 2012,Terrific Thriller!,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",7
5 February 1999,Impressive movie,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",7
12 January 2011,Fascinating,"Essentially, The Game is an interesting and fascinating film. While it is overlong, and lacking in credibility at the end, plus it is not Fincher's best film(Se7en) it does have a lot to like about it. As is the case with David Fincher, the film is visually stunning, with intriguing shots and camera angles and bold, stylish colours. Fincher's direction is ambitious and also very good, while the film's pace is brisk, the script is well crafted and the story is a great idea and is very gripping up until the ending. The acting is very good, Michael Douglas is perfectly cast as the increasingly desperate pawn and Sean Penn is equally impressive in a role that I actually think could have been bigger. All in all, it is a very good film, yes with its foibles but it is an intriguing idea constructed in an entertaining way. 8/10 Bethany Cox
15 out of 20 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
28 January 2016,What a rip-off,"All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",4
