Date,Title,Review,Rating
1 November 2019,Just wow,"When this came out, I was living with a roommate. He went out and saw it, came home and said, ""Dude, you have to go see The Matrix."" So we left and he sat through it a second time. This movie is splendidly done. The mystery about what the Matrix is, unravels and you see a dystopian future unlike any we as a race would want. I have watched this over and over and never tire of it. Everyone does a great job acting in this, the special effects are above par and the story is engaging.
170 out of 181 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
5 August 2020,Ah yes. My first existential crisis.,"When this came out, I was living with a roommate. He went out and saw it, came home and said, ""Dude, you have to go see The Matrix."" So we left and he sat through it a second time. This movie is splendidly done. The mystery about what the Matrix is, unravels and you see a dystopian future unlike any we as a race would want. I have watched this over and over and never tire of it. Everyone does a great job acting in this, the special effects are above par and the story is engaging.",10
1 October 2020,Benchmark forever.,"The Matrix - 1999

This was a real change in filmmaking. Like watching it again in 2020, i.e. after 21 years and it still feels fresh. Iconic scenes are still having benchmarks setting up.

If we say it sci-fi at its best, it won't be wrong. The hype was real, it is still not easy to match the level of Matrix where we experience the connection of humans and science, that too with amazing action fight and chase scenes, not just normal scenes they were, multiple exposures, slow motion 3D moves, Oh My God, and it's understandable as well like what are the characters up to and what storyline they are entering into. The script was very well written and executed otherwise it could have been a mess. A special appreciation in managing the theme with those black color costumes and a scientific zone with unimaginable equipment and props doing unbelievable things in the two worlds created. No spoilers, but the action scenes in the climax where the protagonist goes to save someone from agents are really breathtaking. The technology used at its best.

A salute to Wachowski Brothers and the team for creating this masterpiece. It will be a great competition and motivation as well for many films coming in the future.",10
4 January 2021,The timeless classic.,"This film doesn't age, it will be contemporary even in 2030 or 2040. Wachowski's best one, by far.
127 out of 139 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
26 July 2014,A watershed moment in film-making – and what a kick-ass masterpiece,"When this came out, I was living with a roommate. He went out and saw it, came home and said, ""Dude, you have to go see The Matrix."" So we left and he sat through it a second time. This movie is splendidly done. The mystery about what the Matrix is, unravels and you see a dystopian future unlike any we as a race would want. I have watched this over and over and never tire of it. Everyone does a great job acting in this, the special effects are above par and the story is engaging.",10
23 February 2020,One of the best action sci fi action movies of all time!,"The film is as well crafted as the matrix itself! On another level entirely to any other science fiction film from the last 20 years . Getting lost in another world, is interly what Cinema is made for. This one takes you into a whole new universe interly .
114 out of 141 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
2 August 2016,"Welcome2the""REEL""World: Where the Medium IS the Message!","From PASTO, COLOMBIA-Via: L. A. CA; CALI, COLOMBIA+ORLANDO, FL -----------------------The ONLY Tony Kiss Castillo on FaceBook!----------

The Wachowski brothers certainly have a handle on the art of film making for the new millennium! 20 or 30 years in the future, a plethora of both historical and imaginary virtual world venues available at your fingertips, via your virtual reality headgear, you won't be asking yourself, once immersed in the world of your choosing, ""Wait, how did I get here and why am I here?""

MATRIX illustrates just how insightful and prophetic Marshall McLuhan's assertion ""The Medium is the Message"" has proved to be! Does Matrix glorify violence? Is it really original? Does it border on blasphemous? Most of the discussion and critique of MATRIX really seem to miss the point entirely. MATRIX is the essence and epitome of style...not substance.

Through a seamless symbiotic blending of diverse visual and auditory elements, most notably the 360º sequential surround photography of artfully choreographed and precisely executed human action scenes, the Wachowski's have achieved a true re-definition of the cinematic experience, on their own terms.

Engaging, engrossing and bombarding your senses with their signature style, ultimately transporting you to a virtual world much more convincing than any drug-induced one. MATRIX clearly speaks to us in a newly formatted cinematic language. My recommendation: Put aside any negative preconceived notions and just listen....

10********** STARS.... ENJOY! / DISFRUTELA!

Any comments, questions or observations, in English o en Español, are most welcome!",10
8 January 2017,a masterpiece,"and this is all. because each explanation sounds wrong. sure, the acting,, the plot, the fight/action scenes are great. maybe unique. but the essence, for me, remains the basic idea . a fake reality against the pure truth. and the magic as clothes of each character. because it is more than a film. it is a revolution in the way to see a film and to discover reality. you are Neo. and the mythological mix of symbols and cultural references and the simple story who seems have more and more levels are more than fascinating - it is real. sure, Matrix has a lot of reviews and around it is very easy to say hypothesis, verdicts, opinions or, maybe, critics. it is enough to say it is a masterpiece. or the perfect fascinating fairy tale.
47 out of 57 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
29 September 2019,Exhilarating 4DX profound experience!,"So much greatness about this well done crafty philosophical masterpiece! One of the greatest films ever made; a true benchmark in cinema and huge meticulously brilliant cabinet file of important metaphors. I smile so much while watching The Matrix, I'm so happy it had a 20th anniversary. I'm beyond intrigued by these types of society thought-provoking gems; there aren't enough of them!!
9 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
2 December 2005,"Immensely entertaining, intriguingly philosophical and just about one of the best films ever made!","Writing a review of The Matrix is a very hard thing for me to do because this film means a lot to me and therefore I want to do the film justice by writing a good review. To tell the truth the first time I saw the film I was enamored by the effects. I remember thinking to myself that this was one of the most visually stunning films I had ever seen in my life. Also having always been a comic book fan and a fan of films that were larger than life, the transitional element of the story was very appealing to me and this probably heightened my enjoyment of the film very much. It wasn't until some time later (and after having seen the film a few times more) that I started to think about the film. I recognized the Christian elements quite quickly but it wasn't until I wrote an actual 15-page essay on the film that I tapped into some of the philosophical and religious elements and that made me appreciate the film even more. I won't say that I have recognized all elements because the film is quite literally packed with them.

Acting wise the film works excellently. I won't say that there aren't any issues because there are but overall the acting is pretty flawless. Keanu Reeves plays the main character, Neo, or Thomas A. Anderson and while he is not the perfect actor I think he does a pretty good job in The Matrix (and the sequels). He doesn't have the longest of lines which was probably a deliberate choice from the directors and it works because this gives him a better opportunity to work on posture and facial expressions and I must say that overall his body language is very good. Very clear and well defined. Laurence Fishbourne plays Neo's mentor Morpheus and he does an excellent job of it. His lines flow with a certain confidence and style that makes his character somewhat unique and interesting. Carrie-Anne Moss does a good job as well and succeeds in looking both cool and sexy in her leather outfit. Joe Pantoliano, a critically underrated actor does a brilliant job of bringing his character, Cypher, to life. I can't say much about him because his character is pretty essential to the plot and I certainly don't wan't to spoil it for anyone. Gloria Foster appears in a relatively small role that will have greater significance in the following films and she does a very good job. The best acting is provided by Hugo Weaving, however, in his portrayal of Agent Smith. It is really something to watch him act out the changes in his character. Agent Smith gains some human traits like anger, sense of dread, hate and eventually even a sly sense of humor (mostly in the sequels). Two thumbs way up to Weaving who has created one of the finest screen villains of all time.

Effects wise the film is simply stunning and it deservedly was awarded the Oscar for best effects (and was regrettably cheated out of a nomination in the Best Film category) ahead of even Star Wars. The reason that I think The Matrix deserves the Oscar for best effects is simply that the effects in The Matrix are more innovative than the ones in Star Wars. Just take a look at how many times the effects have been spoofed and you'll probably agree. The effects also help in the symbolism of the film and in creating a very dystopian atmosphere not unlike the one seen in Blade Runner and this works brilliantly. The film looks beautiful at all times and today 6 years later (my God has it already been 6 years?) the effects still hold their ground against new science fiction films. Add the effects to the brilliant editing and you have a visual masterpiece on your hands. Very well done.

The reason that I think The Matrix is more reviewable than pretty much any other film is the story and the philosophical and religious elements of the story because with every viewing I catch something I didn't see the previous time I watched it. Without spoiling the film I think I can mention a few of the more obvious elements. Obviously the film draws on the Messiah myth as Neo is a clear reference to Jesus with the analogy of his name (Neo = one, as in The One) but also hidden in his other name, Thomas A. Anderson. The first part of his last name, Anderson comes from the Greek Andros meaning ""man"" and combine this with the second part of his last name ""son"" and add a little creativity you will come up with the combination ""son of man"" which was a title Jesus came up with about himself. Also the first time we meet Neo a man calls him (and I quote): ""You're my Saviour man. My own personal Jesus Christ."" It doesn't get any more obvious than that. Aside from the Christianic elements the film also gets its inspiration from Budhism, Gnosticism (Gnosis = knowledge) but is also inspired by Plato and his analogy of the Cave and Jean Baudrillard's essay, Simulacra and Simulations. Explaining these elements would make this review go on forever so aside from mentioning them I will not comment on them further.

To all the people who doubt the profound nature of The Matrix I can only give one advice: Free your mind and watch the film again. You won't regret it. If I had to choose a favorite all time film my choice would probably fall on either The Matrix (obviously I don't expect people to agree but if they do thats great) or The Lord of the Rings: The Return of the King and I recommend it to all fans of sci-fi and people who like philosophy.

10/10 - on my top 3 of best films.",10
23 September 2018,"Agent Smith: Human beings are a disease, a cancer of this planet. You're a plague and we are the cure.","When this came out, I was living with a roommate. He went out and saw it, came home and said, ""Dude, you have to go see The Matrix."" So we left and he sat through it a second time. This movie is splendidly done. The mystery about what the Matrix is, unravels and you see a dystopian future unlike any we as a race would want. I have watched this over and over and never tire of it. Everyone does a great job acting in this, the special effects are above par and the story is engaging.",10
30 July 2015,The Matrix Is one of the best Classic Sci-Fi Action Film ever,"When this came out, I was living with a roommate. He went out and saw it, came home and said, ""Dude, you have to go see The Matrix."" So we left and he sat through it a second time. This movie is splendidly done. The mystery about what the Matrix is, unravels and you see a dystopian future unlike any we as a race would want. I have watched this over and over and never tire of it. Everyone does a great job acting in this, the special effects are above par and the story is engaging.",10
20 February 2017,A sci-fi action thriller milestone,"'The Matrix' may not be one of the very greatest examples of its genre (like '2001', 'Metropolis', 'Blade Runner', 'Back to the Future', 'Star Wars Original Trilogy', 'Alien' and 'Aliens'), but that it is revolutionary in how its visuals and use of sound broke boundaries like had never been done before cannot be denied.

It is not a film to be seen if people want character depth or relationship depth, with the forced and underdeveloped love subplot between Neo and Trinity being 'The Matrix's' sole weak spot. This ended up not being that huge a problem for me because everything else is so well executed.

Particularly striking about 'The Matrix' is its production values. Simply put, the film looks amazing in its audacious production design, dazzling special effects that are some of the most ultra-cool and imaginative to exist, super slick editing and often jaw dropping cinematography. So much more than a film with ground-breaking special effects and use of camera work that broke boundaries.

Use of sound was also striking, and how the pulsating and hypnotic music score was used. Andy and Larry Wachowski direct adeptly, while the script is an intelligent mix of complex and well-explored themes, mysticism, philosophy and even Lewis Carroll and the story is often invigorating and intensely taut with a smart concept brilliantly done.

Action is superbly shot and edited, and the way it is choreographed is relentlessly intense and breathless in its energy, Kung Fu has rarely been more vertigo-inducing (despite how this sounds, this is not a bad thing as it added hugely to the intensity and paranoia of the story's atmosphere) on film.

Keanu Reeves is in one of his best and most iconic roles and has never looked cooler, certainly has not looked this comfortable for a while before then. Carrie Anne Moss is strong. Even better are an imposingly charismatic Laurence Fishburne (also in one of his best roles), an amusing Joe Pantoliano and a deliciously wicked Hugo Weaving.

Summing up, not one of the best of the genre but a mile-stone nonetheless and a great one. Followed by two sequels, both nowhere near in the same ball-park. 9/10 Bethany Cox",9
22 February 2019,"20 years on from release, some random thoughts on revisiting The Matrix. Spoiler: It's still brilliant.","20 years after its release, and several years since I last saw it, some reflections on the experience of rewatching The Matrix. In no particular order ...

1) It still look great. I mean, this is one amazing, stylish looking phone. Very little about the look of the film has dated - the mobile phones, obviously, Neo's computer, and very briefly a couple of visual effects creak. But otherwise, this looks as amazing at it did on release. It's sumptuous.

2) I think I was one of the many who misjudged Keanu Reeves all those yeas ago. I made easy jokes about his vacant stare and apparent intelligent. From this vantage point we can see he's been in a good number of successful, intelligent films. It's also become clear that within the industry he as a reputation as decent, hardworking man who is a pleasure to work with.

3) It's apparent again how literate and cine-literate the film is. I knew this 20 years ago, but since then I've seen a lot more films and read a lot more books, and this time around I especially loved the way the film nods its head to other film genres and influences. I noticed a lot of Peckinpah, and did I see a nod to Kurosawa there too? And I was reminded that for an English Literature graduate like me, this is a goldmine of quotes, allusions and references.

4) Seen 20 years on, its influence on cinema since is clear. There's a lot we could talk about here, but I was especially struck by how indebted a director like Christopher Nolan is (keeper of the flame of intelligent blockbusters), especially with Inception.

5) I'd forgotten that the narrative ostensibly maintains uncertainty about Neo's identity until just before the end. I'm not sure this really works - anyone who's read many books or ever done an anagram will not find that the most suspenseful part of the narrative.

6) Despite a run time of 2 and a quarter hours, it never flags and attention never wonders. The film fizzes with kinetic energy and the time flies by. It's a lean film, without a wasted moment.

7) The film is, of course, packed with religious allusions. When I wrote a chapter on this for my BA Theology dissertation, I said I thought the film was neo-Bhuddist (forgive the pun, please), and I stand by that on rewatching. Of course, there's lots of allusions to Christian and other theology, and The Matrix spawned some really bad reading of film by Christians which has never really stopped. When will some Christians learn to read a film/book etc with integrity and understanding of what the film is trying to do? It's a spiritually confused mish-mash of a film - but still a gloriously entertaining one.

8) All these years later, it turns out The Matrix was somewhat prophetic about the role technology would play in our lives. Humans permanently plugged in to networks? Different layers of reality that are somehow more real than what we think of as real? The Wachowskis saw all that and more coming 20 years ago. Artists are the weather vane of society; we really should learn to pay attention to them.

9) Bottom line. I still bloody love this film. I'm trying to work out if I have the requisite strength to revisit the sequels....",10
2 March 2023,So well written that makes you questioning the reality. ⭐,"This movie is so well written that you can't even prove this movie is wrong about our world. This movie mades you think that our world can be just a reflection, a fake world. It's not just about the war between AI and humanity. It's more about questioning the reality.

And years later the idea is never gets old. This is the movie that you should respect if someone says ""I think this is the greatest movie of all time."" because it has somethings unique, not special it's just unique.

It's beyond all the Science-Fiction movies. Normally Sci-Fi movies mades you think ""Can this subject of the movie be real someday?"" and actually only some of them made you think that way. This one mades you think ""I can't deny, this could be our reality. We can never be sure.""

Besides making one of the greatest Fictional Universes, this movie also achieves so much more.

And not only that, this movie is also achieves something great in Action. It has the most iconic action scenes. Action director is so great. Revolutionary VFX and SFX, amazing Set Decoration and more.",10
