Date,Title,Review,Rating
30 November 2013,Jeremy Renner intense,"Four friends Doug MacRay (Ben Affleck), James Coughlin (Jeremy Renner), Albert Magloan (Slaine) and Desmond Elden (Owen Burke) are robbers working the Charlestown neighborhood of Boston. In their latest job, they take the bank manager Claire Keesey (Rebecca Hall) hostage and then let her go. Doug fake dates Claire to make sure she can't ID them. He's also having sex with James' drugged out sister Krista Coughlin (Blake Lively). Meanwhile they are being investigated by the FBI led by Agent Adam Frawley (Jon Hamm).

This is a richly character driven crime thriller. Ben Affleck knows these characters well. And acting with the intense Jeremy Renner makes Affleck better. The only actor who looks out of place is Blake Lively. She just can't get rid of that Cali feel and her accent sounds terrible. Brit Rebecca Hall does a better job than her. The action is exciting. And the story is riveting. But it's the characters and the actors that are so engaging.
48 out of 57 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
21 July 2023,"Dark, Gloomy, Violent, Predictable","The Town initiates with a captivating plot, drawing viewers into yet another engaging heist genre movie. Embracing the trademark darkness of a DC film, the movie's overall tone remains consistently dark and gloomy, resonating with its violent and gritty setting.

The film manages to hold its audience's attention through strong performances. Ben Affleck delivers well as the protagonist, while Jeremy Renner shines with his exceptional portrayal, and Josh Hamm also impresses with a fine performance.

As the storyline unfolds, predictability arises, especially when a lady enters the picture, sparking conflicts and making life difficult for the protagonist and his best friend. While the film offered thrills through numerous conflicts, it mostly followed a predictable path.

There were some unmet expectations. The anticipation of heist scenes and adventurous chases went unfulfilled. I hoped to watch some good adventure, car chase and impeccable heist scenes, however, didn't get any. The focus remained fixed on the dark and gloomy town and the relationships between its characters.

In summary, The Town delivers a thrilling experience, buoyed by exceptional performances, yet leaving room for some disappointment. Although conflicts abound, they often follow predictable patterns.",6
19 September 2010,Affleck's second matches realism of the first and the fine ensemble carries the rest,"Ben Affleck's second feature film as a director -- if nothing else -- proves he's no fluke. In all the ways his sincere and revealing debut ""Gone Baby Gone"" succeeds, so does ""The Town."" Both are Boston-based crime dramas that are both touchingly dramatic at times yet gripping at others. More impressive with his work on ""The Town,"" however, is that it proves he could just as easily go on to direct an action blockbuster as he could an Oscar-winning drama.

It starts with the cast and the performances he gets from them. In 2007, he helped Amy Ryan to a supporting actress nomination, and that's ignoring the other talents in the film such as Casey Affleck, Michelle Monaghan and Ed Harris. In ""The Town,"" he gets Oscar nominee Jeremy Renner in his first major film since his breakout in ""The Hurt Locker"" and Jon Hamm in his first major film since TV's ""Mad Men"" took off. He also gets a pair of up-and-comers in Rebecca Hall and ""Gossip Girl"" star Blake Lively. And that's not to mention Pete Postelthwaite and Chris Cooper. Next to ""Inception,"" it's the best ensemble cast of the year.

Based on the Chuck Hogan novel ""Prince of Thieves,"" the film follows a team of bank robbers from Charlestown, an area notorious for grooming the best at intercepting armored cars and taking down banks. As with ""Gone Baby Gone,"" also based on a novel (by Dennis Lehane), the city of Boston and the people and culture are as important to Affleck as the plot. He's sure to let shots of the Charlestown bridge and Fenway Park soak in amidst the ever-building pinch the main characters are in.

Doug MacRay (Affleck) and his buddy Jim (Renner) and a couple others pull off a bank job in the opening scene, but when it doesn't go exactly as planned, they're forced to kidnap the bank manager (Hall). To make sure she didn't see anything and can hand them on a platter to the feds (led by Jon Hamm's Special Agent Frawley), Doug trails her, only to find himself falling for her.

""The Town"" is one of those crime dramas/bank-job action films that while not revelatory for the genre, executes everything well and sticks to a character-driven story in order to stay meaningful. Perhaps the reason it works so well is because it floats in between the drama, never becoming too much of a guns 'n robbers flick, but also not slipping into crime melodrama for too long. Affleck's performance as MacRay acts in accordance; it's tastefully understated and he lets go of the machismo that has marred a few of his previous roles.

The film also has an unexpected but much appreciated sense of humor. In a mile-a-minute crime drama/thriller, you don't expect to laugh the way you will in ""The Town,"" which speaks even more to the writing and Affleck's versatility. Even if there are some plot conventions and no-surprise characters (as good as Hamm is, he's playing every other quick-witted FBI guy in films), the dialogue is sharp, the story is exciting and the way we are so easily able to see things from MacRay's perspective as the bank robber who wants out makes up for any use of convention as a crutch.

There's no doubt that if ""The Town"" becomes a success that studios will seek out Affleck for some more high-profile projects and it will certainly be interesting to see how he handles material not rooted in Boston sub-culture. As long as he continues to get such memorable performances out of his actors, he'll be doing things on the other end of the camera for a long time to come.

~Steven C

Visit my site http://moviemusereviews.com",8
20 January 2011,Great performances all-round and directing make this well worth watching,"Despite not having seen Gone Baby Gone, I've heard a lot of good things about Ben Affleck's switch to directing and so I decided to watch The Town, which put simply is about band robbers but to expand on that, the film is also about the leader of the group, played by Ben Affleck.

When watching the trailer it easy to draw comparisons to Heat and The Departed but this is different. Many films about crime make the audience side either the police or the criminals yet The Town allows the audience to see people from both sides of the law fairly. Jon Hamm plays an honest working FBI officer while Ben Affleck plays the criminal. The film is shot predominately from the criminals perspective, therefore the audience feel the same sense of urgency that they do but we don't want to see them gun down the FBI and police and let them get away with their crimes. It is a difficult challenge for the director to deal with but he does it well and the end result is very good.

The entire cast are all fantastic even when given smaller roles, for example Chris Cooper and the late Pete Postlethwaite steel the scenes that they are in. Jeremy Renner has earned a lot of attention from his role and he deserves it, giving an honest performance, which clearly took a lot of research to perfect. An almost unrecognisable Blake Lively and Rebecca Hall are both great. Ben Affleck and Jon Hamm as the opposing forces are also great but it is Renner's performance that stands out.

As a crime film, it is important that the action doesn't turn the whole film into an all guns blazing film. The action scenes are handed pretty well and the car chases through the minor roads of Boston are really exciting to watch.

The Town is not only only a solid action/ crime film but also marks Affleck as a great director. I strongly recommend this film if you are interested in the genre. While it is not perfect, it does so much well, that you would be missing out if you didn't see this.",8
17 September 2010,One of the finest pieces of ensemble acting in years,"To say that The Town is everything Takers tried to be and failed at would actually be an insult to Ben Affleck's latest film. Mentioning that bland rehashing in the same breath would imply they even exist on the same plane, but the honest truth is this gritty Boston crime drama is something special and the best film of the early fall season.

Affleck's first foray into directing with the Dennis Lehane adaptation Gone Baby Gone shocked viewers and the critical community in kind, showing that a fading acting career does not mean one is down-and-out in Hollywood. Affleck marries his two passions in The Town, directing, producing and writing the film as well as starring in the lead role, his first since 2003's Paycheck. He owns this comeback performance, successfully wiping any lingering distaste from duds like Daredevil or Gigli. This is by no means a one-man show, but The Town has nothing close to a weak link, in fact, this may be one of the finest pieces of ensemble acting in years.

Joining Affleck in a supporting role is Jeremy Renner, fresh off his best actor Oscar nomination for The Hurt Locker and he beyond a doubt proves he is no one-hit wonder. This is Oscar-worthy acting yet again for Renner, nailing his Boston accent along with his loose-cannon mentality. He is terrifying, but impossible to pry your eyes away from. The most shocking revelation comes from Blake Lively (TV's ""Gossip Girl"") as a doped-up mother with more than a few issues. She is not only unrecognizable, but owns her role, never calling attention to her drastic deviation from type. Substantial buzz was also placed in the way of John Hamm from the acclaimed television drama Mad Men. He is sufficiently pompous as a dedicated FBI agent also scoring a number of the films laughs.

Before I wander too much further into specifics, the characters in The Town populate a Boston suburb called Charlestown, which an introductory message informs us, is the world-center for bank robbers. Affleck's Doug MacRay heads a team of those in such a profession including Renner as James Coughlin and two others played by Slaine, and Owen Burke. During one of their routine bank heists, they are forced to take a hostage (Rebecca Hall) during their hasty escape. Afterwards, to make sure she does not know anything incriminating following her release from captivity, MacRay follows her and inadvertently falls for her in the process.

There is nothing particularly revelatory about The Town, there are few surprises or much that deviates from a standard crime drama. But Affleck directs with such skill and confidence while showcasing yet another peek into suburban Boston that it is never less than riveting. There is an overlying sense of impeding dread that perforates The Town and a handful of sensational action sequences do little to let up the firm grasp the film has on our windpipes. Propelled by faultless acting and a pitch- perfect script, this slice of the Boston criminal underworld is everything for which we could have hoped following such a bland summer. Affleck has always been a star, and if he continues to produce films of this pedigree, then there might be hope for the movies yet.",8
18 September 2010,Ben Affleck has his comeback.,"A bank robbery goes a little different than planned when one of the robbers takes a hostage. Doug (Affleck) has to duty to check up on the hostage after she is let go, to see if she knows anything about the crew. Surprise, they start dating. Can he continue his life of robbing banks and have a love life? Will his crew accept that he is with her? Will she ever find out? This is The Town.

Gone Baby Gone was his first directorial effort set in the city of Boston, The Town is his second. Ben obviously loves the city and if he keeps making films like these two, I'll be happy with some more Boston. I'm not going to preach about which film is better, their both different. Gone Baby Gone has more of an emotional punch with it's climax and tough decisions. The Town doesn't reach those heights, but it's a well made tense action thriller with a bit of a romance thrown in.

This time Affleck is in front of the camera as well. He seems to have left his pretty boy blockbuster image behind him. I'm thankful, I can only take so many Armageddons or Pearl Harbors. He's matured as an actor, this is evident by his roles as of late. State of Play and Hollywoodland are two examples. Of course he's had some fun films in between, but he's probably the best thing about those. Extract anyone?

For The Town he has assembled quite the cast. Jeremy Renner, who is hot off of The Hurt Locker plays his buddy with an attitude who won't think twice about pulling the trigger if you're in his way. Mad Men's Jon Hamm who is the FBI agent on their trail, his partner is Man in Black actor Titus Welliver, who was also in Gone Baby Gone. I wouldn't mind seeing more of him in films and if he's Affleck's good luck charm, all the better. Blake Lively has a small role and she does skanky a little too well. She has a thing for Affleck's character and she has a daughter, but he's obviously fallen for someone else. Rebecca Hall, who has the hard role of playing the woman who is dating her abductor. Things don't look too well for this relationship.

The Town shows Affleck's ability at directing action sequences. Gone Baby Gone wasn't full of gunfights and car chases, but The Town is. There are three separate heists in the film, the opening, the middle section and the climactic ending. All three are different from each other, one is in a bank, the other a truck and finally a baseball stadium. Each heist was exciting to watch and gave you those Heat moments. It's obviously the Heat was influential in the making of this film. It seems all movies that have robberies in them look to Heat.

Ben Affleck had a hand in writing the film, he of course won an Oscar with Matt Damon for writing Good Will Hunting. It appears he's found his footing once again and hopefully the allure of the blockbuster won't claim him once more. The Town is a successful film made for adults. It's slick, well acted and has enough thrilling moments to keep those who seek it entertained. The film centres mostly on Affleck and his new love and the heist bits are second fodder. Renner is the only one who gets some spotlight from the crew, the other two are simply background faces. The Town does it's job as a movie and Ben Affleck has found himself a new career.",8
14 September 2010,Take a bow Mr. Affleck....you have certainly earned it.,"My Oh My how Ben Affleck has had a up and down career. Starting out as the cheesy yet funny guy in those Kevin Smith flicks, to the academy award winning writer of ""Good Will Hunting"", all the way back down to the pathetic string of acting he produced only 10 years ago. But there is a silver lining....with his directorial debut in ""Gone Baby Gone"", and his much improved acting in ""Hollywoodland"". Ben Affleck is beginning to once again prove his worth in Tinsel Town. Hopefully he can continue to feverish pace.

Well i can say with complete just, that this is the best ""Heist"" movie since ""Swordfish""......Now i know most of you may not like ""Swordfish"", but what other bank robbery movie can you compare it to in the past 10 years? Maybe ""Snatch""? ""Lock Stock""?....eh, if you classify those movies as ""Heist"" pictures, than okay, it's the best heist movie since ""Snatch"" or maybe even ""Oceans 11""....either way, it's a big compliment.

Ben Affleck has certainly proved that ""Gone Baby Gone"" was not a fluke. He can actually direct a major motion picture. And not only can he do it, he does it very well. Sure the movie had some minor flaws, but nothing that takes too much away from the overall big picture. The best way i can compare it is.....it's like an east coast ""Heat"". Now, the group is not as fool proof or professional as the gang in ""Heat""......well, let's face it, you will probably never top that group in movie.....ever. But never the less, the style of film making really pulls you into each sequence, whether it be the action packed bank robbery, the emotional dialog between characters, or the intense decisions the players all must endure.

The movie doesn't try to WOW! you by offering a different style of bank robbery. Which is a good thing, because you really run the risk of tripping over your own two feet in the process. But i really think the major factor in this film, was the acting. Everyone came to play ball in this one........but i can also say this with complete confidence.......Ben Affleck was the best actor in this movie. Yes, i know it's hard to swallow for some of you, but he really showed us all, what he is truly capable of doing. So Mr. Affleck, let me tip my hat to you and say job well done sir. You took a lot of crap to the face, and you wiped it off, and came back strong.

Bottom Line......Yes, i can honestly say that this is one of the best movies of the year so far. Sure the movie gets a little sappy at the end, but it's pretty necessary. But overall, your very well entertained.

I read an article a few months ago about even after ""Gone Baby Gone"", people still wouldn't hire Affleck as a director. And he had to fight tooth and nail to land this deal. Well, hopefully now you can find more work buddy, because you have certainly earned it.",8
1 May 2012,"""Welcome to bank robbery capital of America""","The Town... The movie is good, no doubt about it. It was well-acted, well-written, and all around just a fantastic movie. Problem is, albeit the fantastic directing, it's contrived. I say that with a sense of greatness though, because although being this, is actually does it in a good way. Ben Affleck - yeah, the actor! - directs, and deserves praise. Why? Well he actually made a good movie, simple and to the point. But instead of going on and on about how good (but formulaic) the film is, I'm just going to break down the good things, and why Ben Affleck needs to direct more movies.

Story: It's just easy to follow. The story was simple and easy to follow, and Ben Affleck knows this. So he DOES this. Movies nowadays think the key to making and film (and winning over the critics) is to create all these absurd quick edits and complex back flashes to what, when, and where something happened, then quickly cut to a twist, back again. It's confusing. No one really wants that. So instead of doing this, he creates a story that's easy and simple to follow. That's exactly what I wanted.

Acting: Ben Affleck directs and stars. He did a great job on both parts, and he sets up the cast perfectly. First off, there's no cringe-worthy scenes. We are following the characters throughout, and there isn't no crazy stuff the characters do or say that we question. A lot of movies do that, The Town knows exactly what not to do. It was real too, leading me too...

Realism: Yup. The Town knows how to create this effect? How does it create this effect? Well I'll tell you! The Town knows not to put in cheesy CGI effects. Everything lots realistic and gritty. You feel like your sucked into the situation of the characters. That's what films are SUPPOSED to do, and the objection is not to make us entertained. Movies are supposed to be an experience, and The Town knew what to do.

Romance: I cannot believe I am putting this on here, but it counts. The Town isn't confused with just being a crime-thriller. It knows it's strengths and it's weaknesses. It's a genre-binder. It binds together what we want to watch, too. Action, drama, romance, and more drama. What more could you exactly want? The movie has it all.

If you can get past that the movie is a bit contrived, it knows how to push this thing out of the way. It's simplistic, gritty, and highly realistic. Yup, this is a Ben Affleck movie and I'm proud to say it. The movie was fantastic though, and if wasn't so clichéd in some parts, maybe it would become a masterpiece. But it did what it did, as pushed boundaries no movie has dared to do. So that sets it, go see it. Recommended for all. 8/10.",8
18 September 2010,I'll see you again...,"I was wrong about Ben Affleck. I never believed that Affleck was ever a star. I never saw him as a director-type. I do admit I was wrong, though. Ben Affleck was truly incredible as Doug McCray, and I've never seen him work his acting at such a high level. As far as the plot of the film goes, it's very engaging. The trailer doesn't give this film justice as it's very intense and romantic at times.

Jeremy Renner is quite intimidating and Blake Lively is sexy, Ben Affleck is gripping and the supporting cast is incredibly powerful. I think the movie was powerful and not at all predictable. I couldn't wait to see what would happen and if Doug would get away. It's such a greatly crafted movie. From writing to acting this film is wickedly astounding.

I thought that the sex scene was over too quickly, but it was made up with all the action. I thoroughly enjoyed the chase scenes. I thought the action sequences were well-drawn out. I loved the bank robbery scenes of the blue masks and the nun outfits. I especially liked Ben's scenes with the sledge hammer and the scene where he says, ""if I think anything might happen to her, I'm gonna kill both of you."" It's a clip from the trailer, but it's so much better when it happens in the film.

It's driven as an action film with drama and romance on the side. There's a few chuckles along the way, but pretty much sparse. I thought the romance was done just enough and I felt the drama was perfectly done and drastically added to the plot, as well as the tone of the film.

It's certainly the best heist movie I've ever seen. In comparison, if you called Inception a heist movie, this movie is a better heist movie. I really think this is the Heat of the decade. I truly believe that Affleck is in his peek of his career and this is his greatest performance, directing, writing and acting. I'm overjoyed and excited to see his next piece of work.",9
17 November 2011,"Smart and taut, with some fine ensemble acting","The Town was one of my most anticipated movies and while it wasn't quite as great as I thought it would be it was still very good with some outstanding areas. The sex scene I agree was over too soon and needed a more rounded finish, and the film does get sappy and draggy toward the end.

In a sense too, The Town is not much new in concept, but the way everything is written and delivered I found this easy to forget. It is a slick and stylishly made movie, complete with some smart scripting that made me chuckle at times as well as on the edge of my seat, confident direction and a taut and suspenseful story.

For me, The Town also contains some of the best ensemble acting of 2010. Ben Affleck is surprisingly subtle, and Rebecca Hall and Blake Lively manage to be cute and sexy without their performances being overly reliant on these factors. John Hamm, Chris Cooper and Pete Postlethwaite also give fine work, but it was Jeremy Renner's brooding intensity that captivated here.

All in all, very good. 8/10 Bethany Cox",8
