Date,Title,Review,Rating
2 September 2020,How many times I watch this movie.... It's still the masterpiece.,"I have watched Titanic how many times I don't know. Everytime I watch it, I still cry, laugh, smile, and feel. The story flows with tension throughout the movie; two actors' acting and chemistry need applaud; Sinking ship is realistically filmed; 'My Heart Will Go On' is perfect fit for Jack and Roses' love story and is timeless as well. All the movie's factors are fully qualified. What more can I say? It is the masterpiece.
168 out of 181 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
10 March 2021,STANDING OVATION! - (10 stars out of 10),"The stage curtains open ...

Not since the advent of the 1995 film, ""Braveheart"", have I ever been as enthralled or emotionally invested into a movie as I was with ""Titanic"". I knew going in, just from the trailer and word-of-mouth, it was going to be good, but I had no idea the ride I was in for when the lights dimmed in the theater that night. I have never understood (and still don't understand) the negative backlash that I've read/heard when it come to this epic film. Because, it is just that - epic in every way, shape or form.

We follow along as a young wayfarer named Jack (Leonardo DiCaprio) wins a ticket to board the Titanic in a game of chance. During its fateful voyage, he meets and falls for an upper-class girl named Rose (Kate Winslet). Under the thumb of her demanding fiance (Billy Zane) and her narrow-minded mother, Rose is introduced to a different side to life by Jack, and he helps her to find her own individuality and independence, alienating her from a life that she already despises. She must now decide if she'll choose to stay where she is, or leave and have a life with Jack - a decision that is further compounded when the mighty ship strikes an iceberg leading to the eye popping conclusion.

What makes this film work is the love story. A lot of the negative reviews I've read complain because there is a love story. But, without it, this movie doesn't work. I am not interested in watching a biography about the Titanic, I want a good story - and this movie certainly delivers that. I was completely invested in Jack and Rose, and when the ship began to sink, I was with them both every step of the way.

I highly recommend this movie at 10 stars out of 10. The event of the ship sinking alone was awe inspiring. You are right there in the scene. I could not take my eyes off the screen. The direction is tight, the special effects phenomenal, and the acting completely believable. DiCaprio and Winslet had perfect chemistry. I was affected and moved by ""Titanic"". And even knowing the outcome, I will happily get on board again and again.",10
23 February 2020,Great,"Very beautiful and cinematic movie with lots of classic scenes.Also extremely sad at times.Absolute 90's classic.
158 out of 177 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
3 July 2018,"Despite a lot of plot flaws and conveniences, this really is one of the best films ever made.","Ah, yes, the film that propelled Leonardi DiCapro to super stardom, became the first film to gross $1 billion, and stayed on the top of the box office charts for 12 years (only to be kicked off the top by another James Cameron film, Avatar).

It is said 'Titanic' is the film with the most continuity errors of all films. Despite this, though, the film was indeed a masterpiece. The sheer scale of the sets and entire production were simply mind blowing! The sinking of the Titanic was the greatest ship sinking scene EVER and was done with such meticulous detail that one would think they actually really sunk the ship. Off course, that was not the case, though, as it were all (very elaborate) sets, most of which were destroyed during the making of the film.

Leonardo made for a very likable hero, quite frankly one a lot of guys can relate to. The young lovers were so different and yet so alike, and their love story was almost endearing. I must admit, the jumping backwards and forwards in time was a bit unnecessary and resulted in an overlong epic. They should only have told the 1912 story. Apart from that, the film was thrilling, exciting and fascinating in every sense of the word!",10
10 August 2001,Actually it got better for me,"I have watched Titanic how many times I don't know. Everytime I watch it, I still cry, laugh, smile, and feel. The story flows with tension throughout the movie; two actors' acting and chemistry need applaud; Sinking ship is realistically filmed; 'My Heart Will Go On' is perfect fit for Jack and Roses' love story and is timeless as well. All the movie's factors are fully qualified. What more can I say? It is the masterpiece.",10
9 February 2021,HOW CAN YOU RATE THIS FILM LOW?,"This is just a record breaker and you can see why. Even to this day I find anything Titanic related really interesting,. Such a great movie.
27 out of 29 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
12 May 2017,Timeless,"Titanic is a true masterpiece and is easily one of the greatest films in history. James Cameron has outdone himself with this epic film that is clearly one for the ages. It is perfect in almost every way and can be watched over and over again. From the directing, beautiful photography and an immortal song by Celine Dion. Not only is a masterful depiction of the sinking of the Titanic but a great love story. Romance is my lowest rated genre so it takes a really well made love story for me to like it and Titanic showcased this. Worthy of all its Oscars and revenue this film has etched itself as one of the great triumphs of cinema. It is loved universally and it is truly timeless.
18 out of 19 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
5 December 2014,This was one of the few movies that actually brought me to tears.,"I have watched Titanic how many times I don't know. Everytime I watch it, I still cry, laugh, smile, and feel. The story flows with tension throughout the movie; two actors' acting and chemistry need applaud; Sinking ship is realistically filmed; 'My Heart Will Go On' is perfect fit for Jack and Roses' love story and is timeless as well. All the movie's factors are fully qualified. What more can I say? It is the masterpiece.",10
4 November 2020,Greatest movie of all time,"Flawless, enchanting, riveting, wondrous, totally out of this world. Astounding as this may sound, I've just now got around to watching ""Titanic,"" 23 years on, and I'm staggered at all that I've missed my whole life.

Young love is the most wonderful theme to explore in a movie, but it's also the most difficult to depict beautifully and without too much cloying treacle. Couple that with the story of a young teenage girl in the bygone era of aristocrat families and arranged marriage, side saddles and corsets, outrageous class inequality and rich powerful men in control of everything and keeping women under their thumbs - and you get ""Titanic."" And James Cameron, Leonardo DiCaprio and Kate Winslet cracked it with a bang! They impressed. They dazzled. They shined.

They took our breath away.
35 out of 40 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
18 February 2016,As perfect a cinematic experience as you're ever likely to get,"""Based on the tragedy that spawned thousands of heartbreaking true stories, comes this fake one."" It's time to decide: was it insensitive and somewhat cheap of James Cameron to throw two made-up passengers who fall in love onto the ship? Or did these two characters offer the audience an anchor to hold onto as we are guided through the dreadful events of April 15th, 1912? Without a doubt, the latter. The fictional story of Jack and Rose never distracts from the tragic true story, it cinematically enhances it. We never ever miss the bigger picture.

First of all, just look at this film. The resplendent wonder of the film's set design, both interior and exterior, places you right on board. It looks and feels the part. And when the inevitable disaster strikes, Cameron grabs onto you and drags you through each painful moment in striking detail. The sinking of the Titanic is brought to life with exquisite attention to detail and astonishing visual effects. It makes for the greatest disaster scenes in any movie I've seen.

However, a Roland Emmerich or Michael Bay film this is not, as Cameron never allows the spectacle to distract us from the agony of it. Watching the Titanic being destroyed is not fun or, in its broadest sense, exciting - it's intensely distressing. Unlike most disaster films, it never feels like we're watching a crowd of extras on a film set flailing around. The lead up to the iceberg strike engages you so convincingly in the period, such that each person in front of the camera has been imbued with rich character. And when the ship sinks, it genuinely shocks you to see them go. For a good part of the sinking, Jack and Rose's fictional plight is quite sensibly placed to one side, giving us time to reflect on the truth and how it would have felt to be aboard the ship that horrifying night.

So aside from its sweeping spectacle and moving depiction of real-life tragedy, what does the story of Jack and Rose bring to the table? In spite of how persuasive the film is, one must remember - it's ultimately a work of fiction, not a documentary. Like any period drama, it is an interpretation of how society worked at the time. Jack and Rose, as well as being beautifully played by DiCaprio and Winslet, are incredibly well crafted. They are a window into a much more subtle form of racism, which is still prevalent today. It's called class, and in the latter half of the movie, it becomes a tool with which to decide who lives and who dies.

Titanic has pretty much anything you can ask for. It's a romance; it's a disaster movie; it's an action film; it's got a sense of humour and wit; it's a period drama; it's a tragedy. Summed up, Titanic is about as perfect a cinematic experience as you're ever likely to get.",10
11 December 1998,One of a Kind,"To all the miserable people who have done everything from complain about the dialogue, the budget, the this and the that....who wants to hear it? IF you missed the point of this beyond-beautiful movie, that's your loss. The rest of us who deeply love this movie do not care what you think. I am a thirthysomething guy who has seen thousands of movies in my life, and this one stands in its own entity, in my book. It was not supposed to be a documentary, or a completely factual account of what happened that night. It is the most amazing love story ever attempted. I know that it is the cynical 90's and the millennium has everyone in a tizzy, but come on. Someone on this comments board complained that it made too much money! How lame is that? It made bundles of money in every civilized country on the planet, and is the top grossing film in the planet. I will gladly side with the majority this time around. Okay, cynics, time to crawl back under your rock, I am done.
1,027 out of 1,421 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
23 January 2022,Every time I see this movie....,"I wake up in the middle of the night with total anxiety.

While the fictional story line is fairly cliche and some of the characters are a little cringe (Bill Paxton's hair and earring, for example), the truth is this: 1,517 people died horrible deaths in the icy Atlantic in the dead of night. That eats at me constantly. I think of some of them being all cozy in their beds, happily dreaming of going to America, and suddenly they are waken by the rumbling of the iceberg hit, by the alarms, by the sounds of rising panic and the unbelievably coldness of the weather and water. It saddens me to this day.

I caught the movie yet again while channel surfing and sure enough, I stopped and ended up watching the last 90 minutes. The recreation of the sinking is amazing and horrifying. The details presented put you right there. I always put myself in that situation mentally and I wonder what would have become of me. No one can truly know until it actually happens. I think about the cold more than anything. I have been in very cold places before, but never getting soaking wet in that cold. The people who ended up alive in the water went through a horrible hell for a few minutes then hypothermia drifted them off to their deaths. It's haunting to think about. I woke up around 3am after having a dream I was in icy water, trying to catch my breath, trying to stay afloat, and not doing very well at either. The anxiety level increased as I began to wake up and I got mad at myself for watching the movie right before going to bed!

My thoughts go out to those souls who perished on the Titanic and I hope beyond hope that there is a better place they went to.",10
16 November 2002,A Superb Epic,"I have watched Titanic how many times I don't know. Everytime I watch it, I still cry, laugh, smile, and feel. The story flows with tension throughout the movie; two actors' acting and chemistry need applaud; Sinking ship is realistically filmed; 'My Heart Will Go On' is perfect fit for Jack and Roses' love story and is timeless as well. All the movie's factors are fully qualified. What more can I say? It is the masterpiece.",9
30 March 2013,My review is this film's 2400th....so what more can I say?!,"""Titanic"" won a bazillion Oscars and is considered a classic by many. And, it now (counting this one) has 2400 reviews. So, what more can I say about this film that hasn't already been said? Well, very little--that is why this review is rather short.

I give the film a 9 because it isn't perfect. Some of the characters, to me, seemed a bit simplistic. But, no matter if you like them or not, there's no denying the awesomeness of the film. After all, it looks like you are on a huge cruise ship and the special effects of the wreck (this isn't exactly a spoiler!) are amazing. So, like the story or not, the film is staggering to watch--particularly on a big screen. And, now that I think about this, this is exactly how I viewed director Cameron's other huge success, ""Avatar"". Well worth seeing once.
50 out of 64 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
31 January 2021,Don't get the low rating,"The low rating makes no sense to me at all... This movie is magnificent, so well made, the acting is superb. Anything below 9 doesn't do it any justice.
88 out of 101 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
20 January 2015,"Amazing in 1997, 2005, 2015, 2030, 3010 & forever more a Masterpiece!","You can watch this movie in 1997, you can watch it again in 2004 or 2009 or you can watch it in 2015 or 2020, and this movie will get you EVERY TIME. Titanic has made itself FOREVER a timeless classic! I just saw it today (2015) and I was crying my eyeballs out JUST like the first time I saw it back in 1998. This is a movie that is SO touching, SO precise in the making of the boat, the acting and the storyline is BRILLIANT! And the preciseness of the ship makes it even more outstanding!

Kate Winslet and Leonardo Dicaprio definitely created a timeless classic that can be watched time and time again and will never get old. This movie will always continue to be a beautiful, painful & tragic movie. 10/10 stars for this masterpiece!
500 out of 538 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
4 February 2023,One of the best,"This is one of the best movies in my opinion. The cast is amazing and I love them all! The story is very very sad but they did a really well job executing this movie to make it so amazing. The graphics and animation are amazing the music everyone knows it. It's comes to life when I think of the titanic of the movie. Even watching today I enjoy it just as much as I did the first time ever seeing this Leonardo and Kate were such a good pick for this movie and billy such good actors. I recommend watching this I mean I doubt there's many people that haven't seen this but. It is such a good movie!!
9 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
31 August 2015,Titanic masterpiece: an emotional and visual thrill ride,"I have watched Titanic how many times I don't know. Everytime I watch it, I still cry, laugh, smile, and feel. The story flows with tension throughout the movie; two actors' acting and chemistry need applaud; Sinking ship is realistically filmed; 'My Heart Will Go On' is perfect fit for Jack and Roses' love story and is timeless as well. All the movie's factors are fully qualified. What more can I say? It is the masterpiece.",10
12 September 2019,This Film Brought Me To Tears,"I am still crying as I am writing this review as of right now. I don't even know where to begin. I can now see why this film was one of the highest grossing movies of all time. The blending of genres was masterfully done through the style of a Historical Romance/Drama, and a Disaster/Action film. The writing was absolutely superb, for a 3 hour movie I found myself completely engaged not even blinking my eye. The costumes, music, performances, characters, cinematography, dialogue was so magical I can't even put words here to describe the beauty of everything put into this movie. The performances just take your breathe away. Jack and Rose's love story is so full of life and heart and what true love should be even if it's a battle or your not the same class and can't be together ounce you find your soulmate that's what love is about. Their characters felt so human and that really is what puts this movie at a whole new level. The camerawork is some of the best I have ever seen in any film. I don't even want to spoil how thrilling, chilling, beautifully well done the Titanic sinking part of the film is because it is something you just have to see for yourself and experience the devastating heartbreaking tragedy that occurred. James Cameron you are and will always be one of the best filmmakers to ever live and this is your ultimate masterpiece.",10
