Date,Title,Review,Rating
3 March 2018,"""People should not be afraid of their governments. Governments should be afraid of their people.""","Placed in futuristic Britain, this movie tells a story about dictatorship and the man who became symbol of it's downfall. People from many, not to say majority, countries in today's world can easily identify with the characters. Great adaptation of DC comic and always gladly seen Natalie Portman.

8/10
196 out of 208 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8
17 November 2020,Terrifying and inspirational,"This is a very unique film. Watching it again 15 years later, it's amazing how much closer we are to this totalitarian future. A must see.
71 out of 75 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
31 October 2016,My Personal Favourite Movie of All Time,"Placed in futuristic Britain, this movie tells a story about dictatorship and the man who became symbol of it's downfall. People from many, not to say majority, countries in today's world can easily identify with the characters. Great adaptation of DC comic and always gladly seen Natalie Portman.

8/10",10
14 November 2021,More relevant than ever,"Here we are, 2021, almost 2022

Do I even need to explain why this movie is of the most importance?

Watch it

Understand it

Know how a fascist state is born, nurtured, and rises

And now look around

Yes, you may thank me later, if it is still allowed by then.
112 out of 123 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10
27 March 2022,"""remember the Fifth of November, gunpowder, treason and plot""","While the Visuals look dated, the Vibe is Very current. The parallels in this Version of reality is ominously similar to our own 2020. Viral disease, politicising Vaccines, at least this pulls the Veil on what a true fascist totalitarian regime is like along with government control media.
27 out of 29 found this helpful. Was this review helpful? Sign in to vote.
Permalink",7
19 March 2006,A Bloody Masterpiece!,"I am speechless. I just came back from the theatre, where I watched 'V for Vendetta'. There are three main elements in the movie and it excels on all three of them.

First off the dialogues and script. Intense, witty, honest but not patronising, intelligent but not pretentious. That's the first level at which the movie surprises you. You don't except such high level of script from an action movie. But it is slowly revealed to the audience that V for Vendetta is not just an action movie. The story is filled with current events and has a definite strong political sense.

Secondly Hugo Weaving's performance. It is definitely what grabs you from the start. He delivers some of the hardest lines with incredible charisma. His performance shines throughout the movie and honestly he sounds as good as any of the best actors out there. He should be nominated for an academy award.

Finally the visual part. Incredible, yet no ""Matrix"" effects used. Everything looks beautiful, dark yet vibrant. The cinematography is top notch. The final battle scene brought tears to my eyes.

Do not miss 'V for Vendetta'. It's one of the best movies of all time, an eternal classic.

10/10",10
16 November 2019,Among the best stuff you'll see from DC Comics.,"DC Comics has a rather poor reputation lately. Despite having some great superheroes, the films based on their characters often have sucked. However, one of the best and most worthwhile films based on their comics is WELL worth seeing...""V for Vendetta"".

The story is placed in a dystopian future. According to this future, the United States has been torn apart by civil war and disasters. And, the United Kingdom has gone from a constitutional monarchy to a repressive fascist dictatorship. But the government is far more evil than just repressing free speech. It seems that much of the chaos that led to this government was actually created by the man who now is in charge. To create a climate of fear and chaos, the government has created fake terrorists...and used the deaths of 10s of thousands of Brits as an excuse to control the country with an iron fist.

The only hope Britain has is a weird nehilistic superhero, V. V (Hugo Weaving) is determined to bring down the government and give the country back to the people. But how? And what part does Evey (Natalie Portman) play in all this? See the film.

This is a very exciting and intelligent film. It definitely kept my interest...much of it because the whole thing (aside from the near indestructable anti-hero) seemed possible! Well worth seeing and exceptionally well made.

By the way, if you like this film, try the 1960s Italian film ""Danger: Diabolik"". Both have very, very similar themes and both are wonderful movies.",9
15 November 2022,V for Vigilance at all Times...,"A masked messiah seeks to topple fascist rule, despotic government's so brutal and so cruel, all diversity has gone, being different is now wrong, poor Britannia is no longer calm and cool. The police have spies and cameras everywhere, their eyes and ears observe the wires, seize and snare, but disguises cause surprises, hero V knifes, Fawkes and prises, to derail those, that sit in the top chairs. Removing dread, concern and fear is the key, which V does tormentingly to friend Evey, enables her to have the power, as the clock counts down the hour, to raze a tomb that sets the shackled people free.

A fantastic piece of storytelling with outstanding performances all round.
17 out of 18 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9
11 February 2020,V,"Some of the action might be a bit choppy, but V for Vendetta is extremely entertaining. Its great visual effects and Hugo Weaving's iconic portrayal of ""V"" is more than enough to satisfy even the strictest of viewers. There is also a great message about rising up against political propaganda within its great style and environment. Another great film from the Wachowski's is now on your hands.
31 out of 35 found this helpful. Was this review helpful? Sign in to vote.
Permalink",
8 March 2006,Utterly Spectacular!,"I was a fan of the ""V for Vendetta"" graphic novel, and Alan Moore disinheriting the film was a bit discouraging. But he's always been a little crazy. The film version is everything I could have possibly hoped for - gripping, chilling, intense, exciting, heartbreaking. It gets Moore's music if not his exact words; elements are slightly different, subplots removed. But the idea - as V himself would be so proud to say - remains the same.

The plot is surprisingly complex and nuanced, and I don't want to give anything more away than the previews already have. Suffice it to say that a masked anarchist (voiced by Hugo Weaving) must save a young woman (Natalie Portman) during his attempt to expose corruption in the government. Weaving is perfectly cast, using his formidable physicality and imposing voice to give gravitas to the insanity of the character. Portman has gone from child to teen star and is finally emerging as a talented, adult actress following her Oscar-nominated turn in ""Closer"". Here, she gives her best performance to date as the orphan Evey. John Hurt is characteristically impressive as the enigmatic government leader, and Stephen Rea gives a wonderful supporting turn as the police inspector charged with finding V - before it's too late.

The Wachowski Brothers' former protégé, James McTiegue, takes on the directing duties here and helms an enormously impressive first feature, using every trick in the book in a manner reminiscent of his mentors' breakout hit ""The Matrix"". Unlike ""The Matrix"", McTiegue allows the story to be more of a focus than the action, and as a result the film is a tense and emotional thriller, with outbursts of spectacularly filmed and choreographed action. Showing more maturity and restraint than the Wachowskis, McTiegue doesn't show off, and his trickery isn't self conscious. When slow-motion overtakes a late action sequence, it seems as natural as breathing. The late cinematographer Adrian Biddle (the film is dedicated to his memory) does an outstanding job, Oscar-nominated Dario Marianelli's score is a fantastic accompaniment to the piece, and the visual effects are astonishing, terrifying, and deeply moving, especially in the climatic moments in Trafalgar Square.

With solid acting, great action, and fantastic technical wizardry, it sounds just like another ""Matrix""-style ripoff. But the biggest difference in ""V"" is that it is a story of real ideas - not a fantastic, science fiction creation, but a genuine examination of the human condition. The power of fear takes center stage here - the fear of war, of disease, of famine. Fear is a basic human nature, and has been exploited as a weapon - a method of control - for centuries. And for those who would use it, a masked man waits in the shadows to carry out your sentence. The verdict? Vengeance. ""V for Vendetta"" is a must-see.

10/10",
