review_date,review_title,review_comment,review_rating,review_helpful,review_total_votes,reviews_if_spoiler,review_link
12 November 2011,I enjoyed it.,Three months ago I watched the animated movie that covers essentially the same story that of the hot shot sometimes irresponsible American test pilot that gets recruited into the Green Latern Corps the several thousand who each have a sector of the universe to protect Here we get real people telling the story Ryan Reynolds is the focus as test pilot Hal Jordan He is flying a test mission to help demonstrate the advantages of a new fighter plane when he pulls a very risky move and ends up destroying the plane Soon after he is pulled into the presence of a dying Green Lantern who tells him the ring has chosen you When he is transported to the secret location in a far corner of the universe he is met with much skepticism All the other green lanterns are from races much older than the human race and they doubt that an Earthling human has what it takes This of course provides the drama for Hal s quest to prove himself and become what our comic books refer to as the Green Lantern A large obstacle is the evil monster of sorts that is absorbing the energy of others and in the process growing more powerful Unstopped it would destroy the universe as we know it Hal needs to become the hero that stops the monster and in the process earning his status Good movie I enjoyed it,0.0,48.0,55.0,False,https://www.imdb.com/review/rw2517306/?ref_=tt_urv
18 June 2022,It's not that bad from the viewer pov,Seriously it is not that bad from the publics point of view it still entertaining to watch on a boring afternoon Ryan hated this film a lot had a poor working relationship with director BUT one brilliant thing did happen he met Blake and had a happy family that is one good thing,7.0,26.0,27.0,False,https://www.imdb.com/review/rw8249225/?ref_=tt_urv
27 February 2018,Introduces Character,The movie starts with a CG background science fiction origins of Green Lantern The power of the Green Lantern is given to those who do not know fear Parallax is introduced as the evil force which is fear As a Green Lantern lays crashed he releases his Green Lantern ring force to someone who doesn t know the meaning of the word fear Clearly that is Hal Jordon Ryan Reynolds who thinks he is Tom Cruise in Top Gun as he defeats 2 High tech pilot less air craft by using a maneuver from Ironman The movie spends a lot of time building background and lays the foundation for a multiple sequels This is mostly an introduction of the character While the Green Lantern is flying around impressing his former gf mad scientist and son of a senator Hector Hammond Peter Sarsgaard has been experimenting by injecting himself with microbes which happen to be alien creating the super villain for our super hero They spent a ton of money on special effects The ring may never make a mistake but the casting director did They should have gone the extra expense to get some real box office stars Ryan Reynolds didn t hack it No sex no nudity and no F bombs Good for kids,8.0,21.0,24.0,True,https://www.imdb.com/review/rw4075617/?ref_=tt_urv
30 December 2011,Underrated Comic Flick That Deserves More Praise,Comic book adaptations are quickly becoming one of the most popular movie genres of the modern era With high speed action a good story and some great acting who could blame it however there is one film that is constantly battered by fans and movie goers alike Yes this is my review of Green Lantern Note I do not believe in Millions of years so i m just going to leave it out of this review I ignore usually these kind of references The plot goes like this Somewhere in the universe a mighty force of nature called Parallax who feeds on the fear of the universe escapes custody by a green lantern warrior known as Abin Sur Parallax fatally wounds Abin but he narrowly escapes instant death in an escape pod He contacts the rest of the green lanterns and tells them who he encountered and that he will die His pod lands on earth and at the brink of death he is met by a man who was brought there by his power ring He passes on the ring to the man Hal Jordan and tells him to speak the oath He does and becomes one of the green lanterns It eventually falls on him to save the universe from Parallax and defeat him once and for all While this movie doesn t live up to the standards of Captain America The First Avenger or the Nolan Batman Trilogy this film is still quite enjoyable I ll admit the acting wasn t that great There was no real character that stood out for me as being well acted but it was still watchable As for the characters themselves they were quite interesting Although the human characters were interesting to an extent It s the green lanterns that stole the show Their is one scene were all the green lanterns are having a conference of some sort There are so many green lanterns that sometimes all you see is green Each one looks different and unique I actually pause at this part to see what other strange beings i missed inn the first viewing Props to the designers for creating some brilliant looking creatures The story isn t to special but it is interesting It s nothing more than the normal super hero origin story with a couple of unorthodox plot lines The movie s ending tells you that there is another movie coming I won t spoil But green Lantern fans will like it If they didn t like the movie itself The villain I thought is what brings the film down a notch Halfway through the film a scientist gets infected by the power source of Parallax corrupting him into a monstrous creature that can control objects with his eyes I wasn t too fond of the guy His motives for his actions were uninteresting making some of the intence scenes a little tedious but this is a minor fault Parallax is more impressive There are some scenes were he is tearing through the city eating everything in his path However like the other guy Who s name escapes me Parallax lacks motive for what he does other than the fact he needs fear to become more powerful One of the most interesting things about the green lanterns is the power to make thought reality For example you can think of a massive artillery gun and it would appear right beside you This is an interesting concept and is far more diverse to other superheros Although there are plenty of scenes of this power I thought it was under used Sometimes all they did was fire balls of green energy at their enemies which I thought was a waste Don t let that put you off though There are some impressive action scenes to sink your teeth into The battle at the end with Parallax is definitely worth seeing It didn t have as much action as i thought it would have or would have liked but it still was satisfying All in all a great summer action flick Not everyone s cup of tea but if you just like watching movies and are willing to bypass mistakes this is the film for you With over use of CGI ad badly created villains it wasn t the best way to start a franchise but it is still enjoyable none the less,7.0,72.0,78.0,True,https://www.imdb.com/review/rw2540272/?ref_=tt_urv
10 July 2011,"Not bad, not good, just mildly average",I like superhero movies as much as the next person having grown up on the likes of Superman and Batman Green Lantern is not the worst superhero movie but far from the best either For me it was just a mildly average and somewhat bland movie that didn t live up to the potential it had Getting the good things out of the way I did like the cinematography settings and costumes very much and while they weren t among the best or most detailed I ve seen the effects were better than average apart from Parralex The score soundtrack by James Newton Howard compliments the film very nicely Martin Campbell s direction is assured and there are classy turns from Mark Strong Tim Robbins and Peter Sarsgaard On the other hand Ryan Reynolds didn t quite work for me Now don t get me wrong I initially found him an ideal choice in the title role The problem is not that Reynolds is bad actually he is quite spirited in the role it s just that the character himself like a lot of the characters in the movie is irritatingly bland Blake Lively is cute and lovely but her performance goes little beyond that The story starts off well with an intriguing idea being an origin story and all but is bogged down by too many characters tedious pacing and too thin a story for such a running time consequently some scenes seemed as though they were going on longer than they should ve done However though these problems are pretty trivial compared to the script which to put it kindly was an awkward clich driven mess Overall neither good or bad but very average and bland 5 10 Bethany Cox,5.0,20.0,24.0,False,https://www.imdb.com/review/rw2456311/?ref_=tt_urv
6 October 2011,"It wasn't that bad, why the hate?",I saw Green Lantern with my son because it looked safe enough and I used to collect the comic books when I was a kid I felt like I was the only guy over 20 at the theater which I guess isn t surprising anymore Did think there would be more adults however because the Green Lantern was something we read in my generation Not sure if it s even around anymore Being a fan of the comic book I had to go see it and I was intrigued with the movie After I got home I jumped on the computer and read the reviews I was very disappointed with the professional reviews that cast stones at it while at the same time regular folk like myself thought it was a pretty good stab at the DC comic book version I guess I look for something different when I go to the movies I go to unwind and enjoy myself for a couple of hours and Green Lantern worked for me,0.0,308.0,342.0,False,https://www.imdb.com/review/rw2499287/?ref_=tt_urv
3 January 2015,What A Nice Surprise,I avoided this film for for a long time because I thought that many didn t like it a la Daredevil but was I wrong to avoid it I loved this movie and have now seen it many times I barely remember reading Green Lantern as a kid but who cares this was a fun exciting and impressive movie Ryan Reynolds was perfect as Hal Jordan and everyone else was fine also Special Effects were top notch The film still made an impressive 116 million domestically which shows that many people ignored the ignorant critics Parallax was a superb creation I intend to see this film many more times in the future,8.0,101.0,117.0,False,https://www.imdb.com/review/rw3154758/?ref_=tt_urv
26 May 2012,A Likable Comic Book Movie,I know a lot of people didn t like Green Lantern but I don t know why It was a fun movie with a good solid lead in Ryan Reynolds It was not as dark as The Dark Knight or V For Vendetta but that is not the nature of Green Lantern The special effects were good and the casting was fine Tim Robbins was well cast as Hammond as was Peter Sarsgaard as Hector Hammond Kudos to Mark Strong as Sinestro I do hope they do a sequel with him as Sinestro was one of my favourite villains All up it was a solid film and one I enjoyed immensely Pity some people were disappointed but to be honest I don t know what they were expecting as the film stayed reasonably true to the character and the tone of the comic books,10.0,61.0,78.0,True,https://www.imdb.com/review/rw2616874/?ref_=tt_urv
18 March 2022,Watchable,Even though Campbell made it so easy for many to hate this film I still think it s watchable Reynolds came in again to save th day This guy cracks me up If I were ever to switch sides on the sexuality scale it would be because of the dazzling Reynolds,8.0,9.0,9.0,False,https://www.imdb.com/review/rw7982727/?ref_=tt_urv
18 June 2011,The critics are way overreacting.,Now let me begin by saying this film is not an amazing film It is definitely not an awful film like most critics are saying I think critics might have raised their expectations due to Thor and X Men First Class They should not compare the Green Lantern with those films It is ranked now 24 on Rotten Tomatoes which is way too low It would probably be in the high 60s if it was released before Thor and X Men First Class The acting in the film is good and not terrible at all Ryan Reynolds is great as Hal Jordan and extremely likable He definitely fits the role as Hal Jordan really well Blake Lively is great and extremely sexy she s not just a pretty face as most are suggesting Peter Sarsgaard is a great actor and he plays the villainous Hector Hemmond really well and interesting Overall everyone tries their best and at the end of the day do a really great job certainly no Oscar worthy performances though The special effects are pretty superb and extremely worthwhile to say the least Although it sometimes feel a little CGIish but it doesn t get too big of a distraction I have to say I was a little disappointed how Parallax looked like it felt a little fake at times but it is not horrible in any sense of the way Also the film did not take itself seriously which is kind of refreshing Which could be the reason why critics disliked it so much They want another sad personal and serious story Unlike Thor and X Men The Green Lantern is more kids friendly The main problem of the film was that they were trying to cram stuff in from the comics and the personal lives of the other characters It seems that there could be so many sequels for the other characters It did kind of focus on too many characters Also the editing gets to be a little distracting at times they certainly needed to have done a better job but the editing is mediocre at best Overall the Green Lantern was a fun summer flick Although it is nowhere near the realm of The Dark Knight it didn t need to be The 3D was actually really good and the special effects were memorable No doubt the critics were extremely tough on the Green Lantern and it is unfair At the end of the day don t listen to the critics Make up your mind and see this film At the end of the day it should be only your opinion that matters to you You might agree with the critics or you might not However don t skip this movie because of the low Rotten Tomatoes score,7.0,587.0,760.0,False,https://www.imdb.com/review/rw2445627/?ref_=tt_urv
